Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.002,0.003,0.002,0.001,0.0,0.0,0.001,0.004,0.001
BE,0.0,0.0,0.0,0.0,0.002,0.0,0.005,0.005,0.005,0.011,0.001,0.008,0.001,0.006,0.001
BG,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.044,0.002,0.004,0.002
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.003,0.0,0.0,0.003,0.004,0.001
DE,0.0,0.0,0.007,0.005,0.0,0.0,0.046,0.066,0.075,0.071,0.012,0.007,0.018,0.031,0.063
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.0,0.0,0.003,0.007,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.001,0.0
ES,0.0,0.006,0.0,0.001,0.0,0.0,0.004,0.005,0.003,0.006,0.0,0.001,0.001,0.001,0.0
FI,0.0,0.417,0.51,0.553,0.004,0.11,0.188,0.57,0.164,0.159,0.827,0.051,0.291,0.163,0.158
FR,0.0,,,,0.0,,0.007,0.006,0.006,0.003,0.001,0.0,0.004,0.006,0.002
GB,,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.011,0.007,0.002,0.021,0.006,0.018,0.003
GR,0.002,,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.003,0.001
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.001,0.003,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.013,0.011,0.005,0.0,0.007,0.002,0.002,0.008
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
LU,,,,,,,0.001,0.006,0.002,0.011,0.0,0.003,0.0,0.002,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.003,0.003,0.004,0.031,0.0,0.001,0.002,0.042,0.003
