Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
FR,-24.50128436706194,-0.0036721502028693,-51.1533811839403,0.0,-9.88368305277294,-0.9382940300790924,-7.705445303606723,-0.3602337670644061,0.0,-12.293087780406386,-0.0051269940844706,-0.0009902056056434,-0.9063401596901596,0.0,-0.2457842567966084
DE,-1.8291884351750949,0.0,-5.707224199190724,0.0,-2.533498207929445,-0.1263043938566981,-5.323135514036291,-0.1026274604252625,-0.0004998877692064,-11.23389263053473,0.0,-0.0032527170978083,-0.2584602056310499,0.0,-0.075224774777766
CN,-2.8867865778467903,-0.0002260545363141,-5.447207115908926,-0.0030786519036001,-1.9867444645654573,-3.175766464457807,-4.304316468214815,-1.71176639234426,-0.000707294214554,-0.0013151967580816,-0.0009197996663839,-0.0033099567495387,-0.4483446067782358,-0.0032137075984837,-0.3734234808367262
US,-0.7682803156916609,-0.0001388640402162,-2.297635254834915,-0.0006128391241058,-0.5569435328012031,-2.099174644237129,-5.735101768912075,-0.019856614248513,-0.0028895666017852,-6.472059195157866,0.0,-1.0250414844329183e-05,-0.1773349804434692,-0.0001165315648629,-0.1743370414096911
IT,-0.903615248951005,-0.0028625218120581,-3.4491778183835287,0.0,-1.099278925435203,-0.120149866913722,-0.6666905755498775,-0.0237003098740906,-5.341988202548593e-07,-3.3400030766095763,0.0,-0.0015705098161255,-0.0184601874258299,-9.127012806673752e-07,-0.2529693015340568
GB,-1.7399643468567338,0.0,-1.825541599305214,0.0,-0.904562840119485,-0.1175217388883249,-2.6793684032960914,-0.1296325939300397,-0.0008351700267436,-0.0229767339498551,0.0,-0.0133038288101853,-0.5738371861212661,-3.9418621848059285e-06,-0.0843135156512569
WA,-0.9988932588298384,-0.0023796843982163,-2.630719721436464,-0.0013197546020894,-1.7649509628912463,-0.3440538922919396,-1.769421650669452,-0.2137561209849059,-0.0016810986304917,0.0,-0.0024657318270024,-0.0027939299981331,-0.0906856354514199,-0.0004946589441977,-0.2513624437183584
ES,-1.0864849530334495,0.0,-2.412132502823187,-0.3161122608820661,-1.0313238882719158,-0.797512064500732,-0.7900706125710253,-0.0333303508207343,-0.0085787690860414,-0.5769464822450827,-0.0004728361849603,-0.0023839391341843,-0.018876187982722,-0.0100809455906168,-0.0083514538126886
CH,-0.4542765150690542,0.0,-0.807841296178405,0.0,-0.0268189722809873,-0.0053696990384837,-3.670345053779884,-0.0073236337456074,0.0,0.0,0.0,0.0,-0.0382956551778479,0.0,-1.5961404089196918
BE,-0.6374603462507745,0.0,-1.4278905592453406,0.0,-1.3621318414850017,-0.051520590289677,-0.9507192714034988,-0.0220390944849072,0.0,-0.7815677324345695,0.0,-0.0013237303655843,-0.049187292966632,0.0,-0.2710391553609816
CA,-0.6794779005533393,0.0,-1.0958568454099438,-6.023585189837119e-08,-0.2860586783028497,-0.1056111199468357,-0.6854942377286009,-0.0752985562900951,-2.4380893434762693e-06,0.0,-2.0120431802285192e-08,-1.6067415136774166e-05,-0.0291208645517302,-0.0003861877314294,-0.0055857068267117
WM,-0.397980374148022,0.0,-0.2733580154548202,-0.0002465731371441,-1.149470505142519,-0.0863630998724031,-0.7220444462194391,-0.0345284272413905,0.0,0.0,0.0,0.0,-0.0795774585006395,0.0,-0.0441436203924991
WL,-0.1817134151670374,-0.0005392456897822,-0.3510462843926169,-6.94306887048942e-05,-1.7799695900096986,-0.0795773921816297,-0.239384260090126,-0.0275081031492085,-0.0002602474326791,0.0,-0.0003515491790036,-0.0003899980003387,-0.0160254523335028,0.0,-0.0258139294135706
PL,-0.0950615950607011,0.0,-0.2995416343163549,-0.0005518509561205,-0.8541941138912322,-0.0045040421313653,-0.5020289829323417,-0.0098558892881118,-2.852105552456662e-05,-0.5536211370235008,-0.0001191647058079,-2.5457820647777083e-05,-0.0001072676063876,-2.3134129289510805e-05,-0.0490232220280042
KR,-0.1402175243247313,0.0,-0.4080440495270302,-2.716762493036975e-06,-0.8616098275190159,-0.3274073158136268,-0.2462838901246394,-0.0990481919603491,-1.3104205342575876e-05,-1.9408982427750402e-07,-0.0192807216399559,-0.0002727832322545,-0.0260242589508566,-0.000470042028862,-0.0327008305654433
NL,-0.1691109085866758,0.0,-0.1766110899314591,0.0,-0.3465053479352095,0.0,-0.7073446710845689,-0.0165623392427699,0.0,-0.666018009710761,0.0,-0.0002599482433121,-0.0150310715452291,0.0,-0.0062333201317512
JP,-0.1168951313476878,0.0,-0.2323406905287131,0.0,-0.9056853280626608,-0.2736401267466674,-0.466281445721329,-0.0195234924352283,0.0,-8.982493617384977e-08,0.0,-0.0018255073800246,-0.05949943052292,-0.0001389923900016,-0.0266855822099949
IN,-0.1171532596835573,-2.750593900809112e-05,-1.1687456115747836,-4.476759821484962e-06,-0.1992855783250421,-0.2566741904580275,-0.3050522524529668,-0.0099632302980074,-1.1513462738807324e-05,0.0,0.0,-7.1078788780752e-05,-0.0024319455125527,-1.3573233340475657e-05,-0.0080114244640493
WF,-0.1442673829894077,-0.0024569574155296,-0.0931324832891931,-0.0037302285733723,-1.505916995847423,-0.0237090857363411,-0.0119841710121442,-0.0315563598761384,-0.0065143085875978,0.0,-0.0045643780418191,-0.0018723341306542,-0.1528247214500237,0.0,-0.0102537275242301
MX,-0.0404326993450597,0.0,-0.2040289283836087,0.0,-0.145627075016494,-0.1575862123168737,-1.266735907942638,-0.0207655766846297,0.0,0.0,0.0,0.0,-0.0041166573805859,0.0,-0.0512685455952959
AT,-0.2149426139600203,0.0,-0.237181758978244,0.0,-0.0869511018009424,0.0,-0.6552788860577337,-0.0017947007814703,0.0,-0.5709789534619788,0.0,-0.0009447185563466,-0.0246053293043128,0.0,-0.0009394231779223
TR,-0.1186201723572606,-0.0013465994516303,-0.5762845555581084,-0.0012600678800823,-0.185478922017975,-0.0030241107321009,-0.3318206530103184,-0.0015382578282433,-0.0012574398924859,-0.0002558811534558,-0.0026953714069476,-0.0012290999636784,-0.0044017159078836,-0.0049674156282137,-0.0423810413668098
SE,-0.0235399486820094,0.0,-0.3221353067352352,-0.0006195774067955,-0.0823395775387001,-0.0008124306664355,-0.2282854126006407,-0.0039833846668343,-0.000194453210228,-0.4668014253498143,-2.1373190389897204e-05,-0.0001021902102723,-0.0038023766656541,-0.0001994097841808,-0.0008922885977172
CZ,-0.0822346672177984,-3.0519038374312026e-05,-0.1821280041388898,0.0,-0.0386059692666286,-0.0001324223604709,-0.2780119050440859,-0.010652894815905,-2.300188430601304e-06,-0.3833453997551204,-1.2324757525430897e-05,-9.283960312940327e-06,-0.001072946764931,0.0,-0.0020378459158309
PT,-0.00921081108925,0.0,-0.1766034515111577,-0.0008978547552701,-0.1134670596885359,-0.0328677500254589,-0.1040495284802133,-0.0024272893567343,-5.138759326885887e-05,-0.120639402401236,0.0,-0.0001193472398512,-0.0002104449978109,-9.323878588723789e-05,-0.0005985247511659
