Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
FR,-39.447,-0.001,-112.837,0.0,-15.505,-29.896,-20.613,-1.145,0.0,-12.566,0.0,-0.0,-2.408,0.0,-0.274
CN,-4.905,-0.06,-5.458,-0.096,-16.319,-45.177,-9.119,-1.922,-0.008,-47.3,-0.01,-1.395,-1.116,-0.027,-1.929
DE,-3.496,-0.0,-10.648,-0.0,-1.624,-3.643,-3.463,-0.104,-0.001,-16.749,-0.001,-0.0,-0.189,-0.0,-0.058
US,-2.831,-0.0,-3.018,-0.014,-0.764,-2.342,-12.164,-0.03,-0.0,-9.474,0.0,-0.0,-0.086,-0.013,-0.128
IT,-0.803,-0.0,-3.638,-0.0,-1.042,-0.691,-0.434,-0.049,-0.0,-3.567,-0.0,-0.0,-0.013,-0.0,-0.091
BE,-0.433,-0.0,-3.705,-0.0,-0.996,-0.492,-1.802,-0.053,-0.0,-0.803,-0.0,-0.016,-0.018,-0.0,-0.119
GB,-0.825,0.0,-1.222,-0.0,-0.705,-1.718,-1.607,-0.025,-0.0,-0.649,-0.0,-0.0,-0.088,-0.0,-0.026
WA,-0.252,-0.024,-1.355,-0.023,-0.332,-1.513,-1.628,-0.212,-0.005,-0.709,-0.005,-0.089,-0.125,-0.006,-0.078
WM,-0.167,-0.002,-1.231,-0.022,-0.135,-0.919,-1.481,-0.011,-0.004,-0.657,-0.0,-0.029,-0.042,-0.02,-0.016
ES,-0.37,-0.0,-1.368,-0.021,-0.42,-1.386,-0.233,-0.075,-0.0,-0.431,-0.0,-0.003,-0.014,-0.0,-0.022
WF,-0.12,-0.067,-0.642,-0.011,-0.576,-0.498,-0.926,-0.018,-0.018,-0.264,-0.003,-0.178,-0.182,-0.004,-0.025
MX,-0.015,-0.0,-0.146,-0.005,-0.074,-1.84,-0.88,-0.02,-0.0,-0.206,-0.0,-0.001,-0.009,-0.001,-0.047
CH,-0.021,0.0,-0.054,0.0,-0.014,-0.873,-1.073,-0.001,0.0,-0.887,-0.0,0.0,-0.002,0.0,-0.251
CA,-0.424,-0.0,-0.638,-0.002,-0.07,-0.441,-1.045,-0.021,-0.0,-0.384,-0.0,-0.0,-0.042,-0.0,-0.006
JP,-0.403,0.0,-0.164,0.0,-0.113,-0.285,-0.514,-0.028,0.0,-1.463,0.0,-0.0,-0.035,-0.0,-0.01
PL,-0.136,-0.0,-0.387,-0.002,-0.128,-0.732,-0.859,-0.016,-0.0,-0.506,-0.0,-0.0,-0.0,-0.0,-0.014
TR,-0.069,-0.001,-1.546,-0.001,-0.13,-0.106,-0.797,-0.001,-0.0,-0.055,-0.0,-0.011,-0.007,-0.001,-0.02
KR,-0.303,0.0,-0.536,-0.0,-0.182,-0.79,-0.553,-0.079,-0.0,-0.191,-0.0,-0.0,-0.02,-0.0,-0.01
LU,-0.059,0.0,-1.153,0.0,-0.236,-0.016,-0.731,-0.122,0.0,-0.118,0.0,0.0,-0.016,0.0,-0.045
IN,-0.036,-0.0,-0.656,-0.0,-0.066,-0.183,-0.589,-0.023,-0.0,-0.824,0.0,-0.001,-0.002,-0.0,-0.023
AT,-0.222,0.0,-0.474,-0.0,-0.077,-0.398,-0.592,-0.001,-0.0,-0.399,0.0,-0.0,-0.015,-0.0,-0.002
NL,-0.073,0.0,-0.064,0.0,-0.212,-0.232,-1.107,-0.008,0.0,-0.316,0.0,-0.0,-0.006,0.0,-0.003
CZ,-0.035,-0.0,-0.266,-0.0,-0.053,-0.78,-0.401,-0.007,-0.0,-0.372,-0.0,-0.0,-0.001,-0.0,-0.003
SE,-0.036,0.0,-0.809,-0.0,-0.063,-0.302,-0.357,-0.002,-0.0,-0.249,-0.0,-0.0,-0.004,-0.0,-0.0
WL,-0.06,-0.006,-0.225,-0.022,-0.532,-0.281,-0.308,-0.014,-0.002,-0.131,-0.001,-0.007,-0.011,-0.003,-0.013
TW,-0.009,-0.0,-0.012,-0.0,-0.026,-0.679,-0.268,-0.003,-0.0,-0.087,0.0,-0.0,-0.011,-0.0,-0.004
HU,-0.05,-0.0,-0.108,-0.0,-0.001,-0.438,-0.28,-0.0,-0.0,-0.2,-0.0,-0.0,-0.0,-0.0,-0.0
PT,-0.023,-0.0,-0.14,-0.0,-0.056,-0.345,-0.165,-0.002,-0.0,-0.18,-0.0,-0.0,-0.0,-0.0,-0.0
GR,-0.036,-0.001,-0.346,0.0,-0.057,-0.066,-0.322,-0.0,-0.0,-0.036,-0.0,-0.0,-0.0,-0.0,-0.0
SK,-0.045,-0.0,-0.018,-0.0,-0.016,-0.151,-0.256,-0.001,-0.0,-0.34,-0.0,-0.0,-0.0,-0.0,-0.001
IE,-0.01,0.0,-0.004,0.0,-0.001,-0.24,-0.228,-0.001,-0.0,-0.194,-0.0,0.0,-0.034,-0.0,-0.0
RO,-0.013,0.0,-0.06,-0.004,-0.014,-0.123,-0.266,-0.002,-0.0,-0.2,-0.0,-0.0,-0.001,-0.0,-0.0
DK,-0.031,-0.0,-0.055,-0.0,-0.018,-0.147,-0.183,-0.0,-0.0,-0.138,-0.0,-0.0,-0.0,-0.0,-0.0
FI,-0.004,-0.0,-0.091,-0.0,-0.026,-0.12,-0.039,-0.003,-0.0,-0.117,-0.0,-0.0,-0.027,-0.0,-0.0
WE,-0.024,-0.005,-0.147,-0.0,-0.03,-0.092,-0.039,-0.002,-0.001,-0.046,-0.0,-0.007,-0.004,-0.0,-0.0
NO,-0.038,-0.0,-0.088,-0.0,-0.057,-0.05,-0.051,-0.001,-0.0,-0.068,-0.0,-0.0,-0.037,-0.0,-0.003
BR,-0.018,-0.002,-0.102,-0.004,-0.021,-0.078,-0.039,-0.005,-0.001,-0.076,-0.0,-0.017,-0.005,-0.0,-0.005
ID,-0.005,-0.003,-0.134,-0.001,-0.013,-0.049,-0.049,-0.002,-0.0,-0.017,-0.001,-0.0,-0.02,-0.0,-0.001
AU,-0.047,-0.018,-0.038,-0.003,-0.007,-0.035,-0.039,-0.013,-0.002,-0.025,-0.001,-0.027,-0.017,-0.003,-0.018
SI,-0.017,0.0,-0.054,-0.0,-0.002,-0.068,-0.066,-0.0,-0.0,-0.047,-0.0,0.0,-0.0,-0.0,-0.0
BG,-0.003,-0.0,-0.001,-0.0,-0.098,-0.016,-0.022,-0.002,-0.0,-0.024,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.005,-0.0,-0.109,-0.0,-0.01,-0.008,-0.017,-0.001,-0.001,-0.003,-0.0,-0.001,-0.007,-0.001,-0.004
ZA,-0.004,0.0,-0.023,-0.0,-0.005,-0.019,-0.043,-0.001,-0.0,-0.023,-0.0,-0.03,-0.005,-0.0,-0.008
EE,-0.0,-0.0,-0.001,-0.0,-0.001,-0.034,-0.005,-0.0,-0.0,-0.008,-0.0,0.0,-0.001,-0.0,-0.0
HR,-0.002,-0.0,-0.002,-0.0,-0.001,-0.004,-0.011,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.0,-0.0,-0.003,-0.007,-0.01,-0.0,-0.0,-0.004,-0.0,0.0,-0.0,0.0,-0.0
LV,-0.001,-0.0,-0.001,-0.0,-0.001,-0.004,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.004,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
