Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.004,0.003,0.002,0.0,0.003,0.001,0.004,0.009,0.004
BE,0.0,0.0,0.0,0.0,0.009,0.0,0.008,0.024,0.024,0.013,0.004,0.036,0.005,0.027,0.008
BG,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.077,0.009,0.016,0.009
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.002,0.0,0.001,0.008,0.006,0.004
DE,0.0,0.0,0.022,0.045,0.0,0.0,0.063,0.069,0.04,0.026,0.041,0.018,0.037,0.053,0.166
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.091,0.0,0.02,0.002,0.0,0.007,0.009,0.01,0.019,0.003,0.007,0.014,0.004,0.004
FI,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.006,0.0,0.001,0.001,0.001
FR,0.006,,,,0.0,,0.705,0.734,0.38,0.285,0.521,0.084,0.304,0.314,0.124
GB,,0.0,0.001,0.008,0.0,0.001,0.015,0.008,0.017,0.006,0.019,0.008,0.017,0.024,0.006
GR,0.003,,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.001,0.005,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.004,0.004,0.002
IE,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.002,0.003,0.002
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.024,0.026,0.012,0.003,0.028,0.007,0.007,0.035
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.008,0.006,0.03,0.003,0.014,0.0,0.011,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.0,0.005,0.002,0.001,0.001,0.002,0.017,0.003
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.008,0.001,0.001,0.001,0.001
PL,0.0,0.008,0.006,0.001,0.0,0.001,0.002,0.003,0.003,0.004,0.0,0.004,0.007,0.013,0.005
PT,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.004,0.003,0.002
RO,,0.018,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.002
RU,0.0,0.002,0.018,0.007,0.0,0.012,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0
SE,,0.001,0.002,0.001,0.0,0.0,0.001,0.005,0.002,0.0,0.001,0.0,0.003,0.005,0.002
SI,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.003
WE,0.029,0.001,0.021,0.003,0.004,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0
BR,0.011,0.018,0.023,0.019,0.009,0.004,0.0,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001
