Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
GB,-71.27340458928879,0.0,-36.33326345452552,0.0,-12.090418286961032,-0.4618405668632529,-27.23181759306821,-2.9983288537328203,-0.0069803159818377,-0.5328309705631056,0.0,-0.1088523394434707,-9.232483721888595,-6.978547206084997e-05,-2.746890776608526
US,-1.826358492604662,-0.0002106566935995,-4.524334975778859,-0.0008973695581376,-0.9043435026161712,-3.3814813901489407,-11.671735984325226,-0.1121162478862218,-0.0041200853059018,-11.101474802997163,0.0,-1.527514468915676e-05,-0.3881598137425606,-0.0001757247883421,-0.2231908199692779
CN,-4.363528965119585,-0.000375875005536,-6.03391968940486,-0.0050530910438473,-1.9260880612739173,-3.4991105992597524,-4.871394011123994,-4.322062315031912,-0.0010829387341045,-0.0006566431885261,-0.0014354431066105,-0.0054498963731621,-1.1024163065736103,-0.0047471582678893,-0.4614965177444308
WA,-4.298405514794997,-0.0102594657006388,-5.903041163568111,-0.0025182046967004,-1.7889882574195208,-0.6452971426282145,-4.295448403653904,-0.1678063410090611,-0.0031084706347598,0.0,-0.0045788568576086,-0.005721020607376,-0.2321646166324146,-0.0004649737304363,-0.4661034369727327
DE,-1.626401788824112,0.0,-2.0110649487684538,0.0,-1.0237620613445857,-0.0497433086140031,-3.1307917954964952,-0.4169715954937925,-0.0012686569859246,-6.439776205671082,0.0,-0.001913248384163,-0.7225040018135976,0.0,-0.0356998100724162
FR,-1.648671735653956,-0.0013061371819997,-5.465011886567385,0.0,-0.948886894997216,-0.1209545941217289,-1.0619304753660015,-0.026831902350625,0.0,-1.821792806391276,-0.0006556330155988,-0.0003523068615311,-0.0942213687772698,0.0,-0.0225072234497077
IN,-0.6426909305473407,-4.033838399036187e-05,-6.709629600819402,-6.903880215599582e-06,-0.4181879818014073,-1.0983778708246552,-1.807126920527528,-0.02255714509247,-2.0949303826965027e-05,0.0,0.0,-0.0003794529475293,-0.009704842088351,-2.564573670646376e-05,-0.0204791674662982
CA,-1.5283128330557068,0.0,-2.468961049122323,-1.0524914334227981e-07,-0.3021874535084098,-0.2382736220487525,-1.0783607670269024,-0.4784490786162098,-5.194879129580368e-06,0.0,-2.705196097334089e-08,-9.981546039624076e-05,-0.1805746077331376,-0.0004027828514408,-0.0059276343133939
IE,-0.9725907692168556,0.0,-0.2605009590515852,0.0,-0.0275575311137984,0.0,-1.2709166182887854,-0.1130619409733234,-0.0683468562079869,-1.4304584684879251,0.0,0.0,-0.2677749838777181,-0.0026084541623064,-0.078395441012778
JP,-0.290747672666083,0.0,-0.4249672895377983,0.0,-1.8939078159105789,-0.4348123005592699,-0.9127120532642796,-0.0610241824301906,0.0,-7.582937062678215e-08,0.0,-0.0011575898209612,-0.1023053942090287,-0.0002041460005369,-0.0418573637496199
KR,-0.5757429549155701,0.0,-0.5478048908152381,-3.503733617775824e-06,-1.2112941799788806,-0.7050111912827898,-0.6385001019893582,-0.2514910141681263,-2.5854079572362903e-05,-7.88194599399387e-08,-0.0205951424193264,-0.0003011131959054,-0.0528336191773648,-0.0005103054670361,-0.0293987032277291
NL,-0.6534748071932495,0.0,-0.2808285205166774,0.0,-0.3211210104590341,0.0,-1.300804971145734,-0.1059801307332372,0.0,-1.2342013237590983,0.0,-0.0005809395929743,-0.0802598076769024,0.0,-0.0156474334860942
WL,-0.1769487879552857,-0.0005245058268693,-0.320742574514324,-8.235431301080204e-05,-2.7544245656937814,-0.0715621047814693,-0.2151140625346916,-0.029994745252779,-0.0002463162453725,0.0,-0.0005112653875018,-0.000379338193186,-0.0182535714803815,0.0,-0.027694237944604
WM,-0.6356261627695334,0.0,-0.3269913392481732,-0.000138033377656,-0.6686975771149363,-0.1042465185008348,-1.0740520924745751,-0.0741255960962185,0.0,0.0,0.0,0.0,-0.1834886175721063,0.0,-0.1243027908070675
BE,-0.4238407946633165,0.0,-0.543987754705489,0.0,-0.7353471136541895,-0.0314803756215877,-0.4840052689359843,-0.0524104252080968,0.0,-0.3257416999945203,0.0,-0.0009271848262192,-0.0414300934840102,0.0,-0.1488633851579565
ES,-0.4030577674014338,0.0,-0.6409361686691121,-0.1313813128013581,-0.3281874235528389,-0.2248617522513419,-0.3446543058382118,-0.0084678492953332,-0.0022014703637354,-0.2628554699283115,-0.0001116777480157,-0.0009638408366484,-0.0052932754603736,-0.0022914611731051,-0.0016325985398814
IT,-0.333484433799131,-0.0006772227759099,-0.6593257568290208,0.0,-0.3538551310047753,-0.0382014020474377,-0.1896111726574863,-0.0305873718236736,-1.0834604507305409e-07,-0.6504224727260519,0.0,-0.0003194164394311,-0.0055420328967727,-9.839223334916597e-08,-0.0357810447156098
SE,-0.0929846969126804,0.0,-0.6039401179620989,-0.001074512625116,-0.1172404400848215,-0.0011290246372166,-0.4621200089053253,-0.0346544195786953,-0.0003459246404847,-0.8360788856944358,-4.358992563020976e-05,-0.0001854613372935,-0.0129202467275173,-0.000359143694656,-0.0015157299503467
CH,-0.0440956544954736,0.0,-0.0307370257761198,0.0,-0.0040433204820896,-0.0026390766483855,-1.934844576858178,-0.0016580773742261,0.0,0.0,0.0,0.0,-0.0038023907285878,0.0,-0.1280063544461679
MX,-0.055116423749539,0.0,-0.2389584129643344,0.0,-0.1766559247555421,-0.1940227778280186,-1.372368168599279,-0.0432574593645512,0.0,0.0,0.0,0.0,-0.0059776885822154,0.0,-0.0563732270183819
AT,-0.3151894875395053,0.0,-0.1733470871495134,0.0,-0.0397855675962396,0.0,-0.6377469024380424,-0.0053300537872017,0.0,-0.4871068755928793,0.0,-0.0011917717170279,-0.0748676528875477,0.0,-0.0009005434774997
TR,-0.2616387965250384,-0.0020236034039693,-0.7531091692930051,-0.0013578005718212,-0.0736853700233488,-0.0033070935464808,-0.4234377277023909,-0.0029786558531921,-0.001523373027817,-0.0002965000379563,-0.0029481004070629,-0.0016735308782903,-0.0071182336601679,-0.0053236467067846,-0.0469586984290083
ID,-0.2402127322810835,-6.069967378897282e-08,-0.3679242590866226,-9.570598177025735e-07,-0.1047994456809159,-0.0564166782988228,-0.4308534211589146,-0.0247070261864964,-1.1333873135844164e-05,0.0,-2.1746759293160195e-06,-3.1019287488076964e-08,-0.0423396075173646,-5.678241169063229e-08,-0.0021149923212774
PL,-0.0703071115392967,0.0,-0.1585369468329663,-0.0007004622085296,-0.3359620738215498,-0.0071172145405205,-0.2865761828724847,-0.0291734531606901,-5.291445020663873e-05,-0.3133814655045554,-9.73509230463943e-05,-1.3419212755318905e-05,-0.0001173957008858,-1.753653665550803e-05,-0.0281722721523916
