Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
GB,-3.847,0.0,-63.006,-0.0,-11.207,-37.01,-23.585,-4.13,-0.001,-9.598,-0.011,-0.0,-19.416,-0.004,-1.483
CN,-5.458,-0.069,-5.112,-0.105,-23.36,-36.678,-7.959,-2.367,-0.008,-42.666,-0.01,-1.247,-1.123,-0.024,-2.229
US,-0.493,-0.0,-2.945,-0.019,-0.704,-1.969,-10.485,-0.115,-0.001,-8.323,0.0,-0.0,-0.073,-0.014,-0.101
DE,-0.869,-0.0,-2.267,-0.0,-0.636,-1.346,-0.794,-0.204,-0.0,-5.307,-0.0,-0.0,-0.651,-0.0,-0.023
WA,-0.156,-0.036,-3.063,-0.037,-0.444,-1.926,-2.451,-0.247,-0.007,-0.822,-0.007,-0.111,-0.347,-0.008,-0.173
WM,-0.103,-0.003,-1.602,-0.03,-0.096,-0.941,-1.538,-0.034,-0.005,-0.627,-0.0,-0.033,-0.092,-0.023,-0.039
IE,-0.205,0.0,-0.129,0.0,-0.014,-1.482,-0.992,-0.011,-0.0,-1.264,-0.0,0.0,-0.097,-0.0,-0.003
CA,-0.482,-0.0,-0.93,-0.003,-0.059,-0.371,-1.143,-0.099,-0.0,-0.38,-0.0,-0.0,-0.225,-0.001,-0.012
TR,-0.016,-0.0,-2.217,-0.001,-0.033,-0.081,-1.025,-0.001,-0.0,-0.067,-0.0,-0.008,-0.02,-0.001,-0.015
JP,-0.193,0.0,-0.208,0.0,-0.221,-0.377,-0.58,-0.039,0.0,-1.38,0.0,-0.0,-0.022,-0.0,-0.007
IN,-0.039,-0.0,-0.933,-0.001,-0.084,-0.203,-0.701,-0.039,-0.0,-0.845,0.0,-0.001,-0.002,-0.0,-0.033
IT,-0.114,-0.0,-0.784,-0.0,-0.279,-0.208,-0.104,-0.112,-0.0,-0.958,-0.0,-0.0,-0.016,-0.0,-0.021
FR,-0.195,-0.0,-0.636,0.0,-0.117,-0.749,-0.479,-0.031,0.0,-0.299,0.0,-0.0,-0.035,0.0,-0.002
SE,-0.088,0.0,-1.076,-0.0,-0.049,-0.285,-0.424,-0.018,-0.0,-0.207,-0.0,-0.0,-0.069,-0.0,-0.0
KR,-0.111,0.0,-0.354,-0.0,-0.248,-0.524,-0.356,-0.159,-0.0,-0.13,-0.0,-0.0,-0.036,-0.0,-0.01
MX,-0.014,-0.0,-0.082,-0.003,-0.067,-1.048,-0.511,-0.04,-0.0,-0.111,-0.0,-0.0,-0.014,-0.0,-0.025
BE,-0.049,-0.0,-0.573,-0.0,-0.217,-0.156,-0.338,-0.073,-0.0,-0.195,-0.0,-0.006,-0.049,-0.0,-0.029
WL,-0.017,-0.006,-0.139,-0.02,-0.789,-0.167,-0.16,-0.013,-0.002,-0.072,-0.001,-0.007,-0.01,-0.002,-0.011
ES,-0.067,-0.0,-0.48,-0.007,-0.107,-0.33,-0.057,-0.147,-0.0,-0.101,-0.0,-0.001,-0.012,-0.0,-0.004
NL,-0.035,0.0,-0.066,0.0,-0.085,-0.21,-0.663,-0.021,0.0,-0.217,0.0,-0.0,-0.006,0.0,-0.003
WF,-0.014,-0.026,-0.269,-0.008,-0.086,-0.136,-0.258,-0.009,-0.007,-0.074,-0.001,-0.089,-0.071,-0.002,-0.01
TW,-0.011,-0.0,-0.015,-0.0,-0.041,-0.51,-0.187,-0.005,-0.0,-0.052,0.0,-0.0,-0.07,-0.0,-0.004
PL,-0.017,-0.0,-0.095,-0.001,-0.045,-0.227,-0.226,-0.032,-0.0,-0.157,-0.0,-0.0,-0.0,-0.0,-0.004
CH,-0.004,0.0,-0.009,0.0,-0.002,-0.202,-0.214,-0.001,0.0,-0.192,-0.0,0.0,-0.001,0.0,-0.071
CZ,-0.008,-0.0,-0.075,-0.0,-0.015,-0.265,-0.139,-0.039,-0.0,-0.121,-0.0,-0.0,-0.012,-0.0,-0.001
NO,-0.031,-0.0,-0.196,-0.0,-0.027,-0.071,-0.073,-0.012,-0.0,-0.086,-0.0,-0.0,-0.09,-0.0,-0.004
AT,-0.043,0.0,-0.125,-0.0,-0.025,-0.135,-0.143,-0.003,-0.0,-0.108,0.0,-0.0,-0.005,-0.0,-0.001
DK,-0.011,-0.0,-0.04,-0.0,-0.007,-0.19,-0.139,-0.001,-0.0,-0.178,-0.0,-0.0,-0.001,-0.0,-0.0
AU,-0.06,-0.027,-0.055,-0.006,-0.015,-0.052,-0.047,-0.055,-0.003,-0.033,-0.001,-0.037,-0.118,-0.004,-0.026
LU,-0.018,0.0,-0.192,0.0,-0.046,-0.017,-0.138,-0.052,0.0,-0.041,0.0,0.0,-0.004,0.0,-0.011
PT,-0.003,-0.0,-0.122,-0.0,-0.006,-0.165,-0.087,-0.017,-0.0,-0.072,-0.0,-0.0,-0.0,-0.0,-0.0
FI,-0.002,-0.0,-0.093,-0.0,-0.017,-0.101,-0.034,-0.013,-0.0,-0.089,-0.0,-0.0,-0.058,-0.0,-0.0
ID,-0.003,-0.004,-0.255,-0.001,-0.018,-0.041,-0.041,-0.003,-0.0,-0.013,-0.001,-0.0,-0.01,-0.0,-0.001
HU,-0.005,-0.0,-0.042,-0.0,-0.0,-0.134,-0.072,-0.001,-0.0,-0.07,-0.0,-0.0,-0.0,-0.0,-0.0
BR,-0.011,-0.002,-0.088,-0.003,-0.022,-0.049,-0.029,-0.005,-0.001,-0.049,-0.0,-0.012,-0.004,-0.0,-0.003
WE,-0.011,-0.005,-0.082,-0.0,-0.014,-0.051,-0.02,-0.005,-0.001,-0.026,-0.0,-0.006,-0.01,-0.0,-0.0
GR,-0.017,-0.0,-0.075,0.0,-0.017,-0.019,-0.077,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
SK,-0.004,-0.0,-0.012,-0.0,-0.003,-0.048,-0.058,-0.003,-0.0,-0.065,-0.0,-0.0,-0.0,-0.0,-0.001
RO,-0.002,0.0,-0.02,-0.002,-0.005,-0.039,-0.047,-0.001,-0.0,-0.046,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.003,-0.0,-0.064,-0.0,-0.008,-0.006,-0.01,-0.0,-0.001,-0.002,-0.0,-0.001,-0.005,-0.001,-0.003
ZA,-0.003,0.0,-0.015,-0.0,-0.005,-0.012,-0.016,-0.001,-0.0,-0.013,-0.0,-0.023,-0.004,-0.0,-0.007
SI,-0.007,0.0,-0.013,-0.0,-0.001,-0.032,-0.026,-0.0,-0.0,-0.019,-0.0,0.0,-0.0,-0.0,-0.0
BG,-0.001,-0.0,-0.001,-0.0,-0.055,-0.011,-0.013,-0.001,-0.0,-0.015,-0.0,-0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.0,-0.0,-0.001,-0.018,-0.004,-0.0,-0.0,-0.003,-0.0,0.0,-0.001,-0.0,-0.0
LT,-0.0,0.0,-0.0,-0.0,-0.001,-0.005,-0.009,-0.0,-0.0,-0.004,-0.0,0.0,-0.0,0.0,-0.0
HR,-0.001,-0.0,-0.002,-0.0,-0.0,-0.003,-0.006,-0.0,-0.0,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0
LV,-0.001,-0.0,-0.001,-0.0,-0.001,-0.003,-0.001,-0.0,-0.0,-0.003,-0.0,0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.004,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
