Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.003,0.001,0.001,0.0,0.0,0.0,0.002,0.003,0.001
BE,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.006,0.006,0.009,0.002,0.007,0.002,0.006,0.003
BG,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.016,0.002,0.004,0.003
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.005,0.001,0.0,0.003,0.002,0.002
DE,0.0,0.0,0.011,0.007,0.0,0.0,0.068,0.026,0.016,0.025,0.029,0.005,0.015,0.014,0.071
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.027,0.0,0.004,0.001,0.0,0.005,0.005,0.003,0.018,0.001,0.001,0.004,0.001,0.001
FI,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.002,0.003,0.0,0.001,0.001,0.001
FR,0.0,,,,0.0,,0.015,0.007,0.003,0.004,0.002,0.0,0.008,0.008,0.004
GB,,0.0,0.024,0.334,0.0,0.05,0.3,0.711,0.285,0.506,0.852,0.339,0.418,0.418,0.128
GR,0.002,,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001
IE,,,0.008,0.001,,0.0,0.016,0.001,0.0,0.001,0.004,0.001,0.017,0.018,0.017
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.009,0.007,0.014,0.001,0.005,0.002,0.002,0.013
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.002,0.001,0.006,0.0,0.003,0.0,0.002,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.003,0.001,0.002,0.003,0.0,0.001,0.002,0.012,0.003
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.001,0.004,0.001,0.001,0.001,0.001
PL,0.0,0.003,0.003,0.0,0.0,0.0,0.001,0.001,0.001,0.004,0.0,0.001,0.003,0.004,0.002
PT,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.002,0.002,0.001
RO,,0.009,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001
RU,0.0,0.001,0.014,0.003,0.0,0.008,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0
SE,,0.002,0.002,0.001,0.0,0.0,0.007,0.012,0.001,0.002,0.003,0.0,0.003,0.008,0.003
SI,,0.0,0.0,0.0,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
WE,0.026,0.001,0.025,0.002,0.004,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0
BR,0.009,0.014,0.019,0.009,0.007,0.003,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001
