Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-13.431389317691355,-0.000464773223152,-8.774001727763459,-0.0063993245203639,-7.0936636490466505,-6.973263416625676,-18.08106374369195,-4.222003867240714,-0.0020202044243867,-0.0011344205978791,-0.0024771068534226,-0.007140172648522,-0.8425456264195296,-0.0088490432401514,-0.4631674412908357
GR,-1.173470560761865,-0.0348349549977724,-1.271670677380289,0.0,-1.2775403120530238,-1.63370171849099,-1.2108840672249026,-6.538835610492672,-0.0306232438629646,0.0,-10.03168987836897,-0.000120422383871,-0.1173333712822482,-0.0293252170998947,-0.1351745105692112
BG,-1.0249132471110516,0.0,-0.1892041463385129,-0.3593479853374176,-15.230811700273431,0.0,-0.7229270094240614,-0.1079089704955831,-0.0061647138771441,0.0,0.0,-0.0002486102065979,-0.016694108667951,-0.0712756656748264,-0.0007891299787609
WE,-0.444250642411658,-0.0014849641092899,-3.5085116495175583,-2.286578628470356,-2.3520352474842,-0.3674728373600799,-3.520028502493437,-0.0843763861004139,-0.0056475924051094,0.0,-0.0026257551446127,-0.0114383373759553,-0.1896178848326487,-0.0027055513753009,-0.0977110854852039
US,-0.341678590033927,-0.0001007385495754,-1.4888299451361644,-0.0004880922983796,-0.4205745288444633,-1.4671583472601628,-3.3254530903317896,-0.0272408770750512,-0.0024154528252808,-4.7724196478388885,0.0,-7.484250813071105e-06,-0.1132884782890355,-0.0001056669766882,-0.1597428824898188
WA,-0.6281969351988367,-0.0014686267688288,-3.5683404233596185,-0.0027445290473189,-2.0309155476042475,-0.6448897758099059,-2.2774714195574943,-0.3861265698463653,-0.0058018509986043,0.0,-0.0029980210205281,-0.0045289435558478,-0.1193456007242008,-0.0040405549621284,-0.3115275757138011
ID,-0.1644795863737698,-1.6400313761214451e-06,-6.802723417543941,-2.446804112480733e-05,-0.3929132493856779,-0.1734785939334393,-0.4637458013140716,-0.0717440336922895,-4.369435857366608e-05,0.0,-9.45428971260002e-05,-8.199534422745758e-07,-0.1441913463370694,-2.2428117098063533e-06,-0.0074157441659615
DE,-0.2936702033300556,0.0,-0.9467685404890293,0.0,-1.3061771561129307,-0.041941138703186,-1.1699101725083427,-0.3210700800496306,-0.0009836016027074,-2.848845285063357,0.0,-0.0009661073690288,-0.1272386454883934,0.0,-0.363069258434976
IT,-0.5279261466289561,-0.0018032392276062,-1.840364517609048,0.0,-0.7782629733692039,-0.162579267066091,-0.3875950890627724,-0.4123252935510615,-2.9531395910315985e-07,-2.3794235956793184,0.0,-0.0022547053658518,-0.0224758948436056,-7.192545604254281e-07,-0.1650899539118483
SI,-1.8641871913215704,0.0,-1.8540060073740243,0.0,-0.0296347433408775,0.0,-0.9635722605407938,-0.0044800078397657,0.0,-0.7344838716368024,0.0,0.0,-0.025018460724408,0.0,-0.001502648179482
KR,-0.0967438284858079,0.0,-0.7744685916112513,-3.309258843483684e-06,-1.9687155733973536,-0.4057001091682213,-0.3182900946604589,-0.5702521041721013,-2.7358461529980715e-05,-1.8601058933089202e-07,-0.0717674265186521,-0.0006789474444486,-0.040338997549151,-0.001403370164757,-0.0413738466492999
ES,-0.2463238158700572,0.0,-0.5718807777307644,-0.4876793641477788,-0.6942269923834213,-0.5519538148680734,-0.6159376561426826,-0.0693295370183137,-0.0096559391583703,-0.4174677398034746,-0.0012998636570098,-0.0040552094635266,-0.0225770667522487,-0.0098442303302696,-0.0063872472699801
TR,-0.3215518980546889,-0.0052884071314409,-0.961898810010496,-0.0076509600553382,-0.7860817006716231,-0.0577609028982446,-0.5806834358323577,-0.0159938464222192,-0.0064238407075196,-0.0017044350697053,-0.0198073955124207,-0.0192852997596042,-0.0449789316035065,-0.0251870860167461,-0.3999151618865784
WL,-0.1337483167693861,-0.0003936650337968,-0.3472978370601229,-0.0002409046952968,-2.340879120134944,-0.0776053801205807,-0.2174565732924822,-0.039579312063451,-0.0002163224255897,0.0,-0.0007163786421674,-0.0002847131263703,-0.0202845343118568,0.0,-0.0380327127825288
IN,-0.1389889601983819,-0.0001100488114474,-2.044431056259356,-2.72112527438553e-05,-0.3034094206543086,-0.2942996832863905,-0.2828555395986226,-0.0492836784486405,-3.980361065333627e-05,0.0,0.0,-9.957393869466776e-05,-0.0038548215410232,-4.168155521796845e-05,-0.0110379924082898
WM,-0.3462652194278148,0.0,-0.433739784357763,-0.000293287926147,-1.3325181221919151,-0.0947333816177094,-0.5644272715531781,-0.0915113345467871,0.0,0.0,0.0,0.0,-0.1507736989749217,0.0,-0.0793212210614451
JP,-0.0879020325886182,0.0,-0.7598406107419615,0.0,-0.8990837317875645,-0.3473170151528554,-0.7315701022781833,-0.0351006672108963,0.0,-2.1324633889695242e-07,0.0,-0.001193118946649,-0.0538551864713339,-0.0003649732807878,-0.0707300706905004
RO,-0.064327177671618,0.0,-0.5917585034719015,-2.692175733711092e-05,-0.0530900538299495,0.0,-0.4403670474471865,-0.0011360057823016,-6.620123973330823e-07,-0.9596622838581452,0.0,-1.6458749984661165e-07,-0.0031929788640569,-5.23538807815112e-05,-0.0003000372311071
WF,-0.0810838506682245,-0.0015197870284055,-0.1585636619975493,-0.0050624289855912,-0.7702987909371554,-0.0229998496138734,-0.0074349482291748,-0.174128804532017,-0.017817888106323,0.0,-0.0124844524166275,-0.0035989823680278,-0.8111072657904129,0.0,-0.0347224495707503
AU,-0.1475596459788191,-0.0111618530819739,-0.4736578804547044,-0.0031495906919117,-0.3298045818618056,-0.0716657574096395,-0.0348417269670095,-0.2070610576062312,-0.0010563625963228,0.0,-0.0698971506833909,-0.0002707367162859,-0.4710794253770224,-0.0105997092212965,-0.1963100929676931
PL,-0.0723614259831491,0.0,-0.1897865015508913,-0.0014306291737818,-0.7050267916481883,-0.0231876616530325,-0.3180671171506993,-0.0737304280105105,-0.0001257019856811,-0.3656627242544965,-0.0045024261595874,-9.999993898789864e-05,-0.0001421009896406,-3.268554072374034e-05,-0.0482684184171996
CA,-0.4323573386494314,0.0,-0.6386299735912531,-4.4063269353508346e-08,-0.207054102398973,-0.0708671357626119,-0.3511680872061889,-0.0487543007206016,-2.02314691966616e-06,0.0,-1.7980489616208826e-08,-8.669286845155557e-06,-0.0157991209000045,-0.0004460844983475,-0.0064358619044755
BE,-0.1413799913592707,0.0,-0.2293150035868241,0.0,-0.7754552390454751,-0.0181643333685533,-0.2214632112065217,-0.0343664431129914,0.0,-0.1631524223832516,0.0,-0.0003963078721554,-0.0151580880306018,0.0,-0.1048770143920292
FR,-0.3268867376872115,-0.0001180856149691,-0.4476765316576775,0.0,-0.141760734373471,-0.0191271232655852,-0.1554703373677908,-0.1314145630257699,0.0,-0.2722020032922278,-6.860946114259432e-05,-2.523694717471205e-05,-0.0051844344907115,0.0,-0.0024830621972801
GB,-0.0708865076886637,0.0,-0.2183296306715363,0.0,-0.5124930694515035,-0.0122279912236775,-0.385220059641406,-0.1321959007081724,-9.327867394008368e-05,-0.0068017847244015,0.0,-0.0014541837311706,-0.0772315949872687,-3.671767439827654e-07,-0.0232155253928552
AT,-0.1101852708615737,0.0,-0.1741236465130908,0.0,-0.0508608808448804,0.0,-0.3549287748761618,-0.007472313237732,0.0,-0.3853191392579955,0.0,-0.0014222286296475,-0.0317042615254721,0.0,-0.0016069616866639
NL,-0.0772193739902502,0.0,-0.0587735845866984,0.0,-0.1201070403340053,0.0,-0.3010197124829359,-0.0809475340137856,0.0,-0.4494543771097105,0.0,-0.0002079829256602,-0.0134293830648817,0.0,-0.0075829233690354
MX,-0.0237899109779058,0.0,-0.1421172107702242,0.0,-0.0936835223829495,-0.1047525390452404,-0.6848313029693155,-0.0126010109906512,0.0,0.0,0.0,0.0,-0.0025635574983789,0.0,-0.0415935024654152
RU,-0.0813524727221009,-3.405449078874919e-05,-0.2948398380414893,-0.0001055609182742,-0.2252359533472835,-0.2807841594243668,-0.0244449695474463,-0.0127748153774031,-2.8654314769302414e-05,0.0,-0.0008973524666093,-4.895081211844919e-05,-0.0466394027534586,-0.0002904035247164,-0.071439021785124
SK,-0.0299576088600276,0.0,-0.0488025078795127,-0.000826622273909,-0.0216355247955381,0.0,-0.3038249086259101,-0.0219084929435248,-0.0004336895399582,-0.4229267836398513,0.0,0.0,-0.0011870772086384,-0.0256892825650118,-0.0022325511671608
PT,-0.005400715638743,0.0,-0.115448371589952,-0.0005494824635825,-0.0841563506402424,-0.1631033980119094,-0.3852895269682884,-0.005769244477672,-4.640101420923879e-05,-0.0960324473896602,0.0,-9.01472884583339e-05,-0.0003277854872518,-7.112754833190653e-05,-0.0005054439958611
CZ,-0.0451416270697876,-2.5735932830620023e-05,-0.0811851878808166,0.0,-0.0422218488445606,-0.0002508691901465,-0.196992603244733,-0.0231772882597487,-8.735804880890834e-06,-0.2839853084299204,-1.0509341827476849e-05,-3.5378742715983366e-05,-0.0019901467059885,0.0,-0.0018279907797053
CH,-0.006329667533883,0.0,-0.0106669835284935,0.0,-0.0020153391683762,-0.0011208809486737,-0.3035256027183259,-0.0010008909388276,0.0,0.0,0.0,0.0,-0.0008804844337458,0.0,-0.2419273728742747
BR,-0.0246120345421116,-2.5887582046368715e-05,-0.3548300436798375,-1.5617797793686104e-05,-0.0374648433205253,-0.092131651764979,-0.0229081784227175,-0.0058149048781045,-3.70061422260395e-05,0.0,-0.0001103931894938,-1.5545305195781412e-05,-0.0049849702979265,-0.0001077671970949,-0.0025690100893435
SE,-0.0193627752459736,0.0,-0.0992119173693668,-0.0007109724006324,-0.0429889279618758,-0.0008145092544729,-0.0701306535934734,-0.0073535673434162,-0.0001982640793062,-0.1833494551696858,-3.0139348097820727e-05,-7.689630530342259e-05,-0.0033645059868975,-0.0002214999783373,-0.0004981327102354
FI,-0.002681831749385,0.0,-0.0428307262014615,-0.0002483474002686,-0.045452670384207,0.0,-0.0153581553406304,-0.0020771638143283,-6.349619493663625e-05,-0.0897340047807684,-0.0070923974196851,-5.7270626698960446e-05,-0.025544401591659,-0.0008434363289213,-0.0002808750488947
HR,-0.0309464649504998,-7.48960060998747e-06,-0.0095160589243148,0.0,-0.0037276377680691,0.0,-0.0271531713827602,-6.721052961618396e-05,-4.839437379305003e-10,-0.1374729983232025,-4.335518332223052e-07,0.0,-0.0005911699846227,0.0,-4.0805491233482046e-05
ZA,-0.0100692680882614,0.0,-0.0626813274717799,-1.802152403563967e-05,-0.0158105190830219,-0.0177479061485994,-0.0338167061611974,-0.000595939263146,-4.587458428503269e-06,0.0,-0.0009260379955039,-7.541960405982719e-05,-0.0091247896259044,-5.388643603251567e-05,-0.0405957143888009
