Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-2.829,-0.029,-2.151,-0.047,-13.018,-17.356,-3.387,-1.807,-0.004,-19.06,-0.005,-0.618,-0.632,-0.012,-1.325
GR,-5.491,-0.598,-15.652,0.0,-4.644,-2.462,-14.142,-0.756,-0.007,-2.408,-0.0,-0.0,-0.126,-0.0,-0.104
US,-0.859,-0.0,-2.146,-0.017,-0.798,-1.419,-6.838,-0.024,-0.001,-5.403,0.0,-0.0,-0.076,-0.015,-0.094
DE,-0.631,-0.0,-1.1,-0.0,-0.74,-1.242,-0.895,-0.108,-0.0,-4.727,-0.0,-0.0,-0.051,-0.0,-0.05
IT,-0.395,-0.0,-1.396,-0.0,-0.716,-0.592,-0.215,-0.232,-0.0,-2.171,-0.0,-0.0,-0.009,-0.0,-0.125
WM,-0.132,-0.004,-1.0,-0.03,-0.143,-0.95,-1.23,-0.019,-0.007,-0.594,-0.0,-0.043,-0.057,-0.026,-0.027
WA,-0.099,-0.05,-0.437,-0.02,-0.207,-0.649,-0.603,-0.341,-0.005,-0.27,-0.008,-0.056,-0.096,-0.006,-0.074
BG,-0.031,-0.0,-0.007,-0.006,-1.528,-0.274,-0.34,-0.015,-0.002,-0.412,-0.0,-0.0,-0.001,-0.004,-0.0
GB,-0.115,0.0,-0.16,-0.0,-0.777,-0.548,-0.525,-0.079,-0.0,-0.212,-0.0,-0.0,-0.032,-0.0,-0.048
SI,-0.505,0.0,-0.579,-0.0,-0.012,-0.401,-0.522,-0.002,-0.0,-0.31,-0.0,0.0,-0.003,-0.0,-0.0
WE,-0.151,-0.115,-0.827,-0.003,-0.164,-0.46,-0.182,-0.051,-0.004,-0.155,-0.002,-0.047,-0.043,-0.001,-0.005
WF,-0.038,-0.223,-0.289,-0.009,-0.274,-0.228,-0.328,-0.048,-0.036,-0.099,-0.008,-0.195,-0.354,-0.003,-0.044
FR,-0.108,-0.0,-0.346,0.0,-0.349,-0.676,-0.269,-0.015,0.0,-0.265,0.0,-0.0,-0.018,0.0,-0.005
MX,-0.011,-0.0,-0.112,-0.006,-0.064,-1.189,-0.396,-0.016,-0.0,-0.1,-0.0,-0.001,-0.006,-0.001,-0.04
JP,-0.08,0.0,-0.1,0.0,-0.132,-0.143,-0.242,-0.409,0.0,-0.58,0.0,-0.0,-0.04,-0.0,-0.009
WL,-0.016,-0.004,-0.06,-0.013,-1.303,-0.134,-0.09,-0.011,-0.001,-0.05,-0.0,-0.005,-0.009,-0.001,-0.009
TR,-0.048,-0.001,-0.347,-0.002,-0.185,-0.353,-0.42,-0.003,-0.0,-0.04,-0.0,-0.019,-0.029,-0.003,-0.252
BE,-0.05,-0.0,-0.452,-0.0,-0.235,-0.193,-0.268,-0.037,-0.0,-0.125,-0.0,-0.005,-0.006,-0.0,-0.047
CA,-0.158,-0.0,-0.223,-0.003,-0.051,-0.267,-0.362,-0.078,-0.0,-0.17,-0.0,-0.0,-0.066,-0.0,-0.026
PL,-0.049,-0.0,-0.129,-0.001,-0.079,-0.436,-0.329,-0.016,-0.0,-0.224,-0.0,-0.0,-0.0,-0.0,-0.007
ES,-0.059,-0.0,-0.311,-0.005,-0.21,-0.27,-0.029,-0.18,-0.0,-0.061,-0.0,-0.001,-0.039,-0.0,-0.052
IN,-0.026,-0.0,-0.428,-0.001,-0.043,-0.094,-0.256,-0.023,-0.0,-0.322,0.0,-0.001,-0.001,-0.0,-0.017
AT,-0.059,0.0,-0.193,-0.0,-0.034,-0.3,-0.225,-0.002,-0.0,-0.199,0.0,-0.0,-0.011,-0.0,-0.004
KR,-0.042,0.0,-0.114,-0.0,-0.157,-0.318,-0.176,-0.123,-0.0,-0.071,-0.0,-0.0,-0.014,-0.0,-0.01
RO,-0.011,0.0,-0.148,-0.014,-0.049,-0.138,-0.282,-0.005,-0.0,-0.259,-0.0,-0.001,-0.002,-0.001,-0.0
HU,-0.014,-0.0,-0.244,-0.0,-0.001,-0.358,-0.144,-0.0,-0.0,-0.122,-0.0,-0.0,-0.0,-0.0,-0.001
CZ,-0.016,-0.0,-0.063,-0.0,-0.036,-0.325,-0.158,-0.005,-0.0,-0.173,-0.0,-0.0,-0.001,-0.0,-0.001
NL,-0.029,0.0,-0.037,0.0,-0.067,-0.104,-0.36,-0.02,0.0,-0.148,0.0,-0.0,-0.004,0.0,-0.002
CH,-0.003,0.0,-0.006,0.0,-0.002,-0.165,-0.151,-0.0,0.0,-0.152,-0.0,0.0,-0.001,0.0,-0.165
SE,-0.059,0.0,-0.213,-0.001,-0.04,-0.111,-0.086,-0.002,-0.0,-0.115,-0.0,-0.0,-0.007,-0.0,-0.0
SK,-0.014,-0.0,-0.132,-0.0,-0.024,-0.077,-0.163,-0.001,-0.0,-0.145,-0.0,-0.0,-0.0,-0.0,-0.001
TW,-0.004,-0.0,-0.009,-0.0,-0.023,-0.245,-0.078,-0.018,-0.0,-0.029,0.0,-0.0,-0.007,-0.0,-0.003
LU,-0.009,0.0,-0.133,0.0,-0.04,-0.013,-0.118,-0.025,0.0,-0.055,0.0,0.0,-0.003,0.0,-0.009
DK,-0.018,-0.0,-0.019,-0.0,-0.006,-0.117,-0.095,-0.0,-0.0,-0.146,-0.0,-0.0,-0.001,-0.0,-0.0
ID,-0.005,-0.007,-0.149,-0.002,-0.022,-0.076,-0.059,-0.004,-0.0,-0.011,-0.001,-0.0,-0.054,-0.0,-0.001
IE,-0.007,0.0,-0.002,0.0,-0.0,-0.162,-0.119,-0.0,-0.0,-0.075,-0.0,0.0,-0.003,-0.0,-0.0
PT,-0.014,-0.0,-0.154,-0.0,-0.024,-0.067,-0.042,-0.007,-0.0,-0.042,-0.0,-0.0,-0.001,-0.0,-0.006
ZA,-0.005,0.0,-0.018,-0.0,-0.008,-0.091,-0.022,-0.002,-0.0,-0.074,-0.0,-0.064,-0.007,-0.0,-0.01
FI,-0.002,-0.0,-0.039,-0.0,-0.013,-0.065,-0.016,-0.01,-0.0,-0.051,-0.0,-0.0,-0.054,-0.0,-0.001
AU,-0.022,-0.022,-0.026,-0.005,-0.01,-0.032,-0.019,-0.014,-0.002,-0.014,-0.001,-0.028,-0.017,-0.004,-0.022
RU,-0.007,-0.0,-0.084,-0.001,-0.021,-0.016,-0.026,-0.001,-0.001,-0.007,-0.0,-0.002,-0.023,-0.002,-0.008
NO,-0.014,-0.0,-0.021,-0.0,-0.01,-0.02,-0.019,-0.001,-0.0,-0.031,-0.0,-0.0,-0.02,-0.0,-0.007
BR,-0.006,-0.002,-0.04,-0.003,-0.014,-0.027,-0.01,-0.002,-0.001,-0.019,-0.0,-0.009,-0.003,-0.0,-0.003
HR,-0.011,-0.0,-0.012,-0.0,-0.002,-0.01,-0.03,-0.0,-0.0,-0.016,-0.0,-0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03,-0.004,-0.0,-0.0,-0.003,-0.0,0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.001,-0.0,-0.001,-0.02,-0.007,-0.0,-0.0,-0.004,-0.0,0.0,-0.002,-0.0,-0.0
