Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.005,0.006,0.001,0.0,0.006,0.002,0.009,0.007,0.005
BE,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.015,0.009,0.008,0.003,0.018,0.006,0.008,0.003
BG,0.0,0.03,0.022,0.0,0.0,0.046,0.003,0.0,0.058,0.003,0.0,0.0,0.008,0.01,0.01
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.063,0.005,0.004,0.004
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.001,0.0,0.01,0.005,0.004
DE,0.0,0.0,0.005,0.007,0.0,0.0,0.052,0.037,0.028,0.024,0.027,0.019,0.037,0.026,0.119
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.004,0.003,0.004
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0
ES,0.0,0.028,0.0,0.005,0.001,0.0,0.005,0.01,0.008,0.04,0.02,0.02,0.008,0.001,0.002
FI,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.002,0.028,0.0,0.002,0.0,0.001
FR,0.0,,,,0.0,,0.009,0.011,0.013,0.003,0.009,0.002,0.02,0.008,0.007
GB,,0.0,0.0,0.003,0.0,0.0,0.009,0.005,0.03,0.017,0.016,0.018,0.016,0.015,0.005
GR,0.567,,0.091,0.002,0.0,0.0,0.448,0.52,0.177,0.168,0.065,0.04,0.074,0.412,0.061
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
