Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
SI,-14.770445464453264,0.0,-14.596869985469343,0.0,-0.221413890048701,0.0,-7.316285587037526,-0.0303746613092143,0.0,-5.650050621244962,0.0,0.0,-0.1965500720722483,0.0,-0.0118060168943211
WE,-1.0887487211815932,-0.0035412107430339,-7.80266310597816,-6.278248641681942,-4.840676147961147,-0.8991587859927628,-9.519344567255631,-0.1825012199121001,-0.0131184619962777,0.0,-0.0065407871808177,-0.0290275242468677,-0.4645193196047996,-0.0061303048566958,-0.231150384864073
CN,-1.6902955502878512,-0.0002042233703946,-3.5603144134509863,-0.0030192285490075,-10.928294971902748,-3.631892401127337,-3.275544363828182,-1.459994965658708,-0.0014149773079557,-0.0005109444464312,-0.0016251716238059,-0.003444170728063,-0.4007079341341391,-0.0066071749495001,-0.1656037401215127
DE,-0.8894049875262054,0.0,-1.832860372759,0.0,-0.6751211375747636,-0.0841418823618286,-2.527471381630594,-0.0820481700006056,-0.0003187084129056,-6.038286396549453,0.0,-0.0015601441697951,-0.2826744526736097,0.0,-0.1684321552166797
US,-0.4323174603309725,-8.589258240727373e-05,-1.4462752354059578,-0.0003994092753014,-0.2725197677770338,-1.2200614576806563,-3.551333671875936,-0.0115913582930391,-0.0018854314072601,-3.9258313067227006,0.0,-6.378103105219896e-06,-0.0849842203057453,-7.182649223094411e-05,-0.111640063304306
WA,-0.2793042885199934,-0.000655142098736,-1.9387046644303452,-0.0012125305030901,-1.5209485387920334,-0.2653944386913326,-1.1653539039136247,-0.06496999151918,-0.0017170827201631,0.0,-0.0013336699882422,-0.0017122434504852,-0.0695680192322063,-0.0004085998453808,-0.1366985387653731
IT,-0.7294315698706867,-0.0013403578396324,-1.2370291996224974,0.0,-0.412722634411693,-0.0898438842893509,-0.3642781410505717,-0.0166409923394228,-2.185335423450398e-07,-1.3606464005208898,0.0,-0.0019047114651881,-0.0161826579554187,-2.489856206473379e-07,-0.0878317639889427
AT,-0.4577843633676193,0.0,-0.6871914334290617,0.0,-0.073167940529648,0.0,-1.3288203009516868,-0.0093209075165885,0.0,-1.3538194847925196,0.0,-0.0050861293110336,-0.1061810584787919,0.0,-0.0052682466113914
BG,-0.1855339683934512,0.0,-0.0298469456800792,-0.0712340227074552,-3.0686054117048487,0.0,-0.1048197636109627,-0.0222721020326815,-0.0006483559553873,0.0,0.0,-3.279937468314928e-05,-0.0021161641215297,-0.0298404816607775,-0.0003038938866324
KR,-0.0479464976189077,0.0,-0.2975798411722107,-7.593768453730979e-06,-2.149571032588124,-0.246248142368578,-0.1391081401328416,-0.1063990671783342,-2.019705254395628e-05,-3.354387284617596e-07,-0.0369107641957808,-0.0004413127338095,-0.0223426197950993,-0.0008466024827843,-0.0222560632927389
WL,-0.1785679630750437,-0.0005295730043975,-0.3516396662156872,-8.820223491385922e-05,-1.7408559006104376,-0.0641569961948474,-0.2268042637363136,-0.0278354716440896,-0.0002268731678639,0.0,-0.0003547843848338,-0.0003830026898135,-0.0157945384244465,0.0,-0.0255217317776311
PL,-0.1630708225202916,0.0,-0.3807439466261624,-0.0030609294997397,-0.5572713450578249,-0.0117263087728175,-0.6449441781116543,-0.0248055532493051,-7.40958951904861e-05,-0.7433283284267617,-0.0105779352459223,-0.0003135774563172,-0.0003256990098946,-6.484835689765447e-05,-0.0845257336176309
CA,-0.8110638067255767,0.0,-0.7063760386623282,-4.554344260299777e-08,-0.1838174042904808,-0.101230153245083,-0.401096729067332,-0.0401713441469823,-5.123515539996658e-06,0.0,-1.4401525421005361e-08,-8.708104003998651e-06,-0.0159370356134601,-0.0002775859162961,-0.0040542332772883
RU,-0.1376481019935094,-7.31757833376156e-05,-0.5762502405851954,-0.0002199642732194,-0.3562727244315596,-0.7834486941358484,-0.0534737272749273,-0.0258475723512878,-6.76017171068878e-05,0.0,-0.0023791749067738,-0.0001020020476351,-0.083433497481179,-0.0007207704793343,-0.0461454801530822
