Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-3.254,-0.034,-3.341,-0.056,-5.869,-21.797,-5.286,-1.23,-0.005,-24.173,-0.005,-0.793,-0.678,-0.015,-1.153
HU,-1.2,-0.0,-4.892,-0.0,-0.022,-19.585,-9.789,-0.023,-0.0,-10.663,-0.0,-0.0,-0.003,-0.0,-0.012
SI,-10.495,0.0,-12.432,-0.0,-0.218,-6.432,-10.194,-0.024,-0.0,-5.633,-0.0,0.0,-0.066,-0.0,-0.004
DE,-2.211,-0.0,-3.276,-0.0,-0.322,-2.969,-2.37,-0.085,-0.001,-12.134,-0.0,-0.0,-0.152,-0.0,-0.041
US,-0.745,-0.0,-1.013,-0.009,-0.152,-0.942,-4.056,-0.01,-0.0,-3.865,0.0,-0.0,-0.029,-0.008,-0.041
WE,-0.692,-0.595,-3.467,-0.04,-0.802,-1.382,-0.526,-0.146,-0.016,-0.516,-0.001,-0.259,-0.342,-0.017,-0.036
IT,-0.63,-0.0,-1.473,-0.0,-0.335,-0.416,-0.225,-0.05,-0.0,-2.09,-0.0,-0.0,-0.01,-0.0,-0.039
AT,-0.234,0.0,-1.761,-0.0,-0.063,-0.703,-1.103,-0.004,-0.0,-0.727,0.0,-0.0,-0.036,-0.0,-0.005
WA,-0.057,-0.014,-0.439,-0.01,-0.074,-0.599,-0.5,-0.039,-0.002,-0.263,-0.003,-0.038,-0.055,-0.003,-0.034
PL,-0.088,-0.0,-0.258,-0.002,-0.087,-0.602,-0.581,-0.028,-0.0,-0.373,-0.0,-0.0,-0.002,-0.001,-0.013
CZ,-0.048,-0.0,-0.229,-0.0,-0.027,-0.804,-0.388,-0.01,-0.0,-0.497,-0.0,-0.0,-0.004,-0.0,-0.003
WM,-0.044,-0.001,-0.486,-0.011,-0.028,-0.35,-0.532,-0.007,-0.002,-0.257,-0.0,-0.014,-0.022,-0.009,-0.008
GB,-0.214,0.0,-0.15,-0.0,-0.098,-0.535,-0.486,-0.027,-0.0,-0.196,-0.0,-0.0,-0.034,-0.0,-0.013
FR,-0.104,-0.0,-0.245,0.0,-0.068,-0.534,-0.234,-0.006,0.0,-0.229,0.0,-0.0,-0.006,0.0,-0.002
SK,-0.076,-0.0,-0.043,-0.0,-0.027,-0.257,-0.378,-0.003,-0.0,-0.497,-0.0,-0.0,-0.001,-0.0,-0.003
MX,-0.006,-0.0,-0.053,-0.002,-0.025,-0.765,-0.263,-0.008,-0.0,-0.079,-0.0,-0.0,-0.004,-0.0,-0.02
CH,-0.009,0.0,-0.017,0.0,-0.002,-0.277,-0.316,-0.0,0.0,-0.305,-0.0,0.0,-0.001,0.0,-0.185
JP,-0.05,0.0,-0.067,0.0,-0.036,-0.113,-0.189,-0.024,0.0,-0.579,0.0,-0.0,-0.012,-0.0,-0.004
CA,-0.175,-0.0,-0.174,-0.001,-0.025,-0.172,-0.325,-0.007,-0.0,-0.152,-0.0,-0.0,-0.014,-0.0,-0.003
IN,-0.018,-0.0,-0.251,-0.0,-0.026,-0.084,-0.241,-0.012,-0.0,-0.349,0.0,-0.001,-0.001,-0.0,-0.012
RO,-0.029,0.0,-0.18,-0.008,-0.015,-0.166,-0.313,-0.006,-0.0,-0.225,-0.0,-0.001,-0.002,-0.001,-0.0
TR,-0.076,-0.0,-0.375,-0.001,-0.059,-0.079,-0.22,-0.001,-0.0,-0.018,-0.0,-0.009,-0.009,-0.001,-0.03
