Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.011,0.049,0.007,0.002,0.022,0.003,0.011,0.027,0.011
BE,0.0,0.0,0.0,0.0,0.004,0.0,0.003,0.005,0.008,0.009,0.003,0.011,0.002,0.004,0.002
BG,0.0,0.004,0.005,0.0,0.0,0.009,0.0,0.0,0.043,0.005,0.0,0.0,0.0,0.001,0.001
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.001,0.107,0.005,0.008,0.005
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.006,0.003,0.005,0.003,0.002,0.013,0.01,0.008
DE,0.0,0.0,0.032,0.027,0.0,0.0,0.106,0.091,0.034,0.044,0.092,0.024,0.048,0.059,0.187
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.002,0.003,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0
ES,0.0,0.026,0.0,0.008,0.001,0.0,0.002,0.004,0.004,0.008,0.002,0.001,0.004,0.001,0.001
FI,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.012,0.0,0.001,0.0,0.001
FR,0.0,,,,0.0,,0.005,0.007,0.007,0.003,0.004,0.001,0.009,0.006,0.004
GB,,0.0,0.0,0.002,0.0,0.0,0.01,0.004,0.01,0.014,0.02,0.007,0.009,0.012,0.003
GR,0.001,,0.001,0.0,0.0,0.0,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.002,0.0
HR,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.004,0.001
HU,0.0,0.0,0.001,0.013,0.0,0.0,0.057,0.136,0.002,0.012,0.002,0.007,0.318,0.242,0.164
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.041,0.036,0.026,0.006,0.023,0.007,0.006,0.032
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.002,0.002,0.007,0.001,0.002,0.0,0.002,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.003,0.001,0.003,0.003,0.002,0.001,0.002,0.011,0.003
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.012,0.001,0.0,0.001,0.001
PL,0.0,0.012,0.008,0.001,0.0,0.021,0.004,0.007,0.009,0.014,0.001,0.007,0.01,0.014,0.006
PT,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
RO,,0.052,0.004,0.0,0.001,0.019,0.001,0.005,0.002,0.003,0.001,0.0,0.003,0.008,0.003
RU,0.0,0.005,0.04,0.028,0.002,0.031,0.0,0.005,0.002,0.001,0.008,0.003,0.0,0.001,0.0
SE,,0.001,0.001,0.002,0.0,0.001,0.001,0.005,0.001,0.001,0.001,0.0,0.004,0.003,0.003
SI,,0.0,0.002,0.009,,0.0,0.502,0.345,0.023,0.012,0.04,0.003,0.105,0.252,0.087
SK,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.003,0.002,0.0,0.002,0.004,0.009,0.008
WE,0.877,0.242,0.448,0.096,0.215,0.268,0.033,0.096,0.085,0.076,0.207,0.021,0.022,0.013,0.008
BR,0.001,0.012,0.012,0.015,0.006,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0
CA,0.0,0.005,0.002,0.008,0.0,0.002,0.008,0.005,0.003,0.004,0.008,0.002,0.003,0.008,0.002
MX,0.0,0.013,0.003,0.0,0.0,0.005,0.0,0.001,0.003,0.004,0.002,0.011,0.012,0.007,0.001
US,0.0,0.056,0.01,,0.0,0.123,0.036,0.028,0.016,0.005,0.018,0.024,0.015,0.1,0.059
WL,0.005,0.064,0.025,0.027,0.003,0.019,0.001,0.002,0.028,0.004,0.004,0.004,0.002,0.002,0.001
CN,0.05,0.341,0.128,0.428,0.659,0.242,0.156,0.093,0.623,0.64,0.41,0.666,0.354,0.131,0.372
ID,0.003,0.004,0.001,0.039,0.0,0.002,0.0,0.002,0.001,0.001,0.012,0.0,0.0,0.001,0.0
IN,0.0,0.002,0.0,,0.001,0.003,0.001,0.007,0.003,0.006,0.001,0.007,0.001,0.006,0.005
JP,,,,,0.0,0.0,0.002,0.002,0.004,0.012,0.007,0.002,0.002,0.005,0.009
KR,,0.0,0.0,0.003,0.0,0.0,0.001,0.004,0.005,0.041,0.005,0.003,0.004,0.003,0.001
TR,0.001,0.004,0.005,0.001,0.008,0.018,0.004,0.01,0.006,0.0,0.005,0.017,0.001,0.005,0.0
TW,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.001,0.005,0.003,0.001
WA,0.02,0.063,0.065,0.201,0.032,0.044,0.003,0.012,0.008,0.02,0.033,0.02,0.01,0.012,0.004
WM,0.002,0.065,0.066,0.007,0.012,0.151,0.002,0.013,0.003,0.004,0.013,0.004,0.006,0.013,0.004
WF,0.026,0.015,0.113,0.058,0.033,0.013,0.0,0.003,0.005,0.002,0.023,0.003,0.001,0.003,0.001
ZA,,0.001,0.001,0.001,0.011,0.002,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.0
AU,0.013,0.011,0.024,0.022,0.011,0.025,0.001,0.0,0.0,0.003,0.005,0.005,0.0,0.0,0.0
