Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
AT,-15.739537075684527,0.0,-21.512186752947432,0.0,-0.8140308612276785,0.0,-6.406305872171971,-0.1008237677900345,0.0,-10.095577693794189,0.0,-0.1377458745493625,-1.73067840719229,0.0,-0.0508600268470826
WE,-1.1415859140266331,-0.0040011538196718,-9.18781370637208,-7.471559324950413,-5.49917068280084,-1.0388880741074769,-11.296009420929494,-0.2127983503971658,-0.0153258163673921,0.0,-0.0077045942854016,-0.0340668519997757,-0.5450405217140839,-0.0067114473560851,-0.2695295784938569
CN,-2.199819578211392,-0.0002467086427531,-4.576179547703206,-0.0036524226522202,-12.886921520622842,-4.384652504806235,-4.16988024574799,-2.018544416426271,-0.0016052970787731,-0.0005258502642987,-0.0018550160824799,-0.0040985679199317,-0.5758817864914013,-0.0076214962975413,-0.1893035166510413
DE,-1.1737197817660752,0.0,-2.871971394924234,0.0,-1.1534778975153557,-0.1100725859178878,-3.3808870886050277,-0.1376244430875915,-0.0005158796922694,-8.20426599172588,0.0,-0.0022247389192685,-0.7108952100017517,0.0,-0.0823982451832204
US,-0.7386954667777258,-0.0001038950042969,-2.1566851411946306,-0.0004769766640546,-0.3828366726131253,-1.6144579921307614,-5.0628374948933175,-0.0185870910904649,-0.0022689624717706,-5.212772502635123,0.0,-7.679274142078439e-06,-0.1427443963539906,-8.862715648766227e-05,-0.1314014148405646
RO,-0.2215412894226257,0.0,-1.8966626985489723,-7.799613540178114e-05,-0.1005490444949811,0.0,-3.1963904493950595,-0.0042529768711448,-1.615546838342327e-06,-7.539008371044655,0.0,-5.056839675983189e-07,-0.0105286474296481,-7.681836876027135e-05,-0.0008556030338207
GR,-4.029455796144939,-0.0006597682197852,-3.9626086438104338,0.0,-0.7546487267943419,-0.7048692926880921,-1.074935311950504,-0.0058073412802711,-0.0004001404811102,0.0,-0.2465316624955055,-3.3632520724499564e-06,-0.0007103666985468,-0.001002337873119,-0.0053137209468179
WA,-0.4900182488619188,-0.0011584045469915,-2.3426065478053157,-0.0014229249730969,-1.8665967843929736,-0.3116025073284328,-1.468231624313608,-0.0822198006332372,-0.0021746930654724,0.0,-0.0015146436503846,-0.002019047334624,-0.100540936493492,-0.0004467389006015,-0.1550483288574397
CZ,-0.1999380903646366,-0.0001250523718902,-0.3929585280539416,0.0,-0.1169487037958644,-0.0014956656592149,-0.9866607646602656,-0.0851983046244628,-2.986837867907103e-05,-1.9471594159761696,-5.067248325712418e-05,-0.0001207283343908,-0.0061304915075648,0.0,-0.0079786948910064
KR,-0.0640652159081512,0.0,-0.3103347682131266,-2.5451086422886826e-06,-2.6328829232134465,-0.2946959885098131,-0.1538100576253181,-0.1606018771349257,-1.7968622793940488e-05,-4.001692000558275e-07,-0.0370102074662633,-0.000368894139797,-0.0369615259927437,-0.000805789741636,-0.018251479041039
IT,-0.4234924850882564,-0.001126308002276,-1.02230131691308,0.0,-0.4707732496248062,-0.1021827438242553,-0.290255898114422,-0.0158402505397278,-3.2574893855509e-07,-1.2369970375677388,0.0,-0.0020166325276806,-0.0165140259558301,-2.680604510668024e-07,-0.1042889288666157
WL,-0.1200876102456059,-0.0003544801900863,-0.4665126295146583,-9.41990171827742e-05,-1.8179748536431988,-0.0740092277918031,-0.2886794789145817,-0.028122445234448,-0.0002154264099215,0.0,-0.0003566726766315,-0.0002563723854239,-0.0160848179266561,0.0,-0.0274613547087812
PL,-0.1308635311699899,0.0,-0.3687737952050086,-0.0032677894883788,-0.6559469319572925,-0.0106081369488511,-0.6188000783052641,-0.0260423477516463,-7.742808537846156e-05,-0.771561016443418,-0.0124120875315976,-0.0003143733005185,-0.0003084948223944,-6.68271875067994e-05,-0.0811867596495266
CA,-0.697867895632682,0.0,-0.9450403540407624,-5.45683349557688e-08,-0.2239761525219465,-0.102399897832064,-0.5726704313980798,-0.0662143119875044,-2.37776733197593e-06,0.0,-1.8232861047105587e-08,-1.4303382778900976e-05,-0.0259855349720978,-0.0002777520665694,-0.0040374851655376
WM,-0.3781840743866778,0.0,-0.2886847472042337,-0.0001727537998856,-0.6474326328983078,-0.0814883306081119,-0.7305094616373881,-0.0445096255903888,0.0,0.0,0.0,0.0,-0.1192810952782458,0.0,-0.0359162245306282
RU,-0.1539651256063864,-7.845709502253837e-05,-0.6399756583848666,-0.0002373111198785,-0.4059563777426577,-0.8800208041356287,-0.0601248952640947,-0.0297687409794658,-7.54018292355236e-05,0.0,-0.0027233599094522,-0.000110046144313,-0.0881776867244962,-0.0007910467617778,-0.0512227211366837
CH,-0.0575327773109531,0.0,-0.1239593789567288,0.0,-0.0048757382812408,-0.0030468061906798,-1.3759525376812696,-0.0024864742126617,0.0,0.0,0.0,0.0,-0.0054587045855029,0.0,-0.5283795882191058
JP,-0.0790641703643144,0.0,-0.2708705554033558,0.0,-0.931710674548122,-0.2296509527633427,-0.3897546517103876,-0.0247481032065466,0.0,-3.853281017451221e-07,0.0,-0.0010379126533872,-0.0460328795553272,-0.000172067270353,-0.0312283927762697
GB,-0.1324215394371319,0.0,-0.3514547164394013,0.0,-0.3510086548921358,-0.009154625638416,-0.7659117567658639,-0.1026361647972921,-0.0001133508496041,-0.0061532421964014,0.0,-0.001767110761494,-0.1213808507841397,-4.7249298994110523e-07,-0.0196800227943909
BG,-0.0541087110879497,0.0,-0.0139820473182494,-0.0304641370031026,-1.6375639679971477,0.0,-0.0940714304257444,-0.0113151753729994,-0.0004439911286304,0.0,0.0,-2.930131540093996e-05,-0.0016036733396012,-0.0090794451139532,-9.986322450576226e-05
MX,-0.0406304923804301,0.0,-0.1768121637173984,0.0,-0.1025756312868267,-0.1602703790431646,-1.1444260962044206,-0.0174906033163198,0.0,0.0,0.0,0.0,-0.0036157017740673,0.0,-0.0547142851798201
IN,-0.091756339076597,-3.441322219879498e-05,-0.9145537463063036,-1.3290049286511063e-05,-0.1629008344452372,-0.1959756155625261,-0.2177032419358609,-0.0097952015559271,-2.00481346474339e-05,0.0,0.0,-6.308517087098165e-05,-0.0024281919304539,-2.12157181772832e-05,-0.0061686083618526
FR,-0.1180985043256057,-0.0001243080977457,-0.4005344859140581,0.0,-0.1578346423185701,-0.0269961788178955,-0.2394162380673629,-0.0026300299305424,0.0,-0.4223671103098116,-6.615227112001633e-05,-3.2238167811915966e-05,-0.0079668706739392,0.0,-0.0026155246775056
TR,-0.2032002170806136,-0.0018347062479491,-0.4804233485714768,-0.0022647835090563,-0.1821550139509529,-0.005892015016779,-0.3219622394037957,-0.0027779821887624,-0.0017836078764979,-0.0005263174666813,-0.0057671259378551,-0.0016367993395725,-0.0060839442399126,-0.0078745145140995,-0.0956129729342174
NL,-0.1522658283163332,0.0,-0.0889724774029211,0.0,-0.0984367231840209,0.0,-0.4604685111874393,-0.016581994854446,0.0,-0.477469502148577,0.0,-0.0001956028412092,-0.0160670361662551,0.0,-0.0053656001855284
BE,-0.1310386496154527,0.0,-0.1837444692949033,0.0,-0.2627952538360518,-0.0156902807504542,-0.1839467162174972,-0.0078104650400969,0.0,-0.1809161666092749,0.0,-0.000362441673332,-0.0100941082190552,0.0,-0.0704686627717273
SI,-0.2416797504759704,0.0,-0.2647404626579323,0.0,-0.0073150276550492,0.0,-0.2646794481493712,-0.0012145935394967,0.0,-0.1613850108436128,0.0,0.0,-0.0037944936742204,0.0,-0.0002121049710091
SK,-0.0297048230006572,0.0,-0.0498134459841621,-0.0002961943257078,-0.0150856858281259,0.0,-0.228296825978219,-0.0108920395449182,-0.0001486508676914,-0.5773153018102204,0.0,0.0,-0.0013521741611306,-0.0111095093798608,-0.0013192357343757
