Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
ID,-1.0298822545099413,-7.104872900279905e-05,-51.93646484620216,-0.0010788950373543,-4.013724294484885,-3.674039031269521,-14.485676544840842,-1.6984183706907303,-0.0154639235955848,0.0,-0.0020017972853181,-1.0631884448190367e-05,-0.6412327731262448,-3.3675748551699506e-05,-0.4819557271699894
CN,-2.4295095293000024,-0.0002837376939145,-8.345537324164503,-0.003518785798569,-0.9871108090177764,-3.2212744547302345,-4.512199318386539,-1.592147189440608,-0.0031015622821713,-0.0021241367332274,-0.0034688787512659,-0.0054836484026853,-0.4253659709246513,-0.0107954860632518,-0.1688807053936997
WA,-0.4201463382061403,-0.0009475340505851,-3.93171953698927,-0.0029386706586799,-1.9892787720311076,-0.5696816017360664,-2.1384137251172657,-0.2982385909616013,-0.0226420087224692,0.0,-0.0059064491792298,-0.0059538204418856,-0.1730354533269912,-0.0014294937306818,-0.6050596752247108
US,-0.1721457989643673,-7.29552531266307e-05,-0.8349986976645,-0.0003156781317142,-0.1547550821455806,-0.9204455972884515,-1.902259806201072,-0.0169381195349419,-0.001495298852325,-3.0885258076412523,0.0,-5.4007553062106845e-06,-0.0451748079842828,-6.418110711404982e-05,-0.0660309911356469
JP,-0.0765330960370918,0.0,-0.781647200460852,0.0,-1.610988625100777,-0.5739062642886905,-0.92798937597146,-0.0481942089979612,0.0,-5.5459970629774726e-08,0.0,-0.0042360708931746,-0.1360774542388499,-0.0003606307730495,-0.0694458777779936
KR,-0.058413437185718,0.0,-0.6161390450186642,-1.5907278760814663e-06,-0.5611260491226001,-0.2639984226344151,-0.2522027969328628,-0.2716447914671182,-1.5903476474090956e-05,-1.6082786408224872e-08,-0.0264909091040379,-0.0004778620388975,-0.0196856611042089,-0.0007346782115349,-0.049099174688258
CA,-0.1711553515243361,0.0,-1.3742347670988566,-3.515248865194122e-08,-0.0739414625084486,-0.1021006846905121,-0.3439606784670459,-0.0399650194826892,-1.1403087997171282e-05,0.0,-1.8016554962009645e-08,-6.14844647233559e-06,-0.0116260047201292,-0.0001652059482866,-0.0026684125338168
WL,-0.0870719414378794,-0.0002549227826914,-0.2143451144942078,-0.0001795908688597,-1.4782541321917548,-0.0622144699829514,-0.1157708668756783,-0.0389831872104022,-0.000151896641409,0.0,-0.0003138348323632,-0.0001843703778357,-0.0156870631790385,0.0,-0.0345256775925059
IN,-0.0948619417423412,-5.497474455341007e-05,-1.0906537323739915,-6.868649440254957e-06,-0.1663094243427237,-0.1577860626568492,-0.1789098979847099,-0.0170345107723249,-1.8406918350950627e-05,0.0,0.0,-5.9571690593463006e-05,-0.0025985226011619,-2.148443773379264e-05,-0.0070547863347434
BR,-0.0088346328784334,-9.249833263615726e-06,-0.173398883572435,-8.154907177030643e-06,-0.0192316495525243,-1.3781982332256566,-0.012341157484743,-0.0021668388245881,-2.969844393418016e-05,0.0,-8.856994401227906e-05,-1.2932302194893588e-05,-0.0026878297594716,-8.697406733578756e-05,-0.0012917314457509
MX,-0.0306752472732745,0.0,-0.1612250604930644,0.0,-0.0711052820723981,-0.1594344787457852,-0.6845955961669566,-0.0169138944847145,0.0,0.0,0.0,0.0,-0.0044448022180733,0.0,-0.070556933766861
DE,-0.027930160368665,0.0,-0.1426058549471891,0.0,-0.0984092562455884,-0.0061206189459146,-0.1489530792823072,-0.0219556045247413,-7.936468182220829e-05,-0.4747898628242798,0.0,-0.0001313207267062,-0.0218564597419032,0.0,-0.0208264336324385
WM,-0.1066945009681522,0.0,-0.1606448522204668,-6.091410701390752e-05,-0.1727165260366414,-0.0315380371874298,-0.206050191526833,-0.025937399219635,0.0,0.0,0.0,0.0,-0.0614218332153439,0.0,-0.0366225271775528
AT,-0.0318294975421436,0.0,-0.1794054918321456,0.0,-0.0092906835286887,0.0,-0.0912716637176681,-0.0020668307654932,0.0,-0.185384084185679,0.0,-0.0010722251823968,-0.0221194808924241,0.0,-0.0007051589766328
