Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
GB,-26.41187265463672,0.0,-15.608673322936015,0.0,-4.296570057712593,-1.697615117369354,-17.411542930393,-1.2793685870428644,-0.0112950008973688,-0.2706987538411138,0.0,-0.1806480715785808,-7.640675155000081,-5.098833232704362e-05,-0.9922101024462584
US,-0.7775543201203796,-0.0001090221180598,-2.4340415619233613,-0.0004983091421317,-0.4551731738482389,-1.8851641347209087,-5.842506218459786,-0.055191399989948,-0.002330717391288,-6.178322724520418,0.0,-8.160789374841291e-06,-0.2376834506412726,-8.243619077586882e-05,-0.1108456568716828
CN,-2.302187670596856,-0.0002843169355383,-3.0856379160013447,-0.0038280834484415,-1.041169071713948,-1.7777110260448044,-2.358339171006232,-2.402828270469606,-0.0007052246363485,-0.0004456335152562,-0.0009671784480463,-0.004054336716929,-0.8004455481015951,-0.0031987624581667,-0.1959035405735252
WA,-1.664432040989983,-0.0039682389170642,-2.675393535324129,-0.0012618592570683,-0.8810415569779111,-0.3081436209441059,-1.8461982214798944,-0.0982320766332664,-0.0022318190061702,0.0,-0.0019336719610181,-0.0025563634512596,-0.1697785150541681,-0.0003015245173168,-0.1973811570347987
DE,-0.6057700504978681,0.0,-0.8447222945814346,0.0,-0.4196622976499701,-0.0245210371595439,-1.2187653937404628,-0.0866086953478239,-0.0002823831557477,-2.68718259490264,0.0,-0.000839952611138,-0.5609450924765041,0.0,-0.0226935578687477
IN,-0.2648204914106273,-2.6705031386477943e-05,-2.777976094727368,-3.289822530034932e-06,-0.2040977118239943,-0.4564054951428033,-0.725920545460852,-0.012200760777133,-1.3680820292657784e-05,0.0,0.0,-0.0001571208190466,-0.0049951981350494,-1.6661118263492974e-05,-0.0092503453066894
CA,-0.7540342910385438,0.0,-1.2394578163558394,-6.635098717990088e-08,-0.1705558540604062,-0.1209356298301427,-0.5168545890115666,-0.3767540287665021,-4.526830510681009e-06,0.0,-1.7091524549252664e-08,-7.918031788666846e-05,-0.1430593665003697,-0.0002432707079653,-0.0036222499412146
WL,-0.089343677488683,-0.0002637243758578,-0.1738640265316365,-6.11985988399541e-05,-2.6194539359215625,-0.0428611960195011,-0.1104445812056711,-0.0225125882117469,-0.0001298587540906,0.0,-0.0004358788510106,-0.0001907343374332,-0.0130414887632416,0.0,-0.0203867671606448
JP,-0.1315015960607197,0.0,-0.2822576917203895,0.0,-1.3390530558719065,-0.2898827064742512,-0.5080300950592991,-0.0453619887426466,0.0,-4.3931861492873455e-08,0.0,-0.0007164184451381,-0.0730391332554217,-0.0001488498534138,-0.0300818126599748
KR,-0.2262438561686263,0.0,-0.296021056411835,-3.897275186176071e-06,-0.7482582925741176,-0.3310968447189311,-0.2764409578242576,-0.1456176056866172,-3.690963128255574e-05,-4.0664892548450425e-08,-0.0131610485913344,-0.0001994389046774,-0.0386582224674302,-0.0003205701441649,-0.0158703017066063
NL,-0.2036578012019859,0.0,-0.1125151620685833,0.0,-0.1251690396141483,0.0,-0.5588373384593632,-0.0209836988251622,0.0,-0.5999215390778078,0.0,-0.0003370367644999,-0.0476536413318154,0.0,-0.0079300480845982
WM,-0.2968793341939262,0.0,-0.1900791828126035,-7.15193690107363e-05,-0.3041234701153402,-0.049193887436453,-0.4801565481623887,-0.0423499895302121,0.0,0.0,0.0,0.0,-0.1364367939762249,0.0,-0.0490195987647774
FR,-0.1224759309066097,-0.0001321330101617,-0.3350766626257749,0.0,-0.1221031543167229,-0.0197227976356741,-0.2018817577731136,-0.0052112669083823,0.0,-0.3146645591586142,-6.59093752430358e-05,-3.2276821339772494e-05,-0.0183675773737775,0.0,-0.0018732436936141
MX,-0.0277240357626519,0.0,-0.1351087347030772,0.0,-0.0973764526908825,-0.1061824546228877,-0.6903033989536363,-0.0291053265900197,0.0,0.0,0.0,0.0,-0.0039299831843091,0.0,-0.0343321921258836
SE,-0.0469404006685105,0.0,-0.291823299672771,-0.0005456682925469,-0.0713368189727146,-0.0008079082824771,-0.215336168588018,-0.021223012614382,-0.0001730111503852,-0.3931423462627418,-2.2876498736399617e-05,-0.0001191674937752,-0.0091551033093905,-0.0001698239807589,-0.0008923779470996
BE,-0.1363961129000381,0.0,-0.1631852690231916,0.0,-0.3317256703322883,-0.0140726672946546,-0.1852407048482398,-0.0164893255693022,0.0,-0.1238539968199332,0.0,-0.0003316765583,-0.0193861514151591,0.0,-0.0578464813799005
IT,-0.1383843638069806,-0.0002953646138515,-0.2617995299683355,0.0,-0.1466325029651658,-0.0272217605403591,-0.0794026198451945,-0.0142677275588122,-6.30866765443874e-08,-0.3191861960149343,0.0,-0.0001751848549838,-0.0034817400208665,-5.55096015056124e-08,-0.017975853203247
ES,-0.1598253342985326,0.0,-0.2685530833890076,-0.0563083708591873,-0.1302891587628024,-0.1171232756414102,-0.1340992723641947,-0.0042181588226797,-0.0012937601248033,-0.1090824105522321,-6.438619489460953e-05,-0.0004015799329396,-0.002973865832623,-0.0019645761409404,-0.0010706180221912
CH,-0.0177799745964983,0.0,-0.0134347851598989,0.0,-0.0018829870842056,-0.0011574745048997,-0.7448032612856825,-0.0008434136211036,0.0,0.0,0.0,0.0,-0.0020274118990516,0.0,-0.0659230223046513
AT,-0.1305368922322941,0.0,-0.0894226494898732,0.0,-0.0212530267768931,0.0,-0.2671172473890985,-0.0018815736488386,0.0,-0.2408702924944675,0.0,-0.0009561233162854,-0.0539624840797785,0.0,-0.0006205614626948
TR,-0.1189974296594293,-0.0008879037814303,-0.3265718496399687,-0.0008896420178614,-0.0388188560307807,-0.0019269058968582,-0.1845645789368529,-0.0016583810189528,-0.0007769092043516,-0.0001799332792594,-0.0018347398844281,-0.0008989837628564,-0.0044466452823365,-0.003432685180713,-0.0287157495831975
