Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IE,-11.605,0.0,-20.845,0.0,-2.042,-22.919,-47.291,-0.375,-0.034,-20.083,-0.005,0.0,-5.392,-0.005,-0.393
CN,-5.116,-0.066,-4.783,-0.092,-13.734,-39.968,-7.466,-2.03,-0.008,-44.624,-0.01,-1.236,-1.089,-0.024,-2.025
US,-0.699,-0.0,-1.337,-0.033,-0.493,-2.17,-9.158,-0.056,-0.001,-9.032,0.0,-0.0,-0.068,-0.022,-0.095
GB,-0.869,0.0,-3.295,-0.0,-1.486,-3.985,-3.871,-0.675,-0.0,-1.561,-0.001,-0.0,-0.581,-0.0,-0.165
DE,-1.165,-0.0,-1.834,-0.0,-0.501,-1.88,-1.402,-0.309,-0.001,-7.52,-0.0,-0.0,-0.258,-0.0,-0.068
JP,-0.087,0.0,-0.355,0.0,-0.179,-0.421,-1.048,-0.468,0.0,-2.146,0.0,-0.0,-0.056,-0.0,-0.02
WA,-0.131,-0.031,-0.91,-0.021,-0.223,-1.082,-1.109,-0.169,-0.005,-0.504,-0.006,-0.078,-0.135,-0.006,-0.084
FR,-0.562,-0.0,-0.693,0.0,-0.132,-1.399,-0.813,-0.028,0.0,-0.652,0.0,-0.001,-0.026,0.0,-0.006
MX,-0.04,-0.0,-0.15,-0.007,-0.077,-1.535,-0.769,-0.052,-0.0,-0.181,-0.0,-0.001,-0.019,-0.001,-0.049
IT,-0.108,-0.0,-0.418,-0.0,-0.133,-0.3,-0.106,-0.047,-0.0,-1.399,-0.0,-0.0,-0.008,-0.0,-0.088
BE,-0.128,-0.0,-0.91,-0.0,-0.212,-0.245,-0.378,-0.337,-0.0,-0.244,-0.0,-0.008,-0.045,-0.0,-0.08
SE,-0.238,0.0,-0.369,-0.001,-0.042,-0.541,-0.495,-0.01,-0.0,-0.589,-0.0,-0.0,-0.01,-0.0,-0.001
NL,-0.107,0.0,-0.074,0.0,-0.096,-0.338,-0.99,-0.093,0.0,-0.568,0.0,-0.0,-0.007,0.0,-0.005
CH,-0.013,0.0,-0.019,0.0,-0.003,-0.546,-0.687,-0.001,0.0,-0.728,-0.0,0.0,-0.003,0.0,-0.256
WM,-0.057,-0.003,-0.55,-0.019,-0.048,-0.473,-0.633,-0.018,-0.005,-0.332,-0.0,-0.023,-0.039,-0.019,-0.02
WL,-0.028,-0.008,-0.205,-0.032,-1.258,-0.245,-0.236,-0.018,-0.003,-0.111,-0.001,-0.008,-0.016,-0.003,-0.018
IN,-0.036,-0.0,-0.541,-0.002,-0.055,-0.159,-0.442,-0.028,-0.0,-0.585,0.0,-0.002,-0.003,-0.001,-0.025
