Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.003,0.003,0.001,0.001,0.001,0.0,0.003,0.003,0.003
BE,0.0,0.0,0.0,0.0,0.005,0.0,0.006,0.022,0.01,0.059,0.005,0.022,0.003,0.005,0.003
BG,0.0,0.003,0.003,0.0,0.0,0.006,0.0,0.0,0.01,0.001,0.0,0.0,0.0,0.0,0.001
CH,,,,0.0,,,0.001,0.0,0.0,0.0,0.0,0.071,0.007,0.008,0.008
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.002,0.0,0.0,0.007,0.003,0.003
DE,0.0,0.0,0.012,0.011,0.0,0.0,0.053,0.045,0.023,0.054,0.03,0.019,0.023,0.017,0.08
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.004,0.003,0.003
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.035,0.0,0.006,0.001,0.0,0.003,0.007,0.003,0.02,0.001,0.001,0.004,0.001,0.001
FI,0.0,0.001,0.001,0.002,0.0,0.0,0.0,0.002,0.001,0.029,0.023,0.0,0.002,0.0,0.001
FR,0.0,,,,0.001,,0.025,0.017,0.006,0.005,0.003,0.002,0.017,0.01,0.007
GB,,0.0,0.002,0.022,0.0,0.001,0.039,0.081,0.069,0.119,0.069,0.046,0.048,0.048,0.017
GR,0.005,,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.0,0.0,0.0,0.0,0.004,0.002,0.002
IE,,,0.466,0.166,,0.052,0.527,0.51,0.094,0.066,0.638,0.109,0.275,0.584,0.213
IT,0.001,0.0,0.001,0.0,0.0,0.0,0.005,0.01,0.006,0.008,0.001,0.024,0.004,0.001,0.015
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.008,0.002,0.013,0.001,0.003,0.001,0.003,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.005,0.002,0.004,0.016,0.001,0.001,0.004,0.012,0.006
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.0,0.005,0.006,0.002,0.001,0.001,0.001
PL,0.0,0.005,0.002,0.0,0.0,0.0,0.002,0.003,0.002,0.006,0.0,0.006,0.004,0.005,0.003
PT,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.009,0.0,0.006,0.0,0.0,0.005,0.002,0.002
RO,,0.024,0.001,0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001
RU,0.0,0.003,0.018,0.01,0.001,0.019,0.001,0.005,0.001,0.0,0.005,0.003,0.0,0.001,0.0
SE,,0.002,0.002,0.002,0.0,0.0,0.011,0.009,0.002,0.002,0.001,0.0,0.006,0.006,0.006
SI,,0.0,0.0,0.0,,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.002
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.0,0.001,0.0,0.0,0.002,0.002,0.004
WE,0.036,0.002,0.014,0.003,0.005,0.002,0.003,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.0
BR,0.02,0.022,0.018,0.021,0.012,0.004,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.0
CA,0.001,0.013,0.004,0.012,0.0,0.004,0.007,0.007,0.002,0.02,0.008,0.005,0.003,0.006,0.003
MX,0.0,0.027,0.005,0.001,0.001,0.008,0.002,0.004,0.004,0.009,0.002,0.014,0.018,0.01,0.002
