Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IN,-6.999516311989498,-0.0100435229699674,-23.55908531522229,-0.0004829786200625,-7.937918499056965,-21.683647042407653,-19.33192262255149,-0.3356707014350641,-0.0045947000624706,0.0,0.0,-0.0043470801748452,-0.1444068572274384,-0.0057109863976905,-0.3220366850916252
CN,-1.5997377734403633,-0.0001749968447223,-2.688993196943163,-0.0023395604960292,-0.7749298528250591,-1.9522732282604127,-1.98464215594268,-0.8362359679727877,-0.0006775961208889,-0.0008888039122402,-0.0008492991498338,-0.0026412015769456,-0.2358921174789461,-0.0027895098470314,-0.0710839370517787
US,-0.2114477391881681,-9.58741309711742e-05,-0.8901381962991501,-0.0004471789346968,-0.1528388189059894,-1.1004943685953237,-2.373126998178543,-0.0065293911925248,-0.0020199320824433,-3.75579540371632,0.0,-7.081874520316166e-06,-0.0441258849250763,-7.05828682337534e-05,-0.0555076343584684
WA,-0.6550715000900031,-0.0015402002611554,-2.964461405017216,-0.002014595889679,-0.6031240983325578,-0.3902450412285653,-1.4706757073686203,-0.1806017198170335,-0.0042744083666453,0.0,-0.0008573004199975,-0.00189583732083,-0.0886860002506795,-0.0010108159584015,-0.0909509827719494
KR,-0.2244037265347686,0.0,-0.3112648737691335,-4.195133641090437e-06,-0.3528571121311608,-0.305573308965659,-0.2822717033144458,-0.2167894129995998,-8.59052449155036e-06,-1.0102445384044976e-08,-0.0139891776259436,-0.0002162230762689,-0.0112490853746606,-0.0003232379516347,-0.0116505719717211
WM,-0.3389491965591197,0.0,-0.2222824000872496,-0.0001548840465634,-0.2945964982738247,-0.0694728306847257,-0.3558139253466459,-0.047199488850071,0.0,0.0,0.0,0.0,-0.0625445242985387,0.0,-0.0229975471941873
JP,-0.0610035063616844,0.0,-0.2695526412428412,0.0,-0.2755025132855704,-0.1637829566811799,-0.3169199569642247,-0.0135281467593428,0.0,-1.1383194716143712e-07,0.0,-0.0019694301722835,-0.0524001374072017,-9.489195903631188e-05,-0.0194101479392151
WL,-0.0645932115207525,-0.0001905031040243,-0.1048394705127438,-5.495811139491402e-05,-0.729048202325126,-0.0347511559134383,-0.0734029033822679,-0.0130424920291639,-7.838031146867588e-05,0.0,-0.0002386433256693,-0.0001377783687666,-0.0068304384412962,0.0,-0.0130024370814533
ID,-0.0209270549266351,-1.312985506310772e-07,-0.5708984819398986,-2.02785147016186e-06,-0.0882804823455915,-0.0407274828397462,-0.082829792847317,-0.0399861483905608,-9.737147979006785e-06,0.0,-6.770051801507722e-06,-5.511085798855094e-08,-0.0245386931143265,-1.5245329087478597e-07,-0.0028568133882006
CA,-0.1938988873159107,0.0,-0.2796153574088254,-2.6397315847928373e-08,-0.051833910604455,-0.0348481916303207,-0.1747792579613764,-0.0171042531949181,-6.132625816668082e-07,0.0,-2.1766604313333986e-07,-3.689241589266085e-06,-0.0066900784494691,-0.000123911657059,-0.0018016425486634
MX,-0.0241054739919901,0.0,-0.1019264455911797,0.0,-0.0362420889655539,-0.0718377471764319,-0.4433430394072465,-0.008515774265745,0.0,0.0,0.0,0.0,-0.0017049486441321,0.0,-0.0235379047626442
DE,-0.022279380305433,0.0,-0.0986953784727375,0.0,-0.0528126811191289,-0.0052818567869238,-0.1216708499141667,-0.0071299651967505,-2.780605977600436e-05,-0.3350022603740069,0.0,-0.0001088913974431,-0.014296143214811,0.0,-0.0081605861152512
WF,-0.0267855522825796,-0.0004550801918371,-0.0474664873374196,-0.0022869164686498,-0.1275298487746753,-0.009401795123182,-0.0027368974493646,-0.0351473456405443,-0.0077074602854991,0.0,-0.0054003829827198,-0.0010016488600312,-0.1621800178738582,0.0,-0.0073081950788927
AU,-0.0164960872257637,-0.0016757811971956,-0.0758184842447713,-0.0004561006571599,-0.0789088894436698,-0.0138371299545671,-0.0073658624052081,-0.0318509121918116,-0.0001944047528014,0.0,-0.0110084862546836,-3.869346757043578e-05,-0.052065489306447,-0.0026317487013509,-0.0440075419938634
IT,-0.0214965725874523,-0.0001201675671389,-0.0961749366844378,0.0,-0.0215218330790715,-0.0525255178446562,-0.0240776252816469,-0.0010568285397852,-2.18514352595306e-08,-0.0968965753290988,0.0,-0.0001119579149096,-0.000927192601724,-5.140818487113813e-08,-0.0070310547760194
TR,-0.0916863579733144,-0.0004216401141898,-0.0854097151857918,-0.0011481250985638,-0.01961022041867,-0.0012034592094364,-0.0557388824761443,-0.0005931697105507,-0.0005456800396113,-0.0001099871511581,-0.0020609063004038,-0.0005499063826514,-0.0017767596127367,-0.0040658335036173,-0.0301555162932327
BR,-0.012276878048838,-1.2912941384200714e-05,-0.1897937558612351,-5.828166426211915e-06,-0.0140196561564108,-0.0514169361449353,-0.0186611496822404,-0.0014062257544854,-2.5842882425141595e-05,0.0,-7.70586486343402e-05,-1.0053541181606271e-05,-0.0022634782078367,-7.153575708096297e-05,-0.0009494891874633
GB,-0.0327827253671388,0.0,-0.0634571625425543,0.0,-0.0281297962454702,-0.0028037418877073,-0.0892862585101434,-0.0090897392114762,-2.6589652574376995e-05,-0.0022939471818591,0.0,-0.0004145287409955,-0.0173683004919915,-1.1553878706672318e-07,-0.0177563055535713
NL,-0.009956774618508,0.0,-0.0118623588483654,0.0,-0.0123259144203698,0.0,-0.077901370529951,-0.0035461245647511,0.0,-0.0723221972146082,0.0,-4.67854199043779e-05,-0.002850984338194,0.0,-0.0013702944033577
BE,-0.0088350577955918,0.0,-0.0500135394098581,0.0,-0.0327776431293033,-0.0029177578881383,-0.0315541918473398,-0.0011941200197319,0.0,-0.0303956165423622,0.0,-8.702002539185499e-05,-0.0016791692913957,0.0,-0.0126651564902741
PL,-0.0057935451912196,0.0,-0.0216279852526444,-0.0001776188184827,-0.0266724886071703,-0.0030826735101057,-0.0333422600061436,-0.0013149545954456,-4.4918427955370895e-06,-0.0403619571411817,-0.0001021752616735,-2.227532513438292e-06,-1.986026331597129e-05,-3.5256773631755862e-06,-0.0044562570668884
FR,-0.0074682724681838,-2.1883368874560448e-05,-0.0455304432725883,0.0,-0.0102903533629525,-0.0027534112812399,-0.0160598071510891,-0.000284856834265,0.0,-0.0368635526622228,-1.8521797183778544e-05,-4.434306453637748e-06,-0.0009337880041785,0.0,-0.0003680771944913
ES,-0.0096857024297511,0.0,-0.0341436824393902,-0.0069356746831013,-0.0155833309959923,-0.0157393676533733,-0.0140713112649854,-0.0005231465696876,-0.0001391182742422,-0.0120627814090206,-1.1888122137233584e-05,-4.692833669168054e-05,-0.0004000982168873,-0.0001551552269933,-0.000162134339058
