Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IN,-1.628,-0.459,-7.991,-0.019,-1.271,-6.235,-13.743,-0.682,-0.002,-9.417,0.0,-0.049,-0.056,-0.002,-0.639
CN,-1.316,-0.008,-0.787,-0.014,-2.101,-4.497,-1.217,-0.437,-0.001,-5.992,-0.001,-0.187,-0.157,-0.004,-0.281
US,-0.132,-0.0,-0.123,-0.005,-0.026,-0.212,-0.992,-0.004,-0.0,-0.99,0.0,-0.0,-0.005,-0.002,-0.007
WA,-0.084,-0.012,-0.215,-0.007,-0.045,-0.352,-0.342,-0.09,-0.001,-0.152,-0.002,-0.024,-0.037,-0.002,-0.017
WM,-0.043,-0.001,-0.095,-0.005,-0.02,-0.201,-0.215,-0.006,-0.001,-0.11,-0.0,-0.006,-0.01,-0.004,-0.013
KR,-0.053,0.0,-0.034,-0.0,-0.033,-0.125,-0.066,-0.154,-0.0,-0.021,-0.0,-0.0,-0.002,-0.0,-0.001
DE,-0.023,-0.0,-0.052,-0.0,-0.011,-0.072,-0.042,-0.003,-0.0,-0.257,-0.0,-0.0,-0.003,-0.0,-0.001
MX,-0.005,-0.0,-0.016,-0.001,-0.006,-0.209,-0.086,-0.003,-0.0,-0.024,-0.0,-0.0,-0.001,-0.0,-0.006
JP,-0.04,0.0,-0.017,0.0,-0.011,-0.038,-0.059,-0.002,0.0,-0.166,0.0,-0.0,-0.007,-0.0,-0.001
CA,-0.019,-0.0,-0.032,-0.0,-0.003,-0.029,-0.056,-0.001,-0.0,-0.03,-0.0,-0.0,-0.002,-0.0,-0.001
WL,-0.005,-0.001,-0.015,-0.003,-0.07,-0.033,-0.024,-0.002,-0.0,-0.013,-0.0,-0.001,-0.002,-0.0,-0.002
GB,-0.011,0.0,-0.011,-0.0,-0.005,-0.045,-0.04,-0.001,-0.0,-0.016,-0.0,-0.0,-0.002,-0.0,-0.001
IT,-0.015,-0.0,-0.03,-0.0,-0.004,-0.013,-0.005,-0.001,-0.0,-0.059,-0.0,-0.0,-0.0,-0.0,-0.001
WF,-0.002,-0.003,-0.015,-0.001,-0.006,-0.026,-0.027,-0.002,-0.001,-0.011,-0.0,-0.012,-0.009,-0.0,-0.001
TW,-0.002,-0.0,-0.002,-0.0,-0.004,-0.06,-0.022,-0.001,-0.0,-0.007,0.0,-0.0,-0.002,-0.0,-0.001
TR,-0.017,-0.0,-0.03,-0.0,-0.001,-0.01,-0.024,-0.0,-0.0,-0.003,-0.0,-0.001,-0.001,-0.0,-0.003
ID,-0.002,-0.002,-0.033,-0.0,-0.004,-0.02,-0.014,-0.001,-0.0,-0.004,-0.0,-0.0,-0.002,-0.0,-0.0
FR,-0.006,-0.0,-0.013,0.0,-0.003,-0.025,-0.01,-0.0,0.0,-0.011,0.0,-0.0,-0.001,0.0,-0.0
BE,-0.004,-0.0,-0.019,-0.0,-0.008,-0.008,-0.015,-0.002,-0.0,-0.008,-0.0,-0.0,-0.001,-0.0,-0.002
CH,-0.0,0.0,-0.0,0.0,-0.0,-0.013,-0.016,-0.0,0.0,-0.012,-0.0,0.0,-0.0,0.0,-0.007
NL,-0.002,0.0,-0.002,0.0,-0.002,-0.007,-0.023,-0.0,0.0,-0.009,0.0,-0.0,-0.0,0.0,-0.0
BR,-0.003,-0.0,-0.013,-0.001,-0.002,-0.01,-0.004,-0.001,-0.0,-0.007,-0.0,-0.003,-0.001,-0.0,-0.0
AU,-0.004,-0.004,-0.005,-0.001,-0.002,-0.006,-0.003,-0.004,-0.0,-0.003,-0.0,-0.005,-0.003,-0.001,-0.003
PL,-0.001,-0.0,-0.003,-0.0,-0.002,-0.014,-0.01,-0.0,-0.0,-0.008,-0.0,-0.0,-0.0,-0.0,-0.0
ES,-0.006,-0.0,-0.01,-0.0,-0.003,-0.013,-0.002,-0.002,-0.0,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0
LU,-0.002,0.0,-0.01,0.0,-0.002,-0.003,-0.015,-0.001,0.0,-0.003,0.0,0.0,-0.0,0.0,-0.0
CZ,-0.001,-0.0,-0.002,-0.0,-0.0,-0.016,-0.007,-0.0,-0.0,-0.008,-0.0,-0.0,-0.0,-0.0,-0.0
AT,-0.002,0.0,-0.004,-0.0,-0.001,-0.01,-0.007,-0.0,-0.0,-0.006,0.0,-0.0,-0.0,-0.0,-0.0
HU,-0.001,-0.0,-0.002,-0.0,-0.0,-0.013,-0.005,-0.0,-0.0,-0.006,-0.0,-0.0,-0.0,-0.0,-0.0
ZA,-0.001,0.0,-0.003,-0.0,-0.001,-0.004,-0.003,-0.0,-0.0,-0.004,-0.0,-0.01,-0.001,-0.0,-0.001
SE,-0.001,0.0,-0.006,-0.0,-0.001,-0.008,-0.004,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
GR,-0.006,-0.0,-0.005,0.0,-0.001,-0.002,-0.008,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0
