Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IT,-2.7370171014763245,-0.1895747228122511,-8.440345467640155,0.0,-3.780675920603345,-6.846165980810028,-5.663327030738724,-0.181043376445355,-5.099396473912855e-06,-42.23269065830561,0.0,-0.0194945442550551,-0.6845400213479347,-0.0001914468988427,-3.2083188538682177
CN,-2.0472229817090755,-0.0001917300035235,-4.310593567261084,-0.0026090530474047,-0.9312958086154256,-2.145744975701946,-3.3301209450296185,-1.239430963809034,-0.0006500008614818,-0.0021140638376103,-0.0008318651541864,-0.0028373297414797,-0.3744343021861717,-0.0029145247229411,-0.4264639947184065
US,-0.3409108058645138,-0.000134606136435,-1.4323078255399009,-0.0006180027325285,-0.2979307261961016,-1.8743196146705072,-3.800419274205096,-0.0113002480722071,-0.0029242636805616,-6.2893001129945,0.0,-9.970602619717368e-06,-0.0870969998867633,-0.0001087136097299,-0.2731969472033851
DE,-0.2794446541457334,0.0,-1.3521858644068936,0.0,-0.5557323311683487,-0.0493134480533684,-1.418192354018302,-0.0363789065922628,-0.0001641667384243,-5.380587593856089,0.0,-0.0019253157786357,-0.1196915083810964,0.0,-0.086569939991084
WA,-0.2056425446711416,-0.0004864145722182,-1.7719342395270092,-0.0012135428981454,-0.5766171329452469,-0.2185241491354696,-0.7328159945624355,-0.0710534093281571,-0.0015699029204882,0.0,-0.002875605823175,-0.0026407872218541,-0.0701590175836742,-0.0003654152104329,-0.2925384328889711
FR,-0.1494970434434495,-0.0001901008186334,-1.0637160258778504,0.0,-0.1730231941094834,-0.0352211016576831,-0.2589559438113021,-0.0033790109814494,0.0,-0.6048184871535742,-0.0001458854698525,-4.8839977574583055e-05,-0.012278102279589,0.0,-0.0118338616390765
WL,-0.1066010503938625,-0.0003141326380286,-0.1898733847232747,-7.175997789575138e-05,-1.4439626069930842,-0.0827154429022576,-0.143066541369003,-0.0344441883093742,-0.0004052661971231,0.0,-0.0003586192491965,-0.0002271923072212,-0.0166736517867174,0.0,-0.0266415719462137
CH,-0.0162655485472812,0.0,-0.0268077575274822,0.0,-0.0027275410847889,-0.0023886111391779,-0.5511018463923735,-0.0009773780519296,0.0,0.0,0.0,0.0,-0.0019562511998631,0.0,-1.205348403167294
WM,-0.2330658037179657,0.0,-0.3939864122744808,-0.0002688519128341,-0.3886265392309383,-0.0806389574476929,-0.3841056039932631,-0.038478954044036,0.0,0.0,0.0,0.0,-0.1366698893651143,0.0,-0.0771308792114476
CA,-0.2582037265431203,0.0,-0.7810511152627942,-5.8843613518195335e-08,-0.1238185404790546,-0.0551375029640273,-0.332781347236992,-0.0512444302172041,-1.7858817265056837e-06,0.0,-2.1362609483086278e-08,-1.1392753379567824e-05,-0.0206528102311657,-0.0013489116328302,-0.0193325303446212
IN,-0.0768327514071777,-3.270689625968253e-05,-0.6426723300948355,-4.430495360227111e-06,-0.1306998181089734,-0.2015205988127808,-0.2110802323295411,-0.0094294541374508,-1.277159684993068e-05,0.0,0.0,-4.743079282532215e-05,-0.0023600961257063,-1.5224123390170857e-05,-0.008473649479773
PL,-0.0294663408431366,0.0,-0.1246046089928831,-0.0004526550676788,-0.2767465871624516,-0.0032069314112057,-0.2283957195839689,-0.0067233817045873,-2.4061275079637243e-05,-0.4265900865444985,-0.0002349093715117,-2.2044741795789742e-05,-5.678290030546342e-05,-1.875282762759668e-05,-0.1596957391812679
MX,-0.0280158035511704,0.0,-0.183494003520878,0.0,-0.0871632622700603,-0.1141773442608584,-0.6472657314543494,-0.0158915897075839,0.0,0.0,0.0,0.0,-0.0046355027119704,0.0,-0.0551201314331231
AT,-0.0632034442809872,0.0,-0.2054072139610343,0.0,-0.0341110037479932,0.0,-0.2954140543659369,-0.0016154565088811,0.0,-0.4977391715493119,0.0,-0.0009893435906378,-0.0153983062674167,0.0,-0.0009052103119685
KR,-0.0386659247397419,0.0,-0.2094279652240144,-4.323235742469196e-06,-0.3792492854317243,-0.1625283625041793,-0.1204857479019845,-0.0520718038413604,-1.447453055762853e-05,-9.70480287795124e-07,-0.0134335984814846,-0.000242552760907,-0.0136953484563144,-0.0003597431248114,-0.0268110860443711
GB,-0.0805690067719047,0.0,-0.2323979693245883,0.0,-0.199238552974321,-0.0103247285083417,-0.3297855772098075,-0.0310916742129502,-0.0001091225930466,-0.0041878433861791,0.0,-0.0017011600601278,-0.0799792076992932,-5.356036182752272e-07,-0.0460426185008591
JP,-0.0386499327443917,0.0,-0.1660066485070666,0.0,-0.2970641927091498,-0.1758017409718968,-0.2298780271055629,-0.0102780355508422,0.0,-2.794769012274854e-07,0.0,-0.0006828552454264,-0.0235776812228475,-0.00010057819715,-0.0199520205362695
BE,-0.0510450507278589,0.0,-0.1449133708632393,0.0,-0.1774826903354787,-0.0148793500052103,-0.1242808302801409,-0.0047586325974424,0.0,-0.2623815494403715,0.0,-0.0002161877705406,-0.0075961703372673,0.0,-0.0867145938559294
WE,-0.0328718014310382,-0.0001073831448226,-0.2724617329770229,-0.0295428450563335,-0.339713598955941,-0.0316099895117685,-0.0901349487061186,-0.0047582672910867,-0.0003643487395351,0.0,-0.0001273124494013,-0.0004182019627832,-0.0091937853004969,-0.0003293072614346,-0.0059322886481156
ES,-0.0565099583163181,0.0,-0.1900638145302678,-0.0759783477068004,-0.1995433099459372,-0.1105429419482626,-0.0958100022654671,-0.0038414354295575,-0.0010012540411911,-0.0766655128606281,-8.467437807005745e-05,-0.0005159995393934,-0.0031302601975418,-0.001106219351053,-0.0025398884442586
WF,-0.0350726056584373,-0.000640596081992,-0.0638791780074886,-0.00278934615222,-0.3297893130073431,-0.0120270633991819,-0.0041575917301704,-0.0453546727069313,-0.004081699534094,0.0,-0.0028599228402907,-0.0013564995848348,-0.217156022231075,0.0,-0.0077029418654185
