Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IT,-14.544,-0.038,-18.331,-0.0,-44.737,-7.107,-2.52,-8.091,-0.0,-23.543,-0.0,-0.0,-6.762,-0.0,-7.6
CN,-3.184,-0.037,-2.927,-0.061,-45.318,-37.229,-5.645,-2.237,-0.005,-30.382,-0.006,-0.839,-0.639,-0.016,-4.183
DE,-1.181,-0.0,-3.477,-0.0,-3.719,-1.83,-1.66,-0.25,-0.001,-6.588,-0.001,-0.0,-0.183,-0.0,-0.409
US,-0.58,-0.0,-1.11,-0.009,-1.617,-1.511,-5.642,-0.04,-0.0,-4.963,0.0,-0.0,-0.075,-0.007,-0.343
CH,-0.008,0.0,-0.024,0.0,-0.024,-0.732,-0.414,-0.003,0.0,-0.394,-0.0,0.0,-0.001,0.0,-5.34
WA,-0.127,-0.021,-0.676,-0.023,-0.776,-1.324,-0.984,-0.338,-0.003,-0.395,-0.003,-0.044,-0.215,-0.004,-0.442
FR,-0.165,-0.0,-0.528,0.0,-1.589,-1.367,-0.517,-0.02,0.0,-0.395,0.0,-0.0,-0.011,0.0,-0.037
WF,-0.029,-0.038,-0.169,-0.005,-3.021,-0.231,-0.327,-0.022,-0.007,-0.083,-0.001,-0.065,-0.072,-0.002,-0.014
GB,-0.21,0.0,-0.328,-0.0,-1.513,-0.719,-0.616,-0.051,-0.0,-0.242,-0.0,-0.0,-0.033,-0.0,-0.254
WM,-0.135,-0.003,-0.637,-0.025,-0.357,-0.959,-1.06,-0.024,-0.004,-0.449,-0.0,-0.022,-0.098,-0.015,-0.107
IN,-0.033,-0.0,-0.991,-0.0,-0.101,-0.153,-0.597,-0.04,-0.0,-0.616,0.0,-0.001,-0.002,-0.0,-0.05
ES,-0.077,-0.0,-0.323,-0.008,-0.765,-0.498,-0.051,-0.302,-0.0,-0.1,-0.0,-0.001,-0.007,-0.0,-0.068
AT,-0.121,0.0,-0.469,-0.0,-0.288,-0.382,-0.489,-0.01,-0.0,-0.266,0.0,-0.0,-0.015,-0.0,-0.002
JP,-0.088,0.0,-0.105,0.0,-0.215,-0.203,-0.308,-0.231,0.0,-0.781,0.0,-0.0,-0.03,-0.0,-0.022
PL,-0.047,-0.0,-0.163,-0.001,-0.293,-0.499,-0.441,-0.038,-0.0,-0.248,-0.0,-0.0,-0.0,-0.0,-0.114
MX,-0.01,-0.0,-0.066,-0.003,-0.122,-1.057,-0.414,-0.021,-0.0,-0.099,-0.0,-0.0,-0.006,-0.0,-0.032
BE,-0.069,-0.0,-0.346,-0.0,-0.636,-0.088,-0.289,-0.117,-0.0,-0.123,-0.0,-0.004,-0.005,-0.0,-0.028
CA,-0.163,-0.0,-0.297,-0.002,-0.139,-0.363,-0.417,-0.053,-0.0,-0.184,-0.0,-0.0,-0.057,-0.0,-0.012
KR,-0.053,0.0,-0.132,-0.0,-0.394,-0.397,-0.192,-0.112,-0.0,-0.075,-0.0,-0.0,-0.013,-0.0,-0.035
WL,-0.039,-0.005,-0.083,-0.016,-0.78,-0.153,-0.14,-0.013,-0.002,-0.064,-0.001,-0.006,-0.011,-0.002,-0.012
CZ,-0.017,-0.0,-0.117,-0.0,-0.169,-0.468,-0.189,-0.014,-0.0,-0.17,-0.0,-0.0,-0.001,-0.0,-0.002
TW,-0.006,-0.0,-0.017,-0.0,-0.089,-0.661,-0.161,-0.036,-0.0,-0.048,0.0,-0.0,-0.025,-0.0,-0.047
TR,-0.027,-0.0,-0.335,-0.001,-0.209,-0.056,-0.239,-0.003,-0.0,-0.02,-0.0,-0.007,-0.016,-0.001,-0.088
HU,-0.027,-0.0,-0.135,-0.0,-0.004,-0.347,-0.21,-0.002,-0.0,-0.138,-0.0,-0.0,-0.0,-0.0,-0.0
NL,-0.019,0.0,-0.018,0.0,-0.22,-0.082,-0.298,-0.023,0.0,-0.098,0.0,-0.0,-0.002,0.0,-0.009
