Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.006,0.014,0.003,0.001,0.002,0.0,0.006,0.019,0.004
BE,0.0,0.0,0.0,0.0,0.004,0.0,0.003,0.01,0.006,0.01,0.001,0.001,0.001,0.012,0.002
BG,0.0,0.002,0.002,0.0,0.0,0.004,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.001,0.0
CH,,,,0.0,,,0.0,0.001,0.0,0.0,0.0,0.276,0.012,0.016,0.006
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.002,0.001,0.0,0.0,0.008,0.007,0.002
DE,0.0,0.0,0.022,0.092,0.0,0.0,0.055,0.105,0.034,0.02,0.022,0.021,0.031,0.066,0.092
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.004,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.051,0.0,0.012,0.001,0.0,0.004,0.01,0.007,0.025,0.001,0.004,0.008,0.002,0.001
FI,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.007,0.0,0.001,0.001,0.001
FR,0.0,,,,0.0,,0.008,0.016,0.015,0.002,0.001,0.002,0.023,0.021,0.006
GB,,0.0,0.0,0.001,0.0,0.0,0.01,0.01,0.014,0.004,0.004,0.013,0.012,0.024,0.003
GR,0.003,,0.0,0.0,0.0,0.0,0.003,0.002,0.001,0.0,0.0,0.0,0.001,0.006,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.0,0.006,0.008,0.002
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.001
IT,0.216,0.0,0.003,0.0,0.0,0.006,0.681,0.554,0.412,0.659,0.799,0.393,0.119,0.1,0.33
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.004,0.001,0.006,0.0,0.001,0.0,0.005,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.001,0.002,0.002,0.0,0.0,0.001,0.012,0.001
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.003,0.0,0.0,0.001,0.001
PL,0.0,0.009,0.007,0.001,0.0,0.001,0.002,0.005,0.003,0.003,0.0,0.006,0.008,0.018,0.003
PT,0.0,0.0,0.003,0.0,0.0,0.0,0.001,0.003,0.001,0.001,0.0,0.0,0.004,0.003,0.001
RO,,0.021,0.002,0.0,0.0,0.004,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.006,0.001
RU,0.0,0.002,0.019,0.008,0.001,0.013,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0
SE,,0.001,0.001,0.001,0.0,0.0,0.002,0.005,0.001,0.0,0.0,0.0,0.002,0.005,0.001
SI,,0.0,0.0,0.0,,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.002,0.004,0.001
SK,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.001,0.005,0.002
WE,0.074,0.002,0.056,0.008,0.012,0.004,0.002,0.005,0.002,0.001,0.001,0.0,0.003,0.002,0.001
BR,0.013,0.02,0.03,0.023,0.011,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.001
CA,0.002,0.01,0.005,0.011,0.0,0.004,0.008,0.009,0.001,0.004,0.007,0.001,0.006,0.017,0.003
MX,0.0,0.016,0.005,0.001,0.0,0.007,0.0,0.002,0.001,0.002,0.001,0.002,0.018,0.016,0.001
US,0.0,0.054,0.012,,0.0,0.138,0.027,0.034,0.015,0.003,0.009,0.018,0.025,0.224,0.069
WL,0.029,0.097,0.06,0.037,0.006,0.037,0.002,0.002,0.007,0.001,0.001,0.001,0.003,0.006,0.001
CN,0.212,0.366,0.183,0.411,0.771,0.307,0.149,0.088,0.418,0.182,0.075,0.217,0.624,0.225,0.425
ID,0.015,0.004,0.001,0.037,0.0,0.003,0.0,0.002,0.0,0.0,0.005,0.0,0.0,0.001,0.0
IN,0.001,0.002,0.001,,0.001,0.003,0.002,0.03,0.001,0.003,0.0,0.003,0.003,0.024,0.009
JP,,,,,0.0,0.0,0.004,0.003,0.002,0.019,0.004,0.001,0.003,0.012,0.011
KR,,0.0,0.0,0.003,0.0,0.0,0.002,0.004,0.004,0.009,0.002,0.002,0.007,0.008,0.001
