Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
JP,-14.203632587914704,0.0,-177.42609613361316,0.0,-65.95278733577534,-58.84846983333271,-142.36962914969232,-18.714941554142,0.0,-7.927062486775261e-08,0.0,-0.215177432161442,-12.85076864169769,-0.3101360686746626,-48.04698655440253
CN,-7.376145926422995,-0.0004154332923461,-27.61056997632503,-0.0054869582486703,-5.620701743174172,-15.718239765207018,-17.446095594479488,-6.111229649225119,-0.0024594905526309,-0.0008595219303702,-0.0029044388298814,-0.0067790014008552,-1.5057148523005133,-0.0094319176392955,-7.255597899688432
WA,-1.3189837619111773,-0.0031257166247032,-48.5357964284129,-0.0175633740658435,-8.950607538193376,-2.681420244539484,-17.661508975204104,-1.86059792548526,-0.0218259994981181,0.0,-0.0583948579102622,-0.0498959089415397,-0.3676466455271714,-0.0029820086193933,-5.927132135419564
US,-0.6420900250808425,-0.0001925715842743,-6.351855832746677,-0.0008835355441178,-0.6437273673770648,-4.782459772444032,-8.656482893455914,-0.236591790253351,-0.0041592578324487,-16.18988589868509,0.0,-1.439370336277697e-05,-0.2338016368285759,-0.0001417487592899,-0.2289537206721036
KR,-0.2709890854739143,0.0,-8.283877695276908,-7.617441229454711e-06,-3.923111807996192,-1.724935427752745,-2.1193332211738287,-2.9852557336183247,-3.661541381197013e-05,-1.4654019119933342e-08,-0.0741224876951921,-0.001202178097125,-0.1951380120674696,-0.001990280663113,-0.3062385128236624
MX,-0.0320323134766182,0.0,-0.6497691935402344,0.0,-0.1519285943656811,-0.517358990733119,-7.074962707217006,-0.0389019239594215,0.0,0.0,0.0,0.0,-0.0066941574444796,0.0,-0.0719800290649332
WL,-0.1014789825400375,-0.0002988418051045,-1.460787024182996,-8.551409668524737e-05,-1.811862761130242,-0.1555367517860019,-0.8583519988055092,-0.0350624939969217,-0.0004212040548907,0.0,-0.0002955460759191,-0.0002161351751018,-0.0235259280743343,0.0,-0.0380189774672841
IN,-0.1764647624343316,-5.614799512897233e-05,-2.5677726266968555,-7.932029725381156e-06,-0.6292417845013314,-0.5300285629916642,-0.5179132120493818,-0.0419513902344712,-2.2537005636582043e-05,0.0,0.0,-0.0001079716350918,-0.0046151090758435,-2.6818649146292204e-05,-0.0174673149202191
ID,-0.0366551577695146,-7.716411515214289e-08,-1.7928769014726882,-1.2409789169754531e-06,-0.4511791639820569,-0.1367006826806009,-0.3434340349394166,-0.679443152480179,-5.062029769310233e-06,0.0,-3.298836160548605e-06,-2.4586406629908416e-08,-0.0994910059370863,-7.410655599474798e-08,-0.00937753366219
CA,-0.3405302470863037,0.0,-1.7127336839938043,-8.097250452786337e-08,-0.1436356300095674,-0.1161866721043206,-1.024404458249138,-0.0672819704550874,-2.424225488729821e-06,0.0,-3.1058437041017514e-08,-1.0685804855425978e-05,-0.0193806752063514,-0.0004152640958565,-0.0059909528109302
WM,-0.1645913617265595,0.0,-0.2205462363386126,-0.0001588132035933,-0.3954739492092974,-0.0877675855400305,-0.7863327267043242,-0.0918915218232657,0.0,0.0,0.0,0.0,-0.1121335442750206,0.0,-0.1028792893190299
DE,-0.0292694310198669,0.0,-0.2207277909607995,0.0,-0.1243182643854524,-0.0091195980813176,-0.2366355785490455,-0.056849510620937,-0.000178163447881,-0.6835585670192004,0.0,-0.000262300334969,-0.0866178173778035,0.0,-0.0107178815246331
GB,-0.0359642477318415,0.0,-0.382366070243771,0.0,-0.1189173535727367,-0.0028037265851928,-0.2045093885013369,-0.0980399951757272,-2.4159584629978804e-05,-0.0024728387031834,0.0,-0.0003766594092974,-0.0286481144257102,-1.8133866279650417e-07,-0.0136433032576205
BR,-0.0153948830197763,-1.6178697187428008e-05,-0.4529260111511299,-1.1819962241082122e-05,-0.0286281809905881,-0.0841346423656142,-0.0527114610611617,-0.0023609957066128,-2.225749161449257e-05,0.0,-6.637603975991394e-05,-9.455335019355475e-06,-0.0055530940213329,-6.421469016363697e-05,-0.001701222019754
TR,-0.0368893500484555,-0.0005714836387591,-0.2581959448093074,-0.0003618721681112,-0.0474141352985572,-0.0013242806062107,-0.13744809705394,-0.0017334422688605,-0.0004400269404375,-9.57322942248946e-05,-0.0008499372881178,-0.0005062481813463,-0.0030643046180625,-0.001250918959071,-0.0141017626896597
IT,-0.0181525406306246,-0.0001818525914796,-0.2000842436407041,0.0,-0.0391988085836257,-0.042037425927847,-0.0466735095620732,-0.0046347340409754,-1.9704742583909822e-08,-0.131350450154798,0.0,-0.0001068194448837,-0.001261743242522,-4.100317222800874e-08,-0.0109313255535474
AU,-0.0119083543071001,-0.000972412452897,-0.0782883867446358,-0.0002985534589029,-0.076549459939594,-0.0182576886406448,-0.0184867146962071,-0.0869505064090493,-0.0001812069238655,0.0,-0.0043702618501147,-3.046481981122989e-05,-0.0417482864580333,-0.0030288356161474,-0.0582448440409581
BE,-0.0149832502268684,0.0,-0.1265350945888693,0.0,-0.0708010756694885,-0.0052826219595567,-0.0760408337083374,-0.0069511872260627,0.0,-0.0567851258098056,0.0,-0.0001275017717698,-0.0034653691901134,0.0,-0.0217365071178332
RU,-0.0110474161829939,-4.172342994154924e-06,-0.2663803849143892,-3.060332740989641e-05,-0.0347248130139514,-0.0099533925723548,-0.0095307171140171,-0.0021962522552782,-3.265147177380862e-06,0.0,-5.6457143028323504e-05,-1.419140489138018e-05,-0.0087621594124982,-3.148581371172051e-05,-0.0065570718598939
NL,-0.0123873325094842,0.0,-0.0303487071738354,0.0,-0.0244441533845973,0.0,-0.1253204268835229,-0.0203505608483694,0.0,-0.0885976929881182,0.0,-7.40745925705791e-05,-0.0111199250972199,0.0,-0.0013984045143669
WF,-0.0139232877525072,-0.0002538661087967,-0.0394062098733909,-0.0016859503083161,-0.1157594304063013,-0.0098414383593325,-0.0080146316518369,-0.011454483273634,-0.0010530289409383,0.0,-0.0007378254335457,-0.0005201924244415,-0.0494191728456131,0.0,-0.0043885518023948
PL,-0.0095962785661917,0.0,-0.0351432624218413,-0.0001682680781036,-0.0669280732845876,-0.001155805247676,-0.0603751463425404,-0.003466595318334,-8.078089539553116e-06,-0.0639315845279524,-2.5792420308926145e-05,-1.4250710271476014e-06,-1.6499318492025527e-05,-4.278413241253229e-06,-0.005269120302673
ES,-0.0081205506853343,0.0,-0.1147351391917512,-0.0123727530375109,-0.0263665285181594,-0.021811610707331,-0.0378031504933302,-0.0010145295556415,-0.0002416619372906,-0.0208200180333963,-1.5619830389514617e-05,-9.335053163803146e-05,-0.000557021113026,-0.0002538337304648,-0.0001843029082996
FR,-0.0095466759151564,-2.561698715979514e-05,-0.064522631789049,0.0,-0.0186863335654381,-0.0033055126024932,-0.0277341077125921,-0.0007803517621234,0.0,-0.050130567860234,-1.5329578504653915e-05,-6.272033761137176e-06,-0.001742927471509,0.0,-0.0003947901791374
CH,-0.0017532253273983,0.0,-0.003135302093263,0.0,-0.0004405940167199,-0.0002677081052346,-0.0824417416878561,-0.000213596291206,0.0,0.0,0.0,0.0,-0.0004308758121613,0.0,-0.0747576412306695
SE,-0.0046165040254336,0.0,-0.0431513169022695,-0.000105939943,-0.0092340591192461,-0.0001683505527653,-0.0272732904290451,-0.0022655811617639,-3.4300754229318175e-05,-0.0665078102138062,-3.6759648802578514e-06,-1.721359241642054e-05,-0.0010969149052318,-3.47849089255727e-05,-0.0001478076141532
AT,-0.0082982243758028,0.0,-0.029901667193962,0.0,-0.0054002386464223,0.0,-0.0472425567062917,-0.0009703658931081,0.0,-0.0488111433459233,0.0,-0.0002396526940826,-0.0076956152093879,0.0,-0.000186618930669
PT,-0.0004476055508428,0.0,-0.0751582878208813,-0.0001549465651082,-0.0056974141440003,-0.0068514035805043,-0.0223634920216998,-0.000854130774295,-1.0097538975135596e-05,-0.0282547398073088,0.0,-2.4899801022241545e-05,-4.097783368971511e-05,-1.0212887210257572e-05,-3.58880136201465e-05
WE,-0.0050377111654658,-1.7442986178972797e-05,-0.0805718535836404,-0.0009687015307829,-0.0325285775162076,-0.0047340478834258,-0.0122778449096437,-0.0008842757405635,-3.64216025557161e-05,0.0,-1.2037786348936886e-05,-4.514719474458348e-05,-0.0012556747462095,-2.1599566366205207e-05,-0.0006610707315564
CZ,-0.0037102955439227,-3.849478364791624e-06,-0.0199773202643467,0.0,-0.0031618103564065,-3.2815674000515755e-05,-0.0377334541799332,-0.0029036325805031,-5.850168957039159e-07,-0.0499003111702368,-1.554539218528569e-06,-2.402453946529104e-06,-0.0002463219531693,0.0,-0.0003149907537921
