Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
JP,-41.723,0.0,-24.575,0.0,-52.717,-21.442,-60.198,-39.733,0.0,-108.04,0.0,-0.115,-44.301,-0.104,-12.073
CN,-10.111,-0.116,-11.623,-0.191,-77.497,-109.197,-17.853,-7.795,-0.015,-96.942,-0.018,-2.763,-1.847,-0.052,-8.267
WA,-0.562,-0.05,-3.399,-0.086,-3.744,-5.218,-4.387,-2.472,-0.008,-1.479,-0.008,-0.145,-0.427,-0.013,-1.282
US,-0.527,-0.0,-1.305,-0.009,-0.575,-1.573,-6.328,-0.256,-0.0,-5.382,0.0,-0.0,-0.038,-0.008,-0.063
KR,-0.456,0.0,-1.063,-0.0,-1.238,-1.742,-1.051,-1.24,-0.0,-0.383,-0.0,-0.0,-0.118,-0.0,-0.068
IN,-0.034,-0.0,-0.939,-0.0,-0.145,-0.2,-0.579,-0.064,-0.0,-0.701,0.0,-0.001,-0.001,-0.0,-0.026
TW,-0.016,-0.0,-0.031,-0.0,-0.148,-1.316,-0.416,-0.037,-0.0,-0.137,0.0,-0.0,-0.083,-0.0,-0.033
DE,-0.134,-0.0,-0.188,-0.0,-0.105,-0.265,-0.129,-0.172,-0.0,-0.908,-0.0,-0.0,-0.103,-0.0,-0.004
MX,-0.009,-0.0,-0.071,-0.002,-0.049,-1.134,-0.454,-0.059,-0.0,-0.11,-0.0,-0.0,-0.007,-0.0,-0.024
WM,-0.057,-0.001,-0.301,-0.008,-0.034,-0.307,-0.409,-0.013,-0.002,-0.2,-0.0,-0.01,-0.033,-0.007,-0.01
CA,-0.118,-0.0,-0.178,-0.001,-0.031,-0.188,-0.309,-0.015,-0.0,-0.166,-0.0,-0.0,-0.016,-0.0,-0.003
GB,-0.112,0.0,-0.053,-0.0,-0.163,-0.152,-0.134,-0.152,-0.0,-0.055,-0.0,-0.0,-0.008,-0.0,-0.004
WL,-0.009,-0.003,-0.086,-0.009,-0.247,-0.124,-0.1,-0.006,-0.001,-0.046,-0.0,-0.003,-0.005,-0.001,-0.006
AU,-0.259,-0.015,-0.033,-0.003,-0.007,-0.032,-0.102,-0.031,-0.001,-0.024,-0.0,-0.02,-0.029,-0.003,-0.015
ID,-0.006,-0.005,-0.234,-0.002,-0.117,-0.067,-0.071,-0.009,-0.0,-0.022,-0.001,-0.0,-0.015,-0.0,-0.001
IT,-0.021,-0.0,-0.063,-0.0,-0.033,-0.026,-0.011,-0.04,-0.0,-0.124,-0.0,-0.0,-0.003,-0.0,-0.005
BE,-0.009,-0.0,-0.057,-0.0,-0.026,-0.02,-0.037,-0.027,-0.0,-0.028,-0.0,-0.001,-0.024,-0.0,-0.005
FR,-0.019,-0.0,-0.038,0.0,-0.019,-0.075,-0.03,-0.004,0.0,-0.028,0.0,-0.0,-0.003,0.0,-0.0
TR,-0.006,-0.0,-0.085,-0.0,-0.025,-0.019,-0.044,-0.001,-0.0,-0.004,-0.0,-0.001,-0.007,-0.0,-0.004
WF,-0.003,-0.003,-0.046,-0.001,-0.014,-0.033,-0.052,-0.002,-0.001,-0.016,-0.0,-0.013,-0.009,-0.0,-0.001
PL,-0.003,-0.0,-0.009,-0.0,-0.007,-0.043,-0.027,-0.008,-0.0,-0.026,-0.0,-0.0,-0.0,-0.0,-0.001
CH,-0.001,0.0,-0.001,0.0,-0.0,-0.036,-0.033,-0.0,0.0,-0.028,-0.0,0.0,-0.001,0.0,-0.018
NL,-0.004,0.0,-0.003,0.0,-0.009,-0.017,-0.045,-0.005,0.0,-0.035,0.0,-0.0,-0.0,0.0,-0.0
ES,-0.008,-0.0,-0.017,-0.001,-0.009,-0.023,-0.002,-0.041,-0.0,-0.006,-0.0,-0.0,-0.002,-0.0,-0.0
SE,-0.015,0.0,-0.023,-0.0,-0.004,-0.02,-0.012,-0.001,-0.0,-0.017,-0.0,-0.0,-0.01,-0.0,-0.0
BR,-0.004,-0.001,-0.025,-0.002,-0.009,-0.022,-0.008,-0.004,-0.0,-0.017,-0.0,-0.006,-0.002,-0.0,-0.001
CZ,-0.001,-0.0,-0.007,-0.0,-0.002,-0.043,-0.017,-0.004,-0.0,-0.018,-0.0,-0.0,-0.0,-0.0,-0.0
AT,-0.008,0.0,-0.011,-0.0,-0.004,-0.022,-0.02,-0.001,-0.0,-0.015,0.0,-0.0,-0.001,-0.0,-0.0
HU,-0.001,-0.0,-0.013,-0.0,-0.0,-0.031,-0.014,-0.0,-0.0,-0.016,-0.0,-0.0,-0.0,-0.0,-0.0
IE,-0.001,0.0,-0.001,0.0,-0.0,-0.019,-0.032,-0.0,-0.0,-0.019,-0.0,0.0,-0.001,-0.0,-0.0
RU,-0.002,-0.0,-0.043,-0.0,-0.004,-0.002,-0.006,-0.0,-0.0,-0.001,-0.0,-0.0,-0.004,-0.0,-0.002
LU,-0.001,0.0,-0.014,0.0,-0.003,-0.003,-0.018,-0.008,0.0,-0.005,0.0,0.0,-0.0,0.0,-0.001
NO,-0.003,-0.0,-0.014,-0.0,-0.002,-0.007,-0.007,-0.001,-0.0,-0.009,-0.0,-0.0,-0.006,-0.0,-0.0
WE,-0.002,-0.001,-0.013,-0.0,-0.003,-0.011,-0.003,-0.002,-0.0,-0.005,-0.0,-0.001,-0.001,-0.0,-0.0
FI,-0.0,-0.0,-0.004,-0.0,-0.002,-0.009,-0.002,-0.002,-0.0,-0.009,-0.0,-0.0,-0.013,-0.0,-0.0
DK,-0.002,-0.0,-0.002,-0.0,-0.001,-0.013,-0.01,-0.0,-0.0,-0.011,-0.0,-0.0,-0.0,-0.0,-0.0
SK,-0.001,-0.0,-0.006,-0.0,-0.001,-0.012,-0.009,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
ZA,-0.001,0.0,-0.003,-0.0,-0.001,-0.004,-0.004,-0.0,-0.0,-0.004,-0.0,-0.008,-0.001,-0.0,-0.001
GR,-0.004,-0.0,-0.007,0.0,-0.001,-0.002,-0.009,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0
RO,-0.0,0.0,-0.003,-0.0,-0.001,-0.005,-0.006,-0.0,-0.0,-0.005,-0.0,-0.0,-0.0,-0.0,-0.0
PT,-0.0,-0.0,-0.002,-0.0,-0.001,-0.005,-0.004,-0.001,-0.0,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0
BG,-0.0,-0.0,-0.0,-0.0,-0.009,-0.001,-0.001,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.001,0.0,-0.001,-0.0,-0.0,-0.004,-0.004,-0.0,-0.0,-0.002,-0.0,0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
HR,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
LV,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
