Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.003,0.001,0.0,0.0,0.002,0.004,0.001,0.003,0.002,0.0,0.002,0.001,0.004
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,,,,0.0,,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0
GB,,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.003,0.0,0.0,0.001,0.001,0.0
GR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001
LT,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,0.0,0.0,0.009,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE,0.007,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR,0.004,0.005,0.014,0.006,0.002,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0.0,0.003,0.003,0.004,0.0,0.001,0.002,0.004,0.0,0.0,0.0,0.0,0.001,0.003,0.001
MX,0.0,0.007,0.004,0.001,0.0,0.002,0.0,0.002,0.0,0.001,0.0,0.001,0.008,0.005,0.001
US,0.0,0.028,0.01,,0.0,0.041,0.01,0.029,0.004,0.005,0.001,0.003,0.011,0.068,0.025
WL,0.015,0.028,0.023,0.009,0.001,0.005,0.0,0.002,0.002,0.0,0.0,0.0,0.001,0.001,0.0
CN,0.593,0.609,0.504,0.616,0.895,0.275,0.186,0.261,0.566,0.149,0.039,0.377,0.761,0.192,0.451
ID,0.028,0.005,0.002,0.032,0.0,0.002,0.0,0.005,0.001,0.0,0.0,0.0,0.0,0.001,0.0
IN,0.001,0.001,0.0,,0.0,0.001,0.001,0.021,0.001,0.001,0.0,0.001,0.001,0.006,0.003
JP,,,,,0.037,0.549,0.769,0.551,0.385,0.761,0.94,0.551,0.149,0.647,0.502
KR,,0.0,0.001,0.013,0.0,0.001,0.008,0.024,0.009,0.024,0.003,0.003,0.012,0.011,0.002
TR,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TW,0.0,0.0,0.002,,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.009,0.004,0.001
WA,0.256,0.274,0.284,0.293,0.047,0.068,0.01,0.076,0.027,0.047,0.009,0.059,0.036,0.047,0.007
WM,0.005,0.024,0.055,0.002,0.003,0.037,0.001,0.007,0.0,0.0,0.001,0.0,0.002,0.004,0.001
WF,0.014,0.003,0.03,0.004,0.004,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
ZA,,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,0.076,0.01,0.048,0.015,0.007,0.014,0.005,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.0
