Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
KR,-165.7035574442939,0.0,-218.5970057269947,-1.483550404445977e-05,-46.36909034730276,-31.827554303341287,-75.42391767643618,-3.9797082043995617,-0.0015447337888823,-2.306802697274559e-08,-3.981374281802213,-0.0321218034184523,-3.673030199179296,-0.0721820575867025,-2.423984774381504
CN,-16.46101816849378,-0.0006192818204503,-31.90933335710313,-0.0083216715275029,-4.671076787714592,-20.7964430690968,-23.52036399501637,-4.989502952403005,-0.0029733514339676,-0.003948870627059,-0.0036056635094555,-0.0096894100126019,-1.430256937704654,-0.0120184699016945,-0.3822676628351152
WA,-10.344925098215976,-0.0246813418751598,-34.25295793848577,-0.0081768218660092,-6.748082529521642,-2.734728927141816,-16.865266699982254,-0.6781008884783738,-0.0111776830650829,0.0,-0.0060610853439041,-0.0150179385299402,-0.4562981400939692,-0.0049641761276016,-0.6239305877351804
US,-2.582217711281612,-0.0003190879776502,-9.161972239909968,-0.0014868918326983,-0.8831707883780412,-5.804332845896241,-18.805431765348278,-0.0440600652701143,-0.0070627245316772,-19.68358660074556,0.0,-2.3946978347957428e-05,-0.3100926077879243,-0.0002560405200592,-0.5002611739715932
JP,-1.3828619140451452,0.0,-6.508145707848382,0.0,-3.708179999003569,-1.9722796038772483,-8.227559902582474,-0.2518644970141191,0.0,-6.079964554939514e-07,0.0,-0.0770808907280223,-1.8634823970461236,-0.0005394897729492,-0.1427715235976625
MX,-0.2413818192379048,0.0,-0.8781116113901871,0.0,-0.1968070868767931,-1.1413596368575765,-12.548314082984302,-0.0336322615408405,0.0,0.0,0.0,0.0,-0.0114923409930334,0.0,-0.1273453154527965
IN,-0.4758961095416957,-0.0001099420039632,-5.817806515469647,-2.18882087594466e-05,-0.6504124685843636,-0.9516269080398831,-1.2572949695838662,-0.0574067917501939,-3.4785513292974774e-05,0.0,0.0,-0.0002923392435559,-0.0098376087459811,-3.802943901917135e-05,-0.0230107409075418
CA,-1.7755163154553146,0.0,-4.149389353680231,-1.2360580998558276e-07,-0.210666818235537,-0.3166106512929518,-2.6186683321014623,-0.0875742418565614,-4.930705386691169e-06,0.0,-5.6414216450611755e-08,-1.8667202944832217e-05,-0.0338634650243587,-0.001117881111123,-0.0160693463311773
WL,-1.1835582997759495,-0.0035294044316695,-1.266181357308754,-0.0002747593287428,-2.538222856977593,-0.2572724286475656,-0.9091046560423892,-0.0660577414998581,-0.0011264767932282,0.0,-0.0007566922932373,-0.0025525489344459,-0.0479443473625707,0.0,-0.0736609559165364
WM,-1.4222192830193363,0.0,-0.3537543175197646,-0.0005568887593861,-0.549959043218234,-0.1493056686679394,-1.470719430053283,-0.0629988090741755,0.0,0.0,0.0,0.0,-0.0953324487033264,0.0,-0.0287654368245729
