Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-12.325,-0.125,-12.615,-0.208,-49.744,-135.058,-19.215,-6.232,-0.017,-115.413,-0.02,-2.985,-2.119,-0.056,-4.241
KR,-37.606,0.0,-70.853,-0.0,-37.661,-62.79,-44.695,-16.301,-0.0,-14.017,-0.018,-0.003,-6.468,-0.0,-3.451
WA,-0.796,-0.07,-4.642,-0.081,-2.504,-5.596,-5.122,-1.079,-0.012,-1.869,-0.013,-0.215,-0.354,-0.016,-0.387
US,-0.733,-0.0,-2.174,-0.01,-0.518,-1.694,-6.625,-0.051,-0.0,-6.452,0.0,-0.0,-0.053,-0.009,-0.093
JP,-0.628,0.0,-1.478,0.0,-0.337,-0.777,-2.939,-0.017,0.0,-3.445,0.0,-0.0,-0.055,-0.0,-0.169
MX,-0.013,-0.0,-0.16,-0.004,-0.074,-2.152,-1.163,-0.02,-0.0,-0.23,-0.0,-0.001,-0.007,-0.001,-0.047
IN,-0.054,-0.0,-0.952,-0.0,-0.083,-0.299,-0.96,-0.094,-0.0,-1.261,0.0,-0.001,-0.002,-0.0,-0.033
WM,-0.14,-0.001,-0.852,-0.015,-0.059,-0.698,-1.079,-0.025,-0.003,-0.471,-0.0,-0.019,-0.028,-0.013,-0.008
TW,-0.019,-0.0,-0.027,-0.0,-0.085,-1.345,-0.515,-0.021,-0.0,-0.161,0.0,-0.0,-0.031,-0.0,-0.011
CA,-0.12,-0.0,-0.592,-0.002,-0.028,-0.274,-0.827,-0.008,-0.0,-0.239,-0.0,-0.0,-0.018,-0.0,-0.004
DE,-0.071,-0.0,-0.234,-0.0,-0.054,-0.305,-0.122,-0.02,-0.0,-0.997,-0.0,-0.0,-0.017,-0.0,-0.006
WL,-0.031,-0.01,-0.179,-0.019,-0.395,-0.233,-0.211,-0.015,-0.002,-0.095,-0.001,-0.007,-0.01,-0.002,-0.013
TR,-0.013,-0.0,-0.34,-0.0,-0.014,-0.037,-0.175,-0.001,-0.0,-0.013,-0.0,-0.003,-0.002,-0.0,-0.004
IT,-0.024,-0.0,-0.219,-0.0,-0.029,-0.042,-0.024,-0.009,-0.0,-0.21,-0.0,-0.0,-0.001,-0.0,-0.004
ID,-0.008,-0.005,-0.322,-0.001,-0.03,-0.069,-0.073,-0.004,-0.0,-0.022,-0.001,-0.0,-0.006,-0.0,-0.002
GB,-0.02,0.0,-0.076,-0.0,-0.067,-0.14,-0.125,-0.006,-0.0,-0.05,-0.0,-0.0,-0.007,-0.0,-0.008
AU,-0.097,-0.016,-0.046,-0.003,-0.007,-0.043,-0.065,-0.08,-0.001,-0.025,-0.0,-0.02,-0.022,-0.002,-0.016
WF,-0.015,-0.009,-0.064,-0.003,-0.02,-0.063,-0.097,-0.006,-0.003,-0.033,-0.0,-0.037,-0.028,-0.001,-0.004
BE,-0.008,-0.0,-0.135,-0.0,-0.021,-0.022,-0.062,-0.01,-0.0,-0.038,-0.0,-0.001,-0.003,-0.0,-0.006
PL,-0.005,-0.0,-0.025,-0.0,-0.011,-0.104,-0.065,-0.003,-0.0,-0.052,-0.0,-0.0,-0.0,-0.0,-0.001
FR,-0.01,-0.0,-0.04,0.0,-0.017,-0.087,-0.03,-0.001,0.0,-0.031,0.0,-0.0,-0.001,0.0,-0.0
BR,-0.007,-0.001,-0.047,-0.003,-0.014,-0.037,-0.015,-0.003,-0.001,-0.031,-0.0,-0.011,-0.002,-0.0,-0.002
CZ,-0.002,-0.0,-0.015,-0.0,-0.002,-0.068,-0.026,-0.001,-0.0,-0.03,-0.0,-0.0,-0.0,-0.0,-0.0
ES,-0.01,-0.0,-0.038,-0.001,-0.011,-0.043,-0.006,-0.012,-0.0,-0.012,-0.0,-0.0,-0.001,-0.0,-0.0
SE,-0.003,0.0,-0.04,-0.0,-0.003,-0.035,-0.02,-0.0,-0.0,-0.022,-0.0,-0.0,-0.001,-0.0,-0.0
CH,-0.001,0.0,-0.001,0.0,-0.0,-0.035,-0.026,-0.0,0.0,-0.028,-0.0,0.0,-0.0,0.0,-0.03
NL,-0.004,0.0,-0.003,0.0,-0.007,-0.02,-0.055,-0.002,0.0,-0.03,0.0,-0.0,-0.0,0.0,-0.0
HU,-0.002,-0.0,-0.009,-0.0,-0.0,-0.055,-0.022,-0.0,-0.0,-0.03,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.003,-0.0,-0.085,-0.0,-0.006,-0.003,-0.009,-0.0,-0.0,-0.002,-0.0,-0.0,-0.005,-0.0,-0.002
AT,-0.004,0.0,-0.015,-0.0,-0.003,-0.029,-0.019,-0.0,-0.0,-0.02,0.0,-0.0,-0.001,-0.0,-0.0
SK,-0.001,-0.0,-0.002,-0.0,-0.001,-0.034,-0.023,-0.0,-0.0,-0.022,-0.0,-0.0,-0.0,-0.0,-0.0
WE,-0.003,-0.002,-0.03,-0.0,-0.003,-0.019,-0.006,-0.001,-0.0,-0.007,-0.0,-0.001,-0.001,-0.0,-0.0
NO,-0.004,-0.0,-0.011,-0.0,-0.001,-0.012,-0.013,-0.0,-0.0,-0.017,-0.0,-0.0,-0.009,-0.0,-0.001
IE,-0.001,0.0,-0.001,0.0,-0.0,-0.026,-0.014,-0.0,-0.0,-0.02,-0.0,0.0,-0.001,-0.0,-0.0
GR,-0.009,-0.0,-0.017,0.0,-0.002,-0.005,-0.022,-0.0,-0.0,-0.003,-0.0,-0.0,-0.0,-0.0,-0.0
LU,-0.002,0.0,-0.017,0.0,-0.003,-0.003,-0.02,-0.004,0.0,-0.005,0.0,0.0,-0.0,0.0,-0.001
DK,-0.001,-0.0,-0.004,-0.0,-0.0,-0.016,-0.013,-0.0,-0.0,-0.013,-0.0,-0.0,-0.0,-0.0,-0.0
FI,-0.0,-0.0,-0.007,-0.0,-0.002,-0.012,-0.003,-0.0,-0.0,-0.011,-0.0,-0.0,-0.005,-0.0,-0.0
PT,-0.0,-0.0,-0.008,-0.0,-0.001,-0.013,-0.008,-0.002,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
ZA,-0.001,0.0,-0.004,-0.0,-0.001,-0.007,-0.005,-0.0,-0.0,-0.006,-0.0,-0.009,-0.001,-0.0,-0.002
RO,-0.001,0.0,-0.006,-0.0,-0.002,-0.008,-0.008,-0.0,-0.0,-0.008,-0.0,-0.0,-0.0,-0.0,-0.0
BG,-0.0,-0.0,-0.0,-0.0,-0.011,-0.002,-0.002,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.001,0.0,-0.002,-0.0,-0.0,-0.005,-0.004,-0.0,-0.0,-0.003,-0.0,0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
HR,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
LV,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
