Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
PL,-4.523124277401142,0.0,-13.565334304945438,-0.0640255079766634,-6.975848955462983,-0.3917239814691934,-12.160952272634486,-0.6382610769073629,-0.0020534969231122,-15.693446338819587,-0.0009007806582004,-0.0008637775868929,-0.0084896133892908,-0.0031270824169604,-4.027981862725348
SE,-2.0154123451263364,0.0,-12.42841118145782,-0.1173251779976297,-2.9257820321249977,-0.0362468124092501,-3.8496818453999113,-0.2691051440789339,-0.0392976710552573,-6.823268618178087,-0.007453328304978,-0.002971190170237,-0.395954962451343,-0.0045059465678006,-0.0321575367824002
DE,-0.4819802930369042,0.0,-2.7192587497823366,0.0,-1.5782978692893688,-0.0665330063666767,-2.8580759927658232,-0.4250830707341337,-0.0013338341110259,-7.896371110561003,0.0,-0.0017780077738929,-0.0807754383835168,0.0,-0.0851303289438137
CN,-1.5032453655315543,-0.0002864780191661,-3.987457023435115,-0.0032580278112557,-1.326678455169653,-1.9559482222873363,-2.807413351447706,-1.1945307640551608,-0.0049798725114761,-0.0004537742186365,-0.0054349405181253,-0.0066462065318059,-0.3264191891502626,-0.0165109552976613,-0.2840886637022437
US,-0.2629669937689817,-8.203195262931066e-05,-1.8813533831575533,-0.0003755759700331,-0.3197339338703691,-1.503397380176665,-3.498634903661599,-0.0352200929337911,-0.0017701280525047,-4.781671820773154,0.0,-6.099738930022231e-06,-0.0948751850941999,-6.608319216453973e-05,-0.6551709897466963
RU,-1.848821276300706,-0.0001554623044875,-3.104267476053198,-0.0006310188622115,-1.046194461624124,-0.8000806896907482,-1.6015151571200237,-0.0433655685443111,-0.000171338637022,0.0,-0.0015475631212479,-0.0002926166829902,-0.3883840695126926,-0.0095200201965753,-0.2027762817593909
WA,-0.2566898841922345,-0.0006064837255379,-3.328485969773039,-0.0012148850935023,-1.0661692219994616,-0.2620531011708931,-1.3982109632480435,-0.1606902564789572,-0.0015699949205286,0.0,-0.002226851642363,-0.0025071146908983,-0.0587458113962612,-0.0003760074765818,-0.2268247858468164
CZ,-0.1744774601103742,-7.580252124017303e-05,-0.9346393547995486,0.0,-0.047369195693263,-0.000399003766023,-0.7959754594890764,-0.0951999638005406,-1.0363713886007895e-05,-1.2058636829596288,-3.090111197075781e-05,-4.3328826181231775e-05,-0.002950534509839,0.0,-0.0073816572237487
KR,-0.0601364510292197,0.0,-0.4027439018186494,-7.760147801864782e-06,-0.8669727903865724,-0.2292827596072599,-0.1735243900715288,-0.8684274078834845,-1.7442993519769547e-05,-1.6704403221827386e-07,-0.0253859769906909,-0.0003726767250878,-0.0183522247077886,-0.0006411835780752,-0.034542428183202
AT,-0.1301942947458297,0.0,-1.2768783684475868,0.0,-0.0630785899795199,0.0,-0.5297895561524673,-0.0202926431000827,0.0,-0.5836243146521656,0.0,-0.0015388448772935,-0.0257930066250785,0.0,-0.0017977026259455
