Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
LT,-9.733,0.0,-12.115,-0.0,-5.575,-19.265,-25.732,-0.05,-0.0,-9.22,-0.0,0.0,-0.281,0.0,-0.044
CN,-3.758,-0.037,-3.332,-0.069,-14.984,-20.637,-4.515,-1.655,-0.009,-23.419,-0.007,-0.816,-0.72,-0.017,-1.219
DE,-0.813,-0.0,-1.31,-0.0,-0.383,-1.467,-1.295,-0.061,-0.001,-5.896,-0.0,-0.0,-0.057,-0.0,-0.025
WA,-0.386,-0.026,-2.961,-0.039,-0.205,-2.482,-2.906,-0.097,-0.007,-1.172,-0.006,-0.122,-0.238,-0.009,-0.061
US,-0.3,-0.0,-0.467,-0.007,-0.137,-0.563,-2.475,-0.008,-0.001,-2.659,0.0,-0.0,-0.019,-0.006,-0.029
PL,-0.158,-0.0,-0.221,-0.004,-0.147,-1.017,-0.822,-0.021,-0.001,-0.58,-0.0,-0.0,-0.001,-0.0,-0.014
WE,-0.182,-0.252,-0.884,-0.002,-0.145,-0.585,-0.238,-0.05,-0.008,-0.268,-0.006,-0.062,-0.066,-0.001,-0.007
SE,-0.052,0.0,-0.361,-0.001,-0.034,-1.049,-0.439,-0.004,-0.0,-0.734,-0.0,-0.0,-0.007,-0.0,-0.001
WM,-0.261,-0.002,-0.403,-0.013,-0.029,-0.47,-0.935,-0.008,-0.003,-0.404,-0.0,-0.014,-0.036,-0.012,-0.008
GB,-0.161,0.0,-0.134,-0.0,-0.13,-0.589,-0.572,-0.025,-0.0,-0.229,-0.0,-0.0,-0.029,-0.0,-0.023
JP,-0.202,0.0,-0.101,0.0,-0.066,-0.148,-0.287,-0.033,0.0,-0.74,0.0,-0.0,-0.023,-0.0,-0.008
NO,-0.094,-0.0,-0.118,-0.0,-0.016,-0.235,-0.394,-0.003,-0.0,-0.431,-0.0,-0.001,-0.221,-0.0,-0.017
IT,-0.056,-0.0,-0.246,-0.0,-0.129,-0.159,-0.054,-0.017,-0.0,-0.632,-0.0,-0.0,-0.003,-0.0,-0.015
IN,-0.024,-0.0,-0.437,-0.0,-0.039,-0.091,-0.289,-0.017,-0.0,-0.365,0.0,-0.001,-0.001,-0.0,-0.015
FI,-0.013,-0.0,-0.134,-0.001,-0.028,-0.39,-0.07,-0.007,-0.0,-0.326,-0.0,-0.0,-0.098,-0.0,-0.061
KR,-0.136,0.0,-0.133,-0.0,-0.092,-0.36,-0.204,-0.069,-0.0,-0.08,-0.0,-0.0,-0.01,-0.0,-0.007
RU,-0.045,-0.0,-0.508,-0.003,-0.08,-0.087,-0.18,-0.005,-0.007,-0.044,-0.001,-0.007,-0.05,-0.008,-0.029
DK,-0.014,-0.0,-0.035,-0.0,-0.004,-0.471,-0.266,-0.001,-0.0,-0.262,-0.0,-0.0,-0.001,-0.0,-0.001
WL,-0.013,-0.004,-0.056,-0.013,-0.682,-0.093,-0.073,-0.01,-0.001,-0.041,-0.0,-0.005,-0.009,-0.001,-0.009
TR,-0.034,-0.0,-0.567,-0.0,-0.027,-0.045,-0.283,-0.001,-0.0,-0.02,-0.0,-0.006,-0.004,-0.001,-0.02
FR,-0.036,-0.0,-0.197,0.0,-0.056,-0.353,-0.136,-0.005,0.0,-0.149,0.0,-0.0,-0.006,0.0,-0.001
CZ,-0.01,-0.0,-0.062,-0.0,-0.012,-0.466,-0.165,-0.009,-0.0,-0.213,-0.0,-0.0,-0.001,-0.0,-0.001
AT,-0.028,0.0,-0.306,-0.0,-0.014,-0.172,-0.197,-0.001,-0.0,-0.157,0.0,-0.0,-0.008,-0.0,-0.001
MX,-0.005,-0.0,-0.047,-0.002,-0.024,-0.464,-0.185,-0.007,-0.0,-0.052,-0.0,-0.0,-0.003,-0.0,-0.014
HU,-0.013,-0.0,-0.064,-0.0,-0.001,-0.365,-0.162,-0.0,-0.0,-0.16,-0.0,-0.0,-0.0,-0.0,-0.001
BE,-0.032,-0.0,-0.144,-0.0,-0.073,-0.15,-0.174,-0.042,-0.0,-0.115,-0.0,-0.003,-0.004,-0.0,-0.018
CH,-0.003,0.0,-0.007,0.0,-0.002,-0.168,-0.216,-0.001,0.0,-0.201,-0.0,0.0,-0.001,0.0,-0.11
NL,-0.021,0.0,-0.016,0.0,-0.03,-0.129,-0.349,-0.007,0.0,-0.123,0.0,-0.0,-0.002,0.0,-0.001
CA,-0.053,-0.0,-0.113,-0.001,-0.014,-0.104,-0.226,-0.011,-0.0,-0.125,-0.0,-0.0,-0.01,-0.0,-0.004
WF,-0.013,-0.06,-0.085,-0.005,-0.046,-0.071,-0.111,-0.013,-0.011,-0.037,-0.002,-0.073,-0.101,-0.001,-0.013
TW,-0.005,-0.0,-0.009,-0.0,-0.032,-0.344,-0.096,-0.003,-0.0,-0.038,0.0,-0.0,-0.007,-0.0,-0.002
ES,-0.024,-0.0,-0.122,-0.003,-0.046,-0.141,-0.017,-0.02,-0.0,-0.035,-0.0,-0.0,-0.008,-0.0,-0.009
EE,-0.001,-0.0,-0.006,-0.0,-0.003,-0.249,-0.07,-0.001,-0.0,-0.034,-0.0,0.0,-0.007,-0.0,-0.0
IE,-0.004,0.0,-0.002,0.0,-0.0,-0.153,-0.103,-0.0,-0.0,-0.096,-0.0,0.0,-0.004,-0.0,-0.001
SK,-0.018,-0.0,-0.012,-0.0,-0.006,-0.141,-0.086,-0.001,-0.0,-0.075,-0.0,-0.0,-0.0,-0.0,-0.001
ID,-0.004,-0.004,-0.174,-0.001,-0.012,-0.033,-0.039,-0.003,-0.0,-0.01,-0.001,-0.0,-0.02,-0.0,-0.001
RO,-0.004,0.0,-0.029,-0.003,-0.006,-0.075,-0.09,-0.002,-0.0,-0.064,-0.0,-0.0,-0.0,-0.0,-0.0
LU,-0.005,0.0,-0.073,0.0,-0.012,-0.013,-0.073,-0.033,0.0,-0.045,0.0,0.0,-0.001,0.0,-0.003
LV,-0.015,-0.0,-0.058,-0.0,-0.027,-0.044,-0.043,-0.002,-0.0,-0.035,-0.0,0.0,-0.001,-0.0,-0.0
BG,-0.002,-0.0,-0.002,-0.0,-0.113,-0.017,-0.016,-0.005,-0.0,-0.022,-0.0,-0.0,-0.0,-0.0,-0.0
AU,-0.015,-0.014,-0.025,-0.003,-0.006,-0.021,-0.017,-0.01,-0.001,-0.013,-0.0,-0.018,-0.014,-0.002,-0.014
SI,-0.009,0.0,-0.015,-0.0,-0.001,-0.058,-0.054,-0.0,-0.0,-0.03,-0.0,0.0,-0.0,-0.0,-0.0
GR,-0.011,-0.0,-0.042,0.0,-0.009,-0.011,-0.04,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
BR,-0.004,-0.001,-0.025,-0.002,-0.008,-0.02,-0.007,-0.001,-0.0,-0.015,-0.0,-0.006,-0.001,-0.0,-0.002
PT,-0.001,-0.0,-0.01,-0.0,-0.003,-0.025,-0.029,-0.001,-0.0,-0.021,-0.0,-0.0,-0.0,-0.0,-0.0
ZA,-0.004,0.0,-0.007,-0.0,-0.005,-0.005,-0.006,-0.001,-0.0,-0.006,-0.0,-0.02,-0.004,-0.0,-0.005
HR,-0.002,-0.0,-0.002,-0.0,-0.001,-0.004,-0.012,-0.0,-0.0,-0.006,-0.0,-0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005,-0.004,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
