Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.002,0.012,0.001,0.0,0.004,0.001,0.003,0.004,0.003
BE,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.005,0.003,0.018,0.002,0.01,0.003,0.004,0.002
BG,0.0,0.002,0.002,0.0,0.0,0.004,0.0,0.0,0.005,0.002,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.061,0.003,0.005,0.004
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.004,0.001,0.001,0.009,0.004,0.004
DE,0.0,0.0,0.01,0.006,0.0,0.0,0.048,0.05,0.016,0.026,0.028,0.014,0.027,0.029,0.119
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.009,0.006,0.005
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.005,0.002,0.001
ES,0.0,0.019,0.0,0.003,0.0,0.0,0.001,0.005,0.002,0.009,0.004,0.005,0.003,0.0,0.001
FI,0.0,0.004,0.001,0.003,0.0,0.001,0.001,0.005,0.001,0.003,0.047,0.033,0.007,0.002,0.007
FR,0.0,,,,0.0,,0.002,0.008,0.002,0.002,0.003,0.001,0.007,0.003,0.003
GB,,0.0,0.0,0.002,0.0,0.0,0.01,0.005,0.006,0.011,0.014,0.013,0.011,0.013,0.005
GR,0.001,,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.007,0.004,0.003
IE,,,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.003,0.002,0.002
IT,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.009,0.005,0.008,0.001,0.008,0.003,0.001,0.013
LT,,0.0,0.0,0.0,,,0.58,0.463,0.237,0.022,0.135,0.024,0.357,0.575,0.187
LU,,,,,,,0.0,0.003,0.001,0.014,0.001,0.002,0.0,0.002,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.001,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.001
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.001,0.001,0.003,0.001,0.001,0.002,0.008,0.002
NO,0.0,0.0,0.0,0.0,0.001,0.0,0.006,0.004,0.001,0.002,0.106,0.01,0.004,0.009,0.009
PL,0.0,0.026,0.014,0.002,0.0,0.003,0.009,0.008,0.006,0.009,0.0,0.008,0.019,0.018,0.012
PT,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
