Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-9.424384127916785,0.0,-26.689563228335945,0.0,-4.888977603482602,-0.7082945243791487,-17.148493662759716,-0.5019026806224534,-0.002905789078336,-36.39313644552329,0.0,-0.0151051844479752,-1.1531636662212164,0.0,-0.4205593229777358
GB,-9.53761596474984,0.0,-6.075333878127101,0.0,-1.8728717054521928,-0.6157918744204034,-7.23728018992229,-0.5545293297995821,-0.0041262894089789,-0.1009387895403538,0.0,-0.0659635759872777,-2.802910811117036,-1.8739344828916948e-05,-0.3707161299257054
FR,-3.7578823083464816,-0.0031636795791068,-13.464631140846928,0.0,-2.134577012080937,-0.2396295054801074,-1.8945662016927611,-0.0483111343635917,0.0,-3.544405494302872,-0.001559615481741,-0.0008642479745913,-0.1978304361890907,0.0,-0.05474136406154
US,-0.7267205139885888,-0.000185265866731,-2.4494379770211205,-0.000646720326259,-0.5370061098981962,-2.384779112127648,-5.848502308894392,-0.0403392866414813,-0.0028848598123458,-7.228032370006282,0.0,-1.2605747478227887e-05,-0.2023052152190961,-0.0002075695471758,-0.179286598337289
CN,-2.6101682642752886,-0.0002390566826749,-5.398496963100359,-0.0032383394339591,-1.4598716264386833,-2.666626201156152,-4.239301809277748,-1.852004889830336,-0.0007378186600878,-0.0011741005610275,-0.0009627362522936,-0.0034946898416954,-0.5892595514187879,-0.0032958836306051,-0.1809730526935647
WA,-0.9646566925708144,-0.0022985245183405,-2.381106945312211,-0.0010349556462272,-1.1405696963869787,-0.2798224268175958,-1.509386930697648,-0.0928234047666001,-0.0016796481071879,0.0,-0.0014999821517774,-0.0020504191118426,-0.1058314072607414,-0.0003415702896158,-0.1531977285616652
BE,-0.4835219511149371,0.0,-0.8888509183861214,0.0,-0.7719793984432793,-0.0400346543732962,-0.602546053760519,-0.0228393053466241,0.0,-0.5052694176413075,0.0,-0.0010083280611417,-0.0436749468688824,0.0,-0.2016875145294657
CA,-0.7677832332943347,0.0,-1.086497544873651,-6.541142293420334e-08,-0.2084092563491888,-0.1129059035523757,-0.6038504721601674,-0.1835109989992788,-3.544263484121188e-06,0.0,-2.3809042562173873e-08,-3.877248022450022e-05,-0.0701011357818489,-0.0003399169414847,-0.0049503251167376
WL,-0.1273230046335861,-0.0003770251264438,-0.2597348740194932,-6.506535590699027e-05,-2.080728929666379,-0.0603477066805638,-0.1731985398843586,-0.0248516192130274,-0.0001863920516167,0.0,-0.0003833772185171,-0.0002726763151374,-0.0149606784521848,0.0,-0.0232606439192945
IN,-0.1548156873580731,-2.6895980551604647e-05,-1.5935509398353354,-3.656745232685426e-06,-0.1806169253503347,-0.3093189192796607,-0.4239877004308707,-0.010202992956242,-1.209650056324616e-05,0.0,0.0,-9.276710482165552e-05,-0.0033556020665472,-1.457571290546308e-05,-0.0069395218759659
