Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
LU,-1.865,0.0,-33.984,0.0,-4.081,-16.49,-134.262,-3.767,0.0,-21.03,0.0,0.0,-0.746,0.0,-1.217
CN,-7.464,-0.074,-5.986,-0.115,-14.617,-38.273,-10.391,-2.781,-0.009,-51.186,-0.011,-1.646,-1.241,-0.031,-2.497
DE,-0.679,-0.0,-4.577,-0.0,-0.822,-3.239,-2.929,-0.241,-0.001,-14.774,-0.001,-0.0,-0.208,-0.0,-0.142
US,-0.356,-0.0,-1.241,-0.018,-0.376,-1.437,-6.551,-0.03,-0.001,-7.309,0.0,-0.0,-0.042,-0.014,-0.112
IE,-0.788,0.0,-1.392,0.0,-0.137,-2.014,-3.444,-0.028,-0.002,-1.596,-0.0,0.0,-0.386,-0.0,-0.028
FR,-0.409,-0.0,-1.784,0.0,-0.3,-2.669,-1.469,-0.044,0.0,-1.29,0.0,-0.001,-0.048,0.0,-0.01
GB,-0.439,0.0,-0.795,-0.0,-0.377,-1.596,-1.628,-0.087,-0.0,-0.661,-0.0,-0.0,-0.109,-0.0,-0.052
NL,-0.116,0.0,-0.115,0.0,-0.106,-0.295,-4.2,-0.048,0.0,-0.605,0.0,-0.0,-0.013,0.0,-0.007
WA,-0.11,-0.029,-0.906,-0.025,-0.221,-1.341,-1.274,-0.224,-0.005,-0.637,-0.006,-0.091,-0.126,-0.007,-0.146
IT,-0.18,-0.001,-0.879,-0.0,-0.263,-0.437,-0.212,-0.099,-0.0,-2.467,-0.0,-0.0,-0.012,-0.0,-0.053
JP,-0.071,0.0,-0.184,0.0,-0.118,-0.313,-0.894,-0.082,0.0,-1.824,0.0,-0.0,-0.031,-0.0,-0.019
WM,-0.073,-0.003,-0.653,-0.024,-0.076,-0.759,-0.968,-0.023,-0.006,-0.532,-0.0,-0.036,-0.049,-0.024,-0.042
MX,-0.022,-0.0,-0.178,-0.008,-0.069,-1.551,-0.633,-0.029,-0.0,-0.167,-0.0,-0.001,-0.011,-0.001,-0.056
CH,-0.019,0.0,-0.033,0.0,-0.005,-0.59,-0.748,-0.002,0.0,-0.709,-0.0,0.0,-0.004,0.0,-0.598
AT,-0.096,0.0,-0.575,-0.0,-0.058,-0.541,-0.609,-0.006,-0.0,-0.477,0.0,-0.001,-0.053,-0.0,-0.004
WL,-0.035,-0.008,-0.197,-0.036,-1.316,-0.275,-0.264,-0.021,-0.003,-0.136,-0.001,-0.01,-0.018,-0.004,-0.021
IN,-0.036,-0.0,-0.563,-0.001,-0.062,-0.194,-0.561,-0.028,-0.0,-0.816,0.0,-0.001,-0.002,-0.001,-0.029
PL,-0.035,-0.0,-0.202,-0.002,-0.08,-0.621,-0.669,-0.021,-0.0,-0.412,-0.0,-0.0,-0.0,-0.0,-0.011
CA,-0.11,-0.0,-0.405,-0.003,-0.033,-0.242,-0.651,-0.031,-0.0,-0.364,-0.0,-0.0,-0.033,-0.0,-0.011
CZ,-0.019,-0.0,-0.164,-0.0,-0.021,-0.728,-0.378,-0.014,-0.0,-0.537,-0.0,-0.0,-0.002,-0.0,-0.003
BE,-0.078,-0.0,-0.472,-0.0,-0.188,-0.245,-0.377,-0.061,-0.0,-0.212,-0.0,-0.008,-0.012,-0.0,-0.049
SE,-0.063,0.0,-0.448,-0.0,-0.026,-0.214,-0.331,-0.005,-0.0,-0.4,-0.0,-0.0,-0.011,-0.0,-0.001
TR,-0.087,-0.001,-0.713,-0.001,-0.03,-0.132,-0.387,-0.002,-0.0,-0.029,-0.0,-0.011,-0.011,-0.002,-0.058
KR,-0.062,0.0,-0.222,-0.0,-0.163,-0.431,-0.28,-0.108,-0.0,-0.12,-0.0,-0.0,-0.018,-0.0,-0.016
WF,-0.016,-0.027,-0.173,-0.006,-0.256,-0.223,-0.339,-0.014,-0.009,-0.123,-0.002,-0.118,-0.078,-0.002,-0.011
