Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.007,0.01,0.002,0.001,0.015,0.001,0.007,0.003,0.004
BE,0.0,0.0,0.0,0.0,0.004,0.0,0.006,0.008,0.008,0.008,0.003,0.009,0.003,0.002,0.002
BG,0.0,0.003,0.005,0.0,0.0,0.006,0.0,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.001,0.001,0.0,0.0,0.001,0.113,0.008,0.004,0.006
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.001,0.002,0.0,0.001,0.009,0.002,0.005
DE,0.0,0.0,0.026,0.028,0.0,0.0,0.05,0.078,0.034,0.03,0.059,0.027,0.042,0.017,0.134
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.004,0.001,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0
ES,0.0,0.031,0.0,0.007,0.001,0.0,0.005,0.006,0.004,0.01,0.002,0.001,0.006,0.0,0.001
FI,0.0,0.001,0.001,0.002,0.0,0.0,0.0,0.001,0.001,0.003,0.018,0.0,0.002,0.0,0.001
FR,0.001,,,,0.0,,0.03,0.031,0.012,0.006,0.014,0.002,0.034,0.008,0.012
GB,,0.0,0.0,0.004,0.0,0.0,0.032,0.014,0.016,0.011,0.031,0.01,0.021,0.009,0.006
GR,0.008,,0.001,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
