Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
US,-0.3929187487782715,-0.0002878136509974,-2.74511656091235,-0.0014783097433399,-0.4943364855453239,-3.880549042707864,-4.876493743042639,-0.0214691301527503,-0.007471564037496,-13.20728486163881,0.0,-2.067340864121553e-05,-0.1309404385356241,-0.0003822693789049,-0.1868139408234274
CN,-1.680778660398319,-0.0003622358279576,-3.124725226105767,-0.0043271747314298,-1.3132070016230335,-1.80295581808288,-2.1873685258957942,-1.9470873484585416,-0.0047973517041751,-0.0005864695535032,-0.0053057682850339,-0.0075043941821615,-0.6000969165744761,-0.016199836692508,-0.1414425665566497
LV,-0.2367034338561315,0.0,-1.2307302492605308,0.0,-1.405323019702882,-0.6261407338084447,-1.9368708939107675,-0.0170428571663688,0.0,-1.728864116646578,0.0,0.0,-0.0138636949800837,0.0,-0.1983398573142177
WE,-0.4028836594697938,-0.001327635596492,-2.8698347010577367,-0.0986822784102841,-2.702770982782991,-0.2131740549053445,-0.379168865567876,-0.0666324348403251,-0.0048641535977979,0.0,-0.0016368066488751,-0.0056409725317267,-0.1496530326421474,-0.0025468844750698,-0.0931553086359597
DE,-0.2356233740623351,0.0,-1.5212241893608796,0.0,-0.5697223947888874,-0.0461120776251286,-1.0100490812594958,-0.0779886124067662,-0.0003032079978871,-3.2533596925232007,0.0,-0.001060763979122,-0.0850943076032595,0.0,-0.0452822264181168
WA,-0.3831737118246043,-0.0008965043556081,-3.0877342299270505,-0.0020395672249231,-0.7857514728367777,-0.3458526398206034,-1.2833694980786758,-0.1196265961301557,-0.0043556017399651,0.0,-0.0014627903311455,-0.0023132617087485,-0.1182713742432575,-0.0008586252669995,-0.1532316744988168
RU,-1.183696004431004,-0.0002845308037691,-2.11553667016207,-0.0004852702000504,-0.8926748508970215,-0.378939371785051,-0.9491838458620324,-0.0386889507358618,-0.000114328777442,0.0,-0.0009833851856097,-0.0002250299708909,-0.2984834254977007,-0.0060504387974586,-0.1629231123754505
LT,-0.1205437165441093,0.0,-0.1552963170569978,-2.246497708592596e-07,-0.6345834645011913,-0.0567598671253434,-2.413525902870535,-0.0256092448053183,0.0,-0.7534997838256715,0.0,0.0,-0.0015670974817936,-3.0392379036184755e-08,-0.0003338859861838
WL,-0.1314203913746672,-0.0003830875114388,-0.3089440737724258,-0.0005482282855839,-3.0820153496301947,-0.0713591745496343,-0.1684859109073039,-0.0675163251812634,-0.00021892769626,0.0,-0.0006243139284055,-0.0002770666778163,-0.0314182616541741,0.0,-0.0670652817753865
CA,-0.3172651900537311,0.0,-1.961990792241982,-2.178823885789103e-07,-0.3087917837140753,-0.1661089150606134,-0.6674348456569873,-0.069913659782362,-7.102461313146841e-06,0.0,-6.109443446353987e-08,-1.687050951879035e-05,-0.0314911259261943,-0.0006536610383821,-0.0110729489640572
PL,-0.1622410494561543,0.0,-0.5982427672693034,-0.013003338513846,-0.8585302195812721,-0.0186233270657045,-0.6726711513710439,-0.0450671180030599,-0.0001322643774823,-0.823815984997539,-0.0033926199415526,-4.2208755309686994e-05,-0.0005617040121372,-0.0001532739997682,-0.1208200499581379
WF,-0.085059872028688,-0.0017418757773016,-0.199857393302199,-0.0048616017265118,-0.4667818541112021,-0.0236955684622463,-0.0072463237164495,-0.364497213089692,-0.0107566081601604,0.0,-0.0075368286125489,-0.0043018329713259,-1.7933602207953228,0.0,-0.0492325109095443
EE,-0.1134812082891821,0.0,-0.1181630407336861,0.0,-0.0281265915251633,0.0,-0.6124597607312623,-0.0036986610016794,0.0,-1.6353417044216532,0.0,0.0,-0.0965016620397761,0.0,-0.0027480745505575
KR,-0.0492914727082773,0.0,-0.3731508373698076,-7.470810341125484e-06,-0.6252875990485475,-0.185155811545771,-0.1657868927005724,-0.1522406943112357,-2.819322365812168e-05,-1.3401101454915366e-07,-0.0419339734588135,-0.0006619561851614,-0.0245756662658118,-0.0011566370451819,-0.0232768289502198
JP,-0.0654553160409036,0.0,-0.307875260840149,0.0,-0.4803538495813207,-0.1857500460073267,-0.3916921451383368,-0.0187716702559493,0.0,-1.2588330865147106e-07,0.0,-0.0009964320346047,-0.0379952085049932,-0.0002726462668426,-0.0464235787225706
SE,-0.0402244969815663,0.0,-0.377747436796717,-0.0020956151481021,-0.0765939861390271,-0.0060051975005162,-0.3496743691324588,-0.0073458667644435,-0.0006394727514747,-0.6440786972525413,-0.0001471726947847,-0.0007688976964544,-0.0143743888907029,-0.0005136361981151,-0.0025900835049057
MX,-0.0234322960676911,0.0,-0.1551252824658696,0.0,-0.0878330514926993,-0.112124188679711,-0.7902961608818073,-0.0142184591908945,0.0,0.0,0.0,0.0,-0.0032426805509758,0.0,-0.0442897678174529
AT,-0.1011507497550579,0.0,-0.2800989822861709,0.0,-0.0344335716101162,0.0,-0.2919664911824373,-0.004992748993838,0.0,-0.4469956985918891,0.0,-0.0022567632284479,-0.0573336857661811,0.0,-0.0021841283321299
IN,-0.0610718608210488,-3.343132526397849e-05,-0.6862160328600369,-5.472937768268592e-06,-0.1183758458792669,-0.1245281832451826,-0.1284878910964343,-0.0102390355056856,-1.6690698422243096e-05,0.0,0.0,-4.20196185757635e-05,-0.0019364156325988,-1.9860835960490985e-05,-0.0059334610144268
IT,-0.077188311441471,-0.0003753066538477,-0.3247630425767168,0.0,-0.1422230383756776,-0.0349830716889091,-0.0741704007266175,-0.0072824283179158,-1.1400920782842037e-07,-0.4358437387356941,0.0,-0.0003027298878275,-0.003151877371653,-1.6805342455727458e-07,-0.0355189638004321
WM,-0.1253358056352508,0.0,-0.2077858856770187,-9.31286096041719e-05,-0.3695328937220854,-0.0347005506765433,-0.2530691905155707,-0.0346188033675985,0.0,0.0,0.0,0.0,-0.0778099713648094,0.0,-0.0269959062431976
NL,-0.0637366308717381,0.0,-0.0628047077969542,0.0,-0.0929500691762792,0.0,-0.3107001194368488,-0.0209727566886315,0.0,-0.5120279859275362,0.0,-0.0002352374757156,-0.01706742051114,0.0,-0.0071240425096473
BE,-0.0632326699550114,0.0,-0.2114858498332823,0.0,-0.2171063890941455,-0.0239458567495937,-0.1577860512536897,-0.0112737189139737,0.0,-0.1820558460050226,0.0,-0.0001943800286174,-0.0111771614303565,0.0,-0.0923562580445466
FI,-0.0134022045334107,0.0,-0.1904837798992423,-0.0005031995178479,-0.0797687693303569,0.0,-0.059171355250805,-0.0055033889928738,-0.000217006891763,-0.4029723950474436,-0.0288932232841708,-0.0001403979953777,-0.0948849518229524,-0.0034251636903091,-0.0012737959476464
GB,-0.0588068922698544,0.0,-0.1814131746271118,0.0,-0.1353102212685274,-0.0148610874668374,-0.2589971145294987,-0.0503502394144468,-0.0001110097027953,-0.0140275720150087,0.0,-0.0017309264255778,-0.0757531070045711,-4.517938262685072e-07,-0.0182939968998441
TR,-0.0645041281324317,-0.0009434019803384,-0.3675436274226672,-0.000777775011951,-0.0666087853133688,-0.0031022758688276,-0.1925700084005094,-0.0020232140888702,-0.0008634048769362,-0.0003838854116714,-0.0021827867154194,-0.0008765265081004,-0.0032996156128251,-0.0030421550026084,-0.0373037363456604
ID,-0.0174429932451517,-7.929021179482775e-08,-0.446307412726851,-1.271931127937399e-06,-0.1064075723531265,-0.0198134124293963,-0.0616320288070181,-0.0256601005780214,-1.1761740090273626e-05,0.0,-3.121715870886644e-06,-2.92635338703139e-08,-0.0632611825270587,-7.128386283894625e-08,-0.0020490513285799
BG,-0.0151166311071976,0.0,-0.0031275733513818,-0.0139904881651404,-0.5654397419118841,0.0,-0.0203251530431414,-0.0037218106132964,-0.0002190920396861,0.0,0.0,-1.2329496834164511e-05,-0.0005580681011221,-0.0037641999647477,-4.483804588336083e-05
CH,-0.0077138390118795,0.0,-0.0173390253099601,0.0,-0.001816515561212,-0.0024569694158567,-0.3083439509379443,-0.0009957722703402,0.0,0.0,0.0,0.0,-0.0012002397223547,0.0,-0.2036058245977386
CZ,-0.0189419343079168,-1.997249845590988e-05,-0.0824016922769055,0.0,-0.0221332006795829,-0.0002228236763791,-0.1260862342995566,-0.0180417090606846,-3.3600240264255364e-06,-0.2178804938909536,-8.163892584568726e-06,-1.3584254509336983e-05,-0.0009934515598952,0.0,-0.0013546594578237
BR,-0.0131780883406632,-1.3853487866020265e-05,-0.2973304503597869,-1.3543341820161418e-05,-0.0318374738460294,-0.1137896364475879,-0.0165864482863403,-0.0027605305975349,-3.2059851686264665e-05,0.0,-9.573637133649144e-05,-1.408637587092594e-05,-0.003819204875745,-9.64159805715838e-05,-0.0018028854483516
ES,-0.0435014354603471,0.0,-0.1319569881453162,-0.041156285588633,-0.0761150518584378,-0.0927214903994579,-0.0408745372223859,-0.0044835657167579,-0.00105447431468,-0.0427245795428946,-9.21146731135218e-05,-0.0002778475891293,-0.0022239087671713,-0.0018870340360759,-0.0015345676582068
FR,-0.0300494868045282,-0.0002233114437905,-0.1757613383888194,0.0,-0.0467456527774019,-0.0080426388823265,-0.06727987631441,-0.0015561882507974,0.0,-0.145217616143378,-5.116758461318678e-05,-5.995146642130341e-05,-0.0038489722866724,0.0,-0.0013620146922737
RO,-0.0091102378598698,0.0,-0.1415216357829365,-3.036659925710449e-06,-0.0063513818325787,0.0,-0.0537244509839118,-0.0001862750799142,-1.4526262454486194e-07,-0.1186100143114415,0.0,-1.895413447835805e-08,-0.000503270853439,-4.682175149752148e-05,-0.0001503273308825
SK,-0.0082678904641344,0.0,-0.0255595263365908,-1.8435247832619348e-05,-0.0063565463684515,0.0,-0.0806230417231539,-0.0037835347620281,-1.655853685242396e-06,-0.1758540284575022,0.0,0.0,-0.0005918249134182,-0.0010187434090674,-0.0003957960981775
AU,-0.0112944181781857,-0.0008652192590395,-0.0458005203659088,-0.0002620297486448,-0.048559904840988,-0.0189496235387378,-0.0062187760400217,-0.0205427959115303,-0.0001594957312259,0.0,-0.0044025296979196,-3.363709083905825e-05,-0.0357271662947222,-0.0022324708192272,-0.0554354249353961
SI,-0.0275150874541805,0.0,-0.0549807907604879,0.0,-0.0021361431241996,0.0,-0.0887745275306578,-0.0003671510091966,0.0,-0.0499285156342446,0.0,0.0,-0.0007844741898253,0.0,-7.570483739091355e-05
DK,-0.0181535705862506,0.0,-0.0263713558290202,0.0,-0.0026463716522952,0.0,-0.1684258472095,-0.0003419851212762,0.0,-0.0024737669455115,-6.471939545494903e-07,0.0,-0.0007123949653978,0.0,-0.0011765537959114
PT,-0.0021093003028053,0.0,-0.0286886686438729,-0.0001935441633372,-0.0278791658451073,-0.0233201343507078,-0.0613740286269874,-0.0019886366179041,-3.291514583066281e-05,-0.0247595602202636,0.0,-2.810175873588234e-05,-0.000135833410904,-2.540444303112091e-05,-0.0001873699472062
GR,-0.0276726091026609,-0.00010975299145,-0.0348580761090038,0.0,-0.0128681250435464,-0.0343436502343471,-0.0228062834821256,-0.0001234876911111,-6.720962995276423e-05,0.0,-0.035866556368539,-1.8594749194041515e-06,-1.2358371764163097e-05,-1.3681206477366492e-05,-4.816452604497495e-05
NO,-0.0136939596382715,0.0,-0.0139160404295587,0.0,-0.0077393796797003,-0.0006017151040573,-0.0263433090274329,-0.0010041948365983,0.0,-0.0737367487726857,-4.82001827077566e-10,-6.53706028629453e-06,-0.0285360927498999,0.0,-0.002975134800716
ZA,-0.0099478908648361,0.0,-0.0189827383287001,-1.4151064691472342e-05,-0.0222893179982413,-0.0131000118172101,-0.0260247197593785,-0.0004002783522565,-4.062078407731196e-06,0.0,-8.974643945405078e-05,-6.64761461039118e-05,-0.0068917583582598,-4.749603414222398e-05,-0.0401184799258651
HR,-0.0091223039580781,-8.37504995392257e-06,-0.0043821765898831,0.0,-0.0012299897060556,0.0,-0.0138077276933411,-2.5547224232760284e-05,-3.8539938025945054e-10,-0.0779318314115653,-4.84715384798299e-07,0.0,-0.0003976115455682,0.0,-1.3107776398600414e-05
LU,-0.0023277876793527,0.0,-0.0072574081631212,0.0,-0.0121285309298369,-0.0001032750287215,-0.0196985795831318,-0.0009518038231077,0.0,-0.0284559160194924,0.0,0.0,-0.0007054936742081,0.0,-0.0014775931475335
TW,-0.0146178764681358,-0.0009483981100629,-0.014719005646947,-0.0008679896763114,-0.0011680407726119,-0.0051272227948031,-0.0283847419387502,-0.0026418842460528,-0.0011278902529199,0.0,0.0,-5.116767410782787e-05,-3.586951166150619e-05,-0.0021824425110612,-2.275693206791772e-05
IE,-0.002073223474187,0.0,-0.0027328532844299,0.0,-0.0002028145486685,0.0,-0.0279345853410438,-0.0007629083545897,-0.0003092927120251,-0.0345890012126847,0.0,0.0,-0.0009600327814516,-1.7140325841863194e-05,-0.000541048650108
HU,-0.0016576886346594,-1.059336866236117e-05,-0.0113203416365056,0.0,-0.000122985330062,0.0,-0.0075554959762975,-5.5273975106993134e-05,0.0,-0.008522011749521,0.0,-1.9616790576887e-05,-2.740275746102192e-06,0.0,-2.51826808819608e-05
CY,-0.0002877877245088,0.0,-0.0006740383121694,-9.743237938840402e-05,-0.0008614501202615,-0.0006505842097581,-0.0020778922020791,-1.4969267020660152e-05,0.0,-0.0041293576301662,0.0,0.0,-1.2778217639747018e-05,0.0,-6.892608174138912e-06
MT,-5.97393039321494e-08,0.0,-4.735730557064331e-06,0.0,-1.1339927574806367e-06,0.0,-0.0004077891436988,-2.1498207644334576e-08,0.0,0.0,0.0,0.0,-1.7675566671257474e-08,-1.8554624612571032e-10,-4.043107615819936e-07
