Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IT,-6.86330337170825,-0.0225377566914893,-28.67131091209546,0.0,-4.577639268154027,-1.310739827766226,-3.8778778919230734,-0.2119072551136871,-2.246463335773573e-06,-32.55541966135545,0.0,-0.0140029871665252,-0.1801259716585256,-1.222590609251307e-05,-2.3551866461353783
CN,-1.451468841328364,-0.000142314697327,-4.37723302586185,-0.0019281358109381,-0.7760954173186757,-1.6959899445774644,-2.846231216691029,-0.7543138108077593,-0.000495625035334,-0.0011382380739531,-0.0006315283091737,-0.0021140585536218,-0.2230362703941978,-0.0021745773016495,-0.310687265831454
US,-0.2460836645887932,-9.95073720082502e-05,-1.4131271379380022,-0.0004515838586325,-0.245490010162445,-1.3586775383630396,-3.165939078097529,-0.0084490995687052,-0.002107710668299,-4.547874076880836,0.0,-7.366211896500393e-06,-0.0681619570305378,-7.415791524548881e-05,-0.2059857137476887
DE,-0.2654719161712788,0.0,-1.8085709453228973,0.0,-0.5296903409266382,-0.0300126107057351,-1.9557239015495984,-0.0253585851861986,-0.0001091911854487,-5.099049332363227,0.0,-0.0015864234276849,-0.04695392799772,0.0,-0.0508409104263324
WA,-0.2017227794089647,-0.0004787506569667,-1.507940107878304,-0.0009039531412976,-0.5344652606102446,-0.1722180861463979,-0.7503297459495566,-0.0579948089802863,-0.0011980927428699,0.0,-0.0021033979615531,-0.0020166467373247,-0.0369982853408836,-0.0002064640262822,-0.2139484464168071
CH,-0.0132677031732517,0.0,-0.0304618497306161,0.0,-0.0026537616105091,-0.0023214440812133,-1.0295977585582436,-0.000938234570118,0.0,0.0,0.0,0.0,-0.0016771075186346,0.0,-0.8847604714091453
CA,-0.2209974894338396,0.0,-0.8842022764082297,-4.7442387840728325e-08,-0.117309042596085,-0.0593757740950233,-0.5020377545697299,-0.034145088554892,-1.931205435108921e-06,0.0,-1.6549953909651748e-08,-7.818252778938201e-06,-0.0141852559461362,-0.0009994602769723,-0.0143290057175015
WL,-0.1212738416321381,-0.0003595555933152,-0.2091073369954339,-4.896153094107117e-05,-1.212247482570797,-0.066555442282385,-0.1502676448508146,-0.0210285327794532,-0.0003431145420961,0.0,-0.00023012823547,-0.0002600416430133,-0.0126974820462644,0.0,-0.0185559164668009
FR,-0.0806546775255748,-0.0001006078483172,-0.6434415324975232,0.0,-0.1249649582981305,-0.0318349933435625,-0.3026369464502971,-0.0019772001549286,0.0,-0.5394691132498909,-8.411247864859119e-05,-2.5848760334378595e-05,-0.0063627922042215,0.0,-0.0080120151384675
AT,-0.1037668572378938,0.0,-0.284371941367168,0.0,-0.0380310938338453,0.0,-0.5861104154718463,-0.0014693169448773,0.0,-0.565593871656747,0.0,-0.0008168594123842,-0.0138819995993305,0.0,-0.0008129118231823
