Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-2.031,-0.035,-1.87,-0.045,-5.063,-18.261,-2.483,-1.04,-0.004,-17.779,-0.005,-0.572,-0.505,-0.012,-0.973
MT,-0.023,-0.0,-0.039,-0.0,-0.05,-8.35,-3.763,-0.001,-0.0,-9.759,-0.0,0.0,-0.0,-0.0,-0.003
US,-0.119,-0.0,-0.246,-0.009,-0.108,-0.57,-1.831,-0.007,-0.0,-1.892,0.0,-0.0,-0.017,-0.005,-0.027
DE,-0.085,-0.0,-0.363,-0.0,-0.106,-0.671,-0.338,-0.019,-0.0,-2.593,-0.0,-0.0,-0.03,-0.0,-0.014
JP,-0.03,0.0,-0.094,0.0,-0.078,-0.169,-0.275,-0.199,0.0,-0.867,0.0,-0.0,-0.026,-0.0,-0.009
WL,-0.02,-0.005,-0.075,-0.022,-1.158,-0.101,-0.078,-0.022,-0.003,-0.048,-0.001,-0.012,-0.019,-0.002,-0.019
WA,-0.031,-0.014,-0.219,-0.009,-0.066,-0.418,-0.342,-0.048,-0.002,-0.195,-0.003,-0.034,-0.049,-0.003,-0.031
MX,-0.009,-0.0,-0.071,-0.004,-0.028,-0.689,-0.265,-0.008,-0.0,-0.079,-0.0,-0.0,-0.005,-0.0,-0.022
IT,-0.04,-0.0,-0.166,-0.0,-0.045,-0.177,-0.048,-0.009,-0.0,-0.655,-0.0,-0.0,-0.003,-0.0,-0.03
FR,-0.044,-0.0,-0.189,0.0,-0.054,-0.58,-0.105,-0.008,0.0,-0.169,0.0,-0.0,-0.015,0.0,-0.005
IN,-0.022,-0.0,-0.341,-0.001,-0.036,-0.083,-0.204,-0.015,-0.0,-0.389,0.0,-0.001,-0.002,-0.001,-0.017
KR,-0.031,0.0,-0.12,-0.0,-0.076,-0.276,-0.177,-0.05,-0.0,-0.078,-0.0,-0.0,-0.012,-0.0,-0.01
WM,-0.038,-0.002,-0.126,-0.01,-0.021,-0.195,-0.188,-0.008,-0.003,-0.172,-0.0,-0.016,-0.023,-0.011,-0.008
GB,-0.028,0.0,-0.054,-0.0,-0.037,-0.253,-0.228,-0.009,-0.0,-0.09,-0.0,-0.0,-0.022,-0.0,-0.009
WF,-0.007,-0.017,-0.06,-0.004,-0.028,-0.099,-0.145,-0.005,-0.006,-0.073,-0.001,-0.081,-0.05,-0.002,-0.007
SE,-0.024,0.0,-0.14,-0.0,-0.014,-0.129,-0.102,-0.002,-0.0,-0.136,-0.0,-0.0,-0.007,-0.0,-0.001
CH,-0.002,0.0,-0.005,0.0,-0.001,-0.105,-0.226,-0.0,0.0,-0.133,-0.0,0.0,-0.001,0.0,-0.071
ID,-0.008,-0.01,-0.219,-0.003,-0.033,-0.054,-0.118,-0.008,-0.0,-0.015,-0.002,-0.0,-0.048,-0.001,-0.003
BE,-0.015,-0.0,-0.161,-0.0,-0.048,-0.068,-0.097,-0.012,-0.0,-0.048,-0.0,-0.002,-0.003,-0.0,-0.016
CA,-0.041,-0.0,-0.071,-0.001,-0.012,-0.085,-0.107,-0.027,-0.0,-0.074,-0.0,-0.0,-0.034,-0.0,-0.007
HU,-0.005,-0.0,-0.074,-0.0,-0.0,-0.169,-0.075,-0.0,-0.0,-0.115,-0.0,-0.0,-0.0,-0.0,-0.0
TW,-0.009,-0.0,-0.011,-0.0,-0.01,-0.233,-0.091,-0.008,-0.0,-0.044,0.0,-0.0,-0.008,-0.0,-0.003
AT,-0.016,0.0,-0.046,-0.0,-0.011,-0.109,-0.095,-0.0,-0.0,-0.123,0.0,-0.0,-0.006,-0.0,-0.001
CZ,-0.004,-0.0,-0.036,-0.0,-0.005,-0.158,-0.087,-0.002,-0.0,-0.1,-0.0,-0.0,-0.001,-0.0,-0.001
BG,-0.003,-0.0,-0.011,-0.001,-0.208,-0.033,-0.028,-0.002,-0.0,-0.047,-0.0,-0.0,-0.001,-0.001,-0.0
PL,-0.008,-0.0,-0.03,-0.001,-0.019,-0.092,-0.12,-0.003,-0.0,-0.058,-0.0,-0.0,-0.0,-0.0,-0.003
NL,-0.009,0.0,-0.031,0.0,-0.016,-0.052,-0.119,-0.012,0.0,-0.06,0.0,-0.0,-0.002,0.0,-0.001
FI,-0.002,-0.0,-0.039,-0.0,-0.013,-0.085,-0.016,-0.004,-0.0,-0.063,-0.0,-0.0,-0.077,-0.0,-0.001
LU,-0.006,0.0,-0.116,0.0,-0.014,-0.019,-0.065,-0.014,0.0,-0.038,0.0,0.0,-0.002,0.0,-0.004
DK,-0.004,-0.0,-0.009,-0.0,-0.002,-0.107,-0.065,-0.0,-0.0,-0.084,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.018,0.0,-0.027,-0.0,-0.001,-0.077,-0.079,-0.0,-0.0,-0.067,-0.0,0.0,-0.001,-0.0,-0.0
SK,-0.002,-0.0,-0.053,-0.0,-0.006,-0.093,-0.046,-0.001,-0.0,-0.043,-0.0,-0.0,-0.0,-0.0,-0.001
TR,-0.007,-0.0,-0.068,-0.001,-0.014,-0.036,-0.065,-0.001,-0.0,-0.007,-0.0,-0.008,-0.009,-0.001,-0.007
AU,-0.01,-0.023,-0.029,-0.006,-0.013,-0.022,-0.013,-0.017,-0.002,-0.013,-0.001,-0.03,-0.022,-0.003,-0.016
ES,-0.015,-0.0,-0.06,-0.004,-0.018,-0.069,-0.006,-0.011,-0.0,-0.018,-0.0,-0.001,-0.001,-0.0,-0.001
RO,-0.003,0.0,-0.034,-0.006,-0.019,-0.038,-0.052,-0.002,-0.0,-0.049,-0.0,-0.0,-0.001,-0.0,-0.0
GR,-0.013,-0.002,-0.05,0.0,-0.007,-0.023,-0.078,-0.0,-0.0,-0.021,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.006,-0.0,-0.052,-0.001,-0.03,-0.011,-0.008,-0.002,-0.001,-0.005,-0.0,-0.002,-0.053,-0.002,-0.012
IE,-0.003,0.0,-0.002,0.0,-0.0,-0.063,-0.059,-0.0,-0.0,-0.043,-0.0,0.0,-0.004,-0.0,-0.0
BR,-0.006,-0.002,-0.044,-0.004,-0.016,-0.034,-0.012,-0.003,-0.001,-0.024,-0.0,-0.012,-0.004,-0.0,-0.003
ZA,-0.005,0.0,-0.018,-0.0,-0.01,-0.014,-0.016,-0.002,-0.0,-0.017,-0.0,-0.032,-0.007,-0.0,-0.025
WE,-0.007,-0.004,-0.046,-0.0,-0.01,-0.032,-0.011,-0.001,-0.002,-0.013,-0.0,-0.006,-0.003,-0.0,-0.0
EE,-0.0,-0.0,-0.002,-0.0,-0.002,-0.052,-0.025,-0.0,-0.0,-0.015,-0.0,0.0,-0.002,-0.0,-0.0
NO,-0.007,-0.0,-0.007,-0.0,-0.003,-0.018,-0.015,-0.0,-0.0,-0.026,-0.0,-0.0,-0.015,-0.0,-0.004
PT,-0.002,-0.0,-0.011,-0.0,-0.003,-0.027,-0.019,-0.001,-0.0,-0.012,-0.0,-0.0,-0.0,-0.0,-0.0
LV,-0.005,-0.0,-0.013,-0.0,-0.011,-0.009,-0.01,-0.0,-0.0,-0.017,-0.0,0.0,-0.0,-0.0,-0.0
HR,-0.004,-0.0,-0.008,-0.0,-0.001,-0.012,-0.014,-0.0,-0.0,-0.013,-0.0,-0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.002,-0.0,-0.002,-0.012,-0.021,-0.0,-0.0,-0.009,-0.0,0.0,-0.0,0.0,-0.0
CY,-0.001,-0.0,-0.001,-0.0,-0.004,-0.001,-0.001,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0
