Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
MX,-31.846073218654336,0.0,-203.8007270723352,0.0,-11.259090980420217,-12.888524398668537,-138.8750756701765,-4.06336028328207,0.0,0.0,0.0,0.0,-3.904672842118707,0.0,-4.276856402226935
US,-4.6038771198545305,-0.0012758324816445,-26.58676931769646,-0.0061573479908805,-2.7625826942606717,-16.76635028633356,-58.28310597759743,-0.1763511998717072,-0.0290065070745258,-56.64239326542352,0.0,-9.66162947937723e-05,-1.0093000378562986,-0.0009918738928375,-1.5909906201320407
WL,-0.9111081321053012,-0.0023358826731142,-3.2096497590327373,-0.0025474903866707,-21.57191333340141,-1.6490264151083434,-2.4257671836222103,-0.8580721730202095,-0.001981362408156,0.0,-0.005896428837218,-0.0016895054245263,-0.2996688261005759,0.0,-0.7007100242509106
CN,-1.8218208959542948,-0.0008225076781373,-2.578203175349017,-0.0111577755233495,-2.147360194688861,-2.414703665545005,-2.3463368915041456,-1.1080887695287198,-0.0011804838303509,-0.0010746593186224,-0.0019012581921311,-0.0112143190834094,-0.358491230774914,-0.0064438454329656,-0.2322657792638554
CA,-2.050111073100472,0.0,-4.959102479681553,-4.900478842066769e-07,-0.715380516493597,-0.3697191190677777,-3.0382121218385367,-0.1837597906961853,-1.6251441013432926e-06,0.0,-9.185559145520626e-08,-3.445311421973426e-05,-0.0614610128292126,-0.0024736189417627,-0.0350994054571287
KR,-0.2394036366125184,0.0,-0.314600660388912,-8.207539265423053e-06,-2.854666361400104,-0.5939418550571293,-0.3115898783645222,-0.1081868281646124,-1.169395301385036e-05,-2.4602236911560973e-08,-0.0160670581015944,-0.0003033979324876,-0.0209614659260321,-0.0004146816618264,-0.0322362758417352
WA,-0.3067355230189932,-0.000728133897664,-1.4041899835416756,-0.0009591831736427,-1.1636618090635475,-0.1819706222814938,-0.8718924623821747,-0.071848653034471,-0.0007764521825142,0.0,-0.0024383418605853,-0.0021517920031955,-0.0558628384675003,-0.0003184089960233,-0.2480384443814409
JP,-0.0507616744285801,0.0,-0.2224000112582186,0.0,-0.7107448764502389,-0.2185014874226362,-0.3038845269779299,-0.0167086519347712,0.0,-7.864855012646333e-08,0.0,-0.000511505087787,-0.0249311536810961,-9.455866620120467e-05,-0.0185263786979175
BR,-0.0571221214852806,-5.998378538453337e-05,-0.781899639225122,-7.083462437798632e-05,-0.1698432982282035,-0.2095195790737404,-0.0995344886448961,-0.0145046134887895,-6.282232713887358e-05,0.0,-0.0001874389558283,-2.5496754929040103e-05,-0.010790329877323,-0.0001831989785979,-0.0042798868006202
IN,-0.0612143137608835,-1.939635189258502e-05,-0.5675409322650025,-2.19638697419135e-05,-0.1039779506348034,-0.1576854102716258,-0.1850165837750974,-0.0078938937645116,-1.342473629694374e-05,0.0,0.0,-5.069196962739884e-05,-0.0016486844798868,-9.434473336138371e-06,-0.0119034582317625
