Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
MX,-1.03,-0.0,-58.912,-2.048,-10.0,-65.847,-67.156,-3.836,-0.132,-7.144,-0.002,-0.112,-3.417,-0.158,-6.791
CN,-1.15,-0.033,-1.358,-0.092,-36.39,-15.888,-2.273,-5.083,-0.009,-14.239,-0.009,-1.767,-0.288,-0.031,-3.917
US,-0.743,-0.0,-7.834,-0.033,-2.041,-6.683,-21.391,-0.165,-0.001,-21.817,0.0,-0.001,-0.192,-0.04,-1.028
CA,-0.108,-0.0,-1.228,-0.003,-0.131,-0.617,-1.531,-0.016,-0.0,-0.456,-0.0,-0.0,-0.034,-0.001,-0.166
WL,-0.027,-0.008,-0.587,-0.037,-1.684,-0.464,-0.631,-0.019,-0.002,-0.222,-0.001,-0.009,-0.014,-0.003,-0.019
WA,-0.019,-0.004,-0.276,-0.006,-0.184,-0.382,-0.299,-0.046,-0.001,-0.108,-0.001,-0.013,-0.036,-0.001,-0.126
DE,-0.03,-0.0,-0.125,-0.0,-0.106,-0.117,-0.061,-0.019,-0.0,-0.475,-0.0,-0.0,-0.019,-0.0,-0.071
KR,-0.015,0.0,-0.149,-0.0,-0.216,-0.2,-0.135,-0.039,-0.0,-0.038,-0.0,-0.0,-0.05,-0.0,-0.117
JP,-0.02,0.0,-0.055,0.0,-0.156,-0.091,-0.135,-0.005,0.0,-0.326,0.0,-0.0,-0.017,-0.0,-0.076
GB,-0.016,0.0,-0.061,-0.0,-0.051,-0.118,-0.116,-0.005,-0.0,-0.044,-0.0,-0.0,-0.005,-0.0,-0.132
IN,-0.007,-0.0,-0.198,-0.0,-0.028,-0.033,-0.118,-0.007,-0.0,-0.113,0.0,-0.0,-0.0,-0.0,-0.01
WM,-0.007,-0.0,-0.134,-0.003,-0.012,-0.103,-0.141,-0.003,-0.0,-0.064,-0.0,-0.003,-0.005,-0.002,-0.009
CH,-0.0,0.0,-0.001,0.0,-0.0,-0.024,-0.014,-0.0,0.0,-0.016,-0.0,0.0,-0.0,0.0,-0.393
TW,-0.002,-0.0,-0.003,-0.0,-0.03,-0.212,-0.044,-0.002,-0.0,-0.011,0.0,-0.0,-0.004,-0.0,-0.006
BE,-0.005,-0.0,-0.049,-0.0,-0.053,-0.014,-0.038,-0.024,-0.0,-0.016,-0.0,-0.001,-0.013,-0.0,-0.004
IT,-0.005,-0.0,-0.034,-0.0,-0.052,-0.016,-0.006,-0.007,-0.0,-0.064,-0.0,-0.0,-0.0,-0.0,-0.009
FR,-0.016,-0.0,-0.052,0.0,-0.017,-0.055,-0.028,-0.002,0.0,-0.018,0.0,-0.0,-0.004,0.0,-0.001
BR,-0.005,-0.001,-0.037,-0.002,-0.013,-0.031,-0.011,-0.038,-0.0,-0.02,-0.0,-0.007,-0.002,-0.0,-0.004
TR,-0.001,-0.0,-0.071,-0.0,-0.004,-0.008,-0.04,-0.0,-0.0,-0.003,-0.0,-0.001,-0.003,-0.0,-0.011
NL,-0.004,0.0,-0.003,0.0,-0.018,-0.012,-0.036,-0.001,0.0,-0.015,0.0,-0.0,-0.0,0.0,-0.001
PL,-0.001,-0.0,-0.011,-0.0,-0.005,-0.023,-0.023,-0.002,-0.0,-0.014,-0.0,-0.0,-0.0,-0.0,-0.001
WF,-0.001,-0.002,-0.017,-0.0,-0.012,-0.01,-0.018,-0.001,-0.001,-0.005,-0.0,-0.005,-0.005,-0.0,-0.001
ID,-0.001,-0.001,-0.03,-0.0,-0.007,-0.007,-0.008,-0.0,-0.0,-0.002,-0.0,-0.0,-0.016,-0.0,-0.0
LU,-0.001,0.0,-0.016,0.0,-0.008,-0.002,-0.021,-0.013,0.0,-0.004,0.0,0.0,-0.001,0.0,-0.001
ES,-0.006,-0.0,-0.012,-0.0,-0.012,-0.015,-0.002,-0.012,-0.0,-0.004,-0.0,-0.0,-0.001,-0.0,-0.0
IE,-0.001,0.0,-0.0,0.0,-0.0,-0.011,-0.033,-0.0,-0.0,-0.01,-0.0,0.0,-0.001,-0.0,-0.0
CZ,-0.001,-0.0,-0.004,-0.0,-0.004,-0.023,-0.009,-0.001,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
AU,-0.002,-0.003,-0.007,-0.001,-0.001,-0.007,-0.005,-0.005,-0.0,-0.004,-0.0,-0.004,-0.003,-0.001,-0.003
SE,-0.005,0.0,-0.011,-0.0,-0.003,-0.008,-0.006,-0.0,-0.0,-0.007,-0.0,-0.0,-0.005,-0.0,-0.0
AT,-0.002,0.0,-0.006,-0.0,-0.003,-0.012,-0.01,-0.001,-0.0,-0.009,0.0,-0.0,-0.0,-0.0,-0.0
HU,-0.001,-0.0,-0.011,-0.0,-0.0,-0.013,-0.007,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
DK,-0.001,-0.0,-0.002,-0.0,-0.0,-0.01,-0.008,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
NO,-0.002,-0.0,-0.008,-0.0,-0.003,-0.003,-0.004,-0.0,-0.0,-0.004,-0.0,-0.0,-0.005,-0.0,-0.0
RU,-0.001,-0.0,-0.015,-0.0,-0.002,-0.001,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0
WE,-0.001,-0.0,-0.007,-0.0,-0.002,-0.005,-0.002,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
GR,-0.001,-0.0,-0.005,0.0,-0.003,-0.002,-0.006,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
RO,-0.0,0.0,-0.002,-0.0,-0.001,-0.003,-0.004,-0.003,-0.0,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0
FI,-0.0,-0.0,-0.002,-0.0,-0.002,-0.005,-0.001,-0.0,-0.0,-0.005,-0.0,-0.0,-0.002,-0.0,-0.0
SK,-0.0,-0.0,-0.0,-0.0,-0.002,-0.005,-0.005,-0.0,-0.0,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0
BG,-0.0,-0.0,-0.001,-0.0,-0.007,-0.002,-0.002,-0.0,-0.0,-0.003,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.001,0.0,-0.001,-0.0,-0.002,-0.006,-0.003,-0.0,-0.0,-0.002,-0.0,0.0,-0.0,-0.0,-0.0
PT,-0.0,-0.0,-0.002,-0.0,-0.001,-0.004,-0.003,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
ZA,-0.0,0.0,-0.001,-0.0,-0.0,-0.002,-0.001,-0.0,-0.0,-0.002,-0.0,-0.004,-0.0,-0.0,-0.001
EE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
LV,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
HR,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
