Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
NL,-37.90353901481699,0.0,-5.442742707654363,0.0,-17.60467219564444,0.0,-21.83841559204691,-2.673128033804215,0.0,-27.082117569050894,0.0,-0.0263572427347725,-3.4027882506309277,0.0,-0.7166239818252793
DE,-6.038796057700031,0.0,-14.279022241735438,0.0,-7.056358067279728,-0.4007301914630198,-11.58525034518904,-0.7445357330025159,-0.0028970188907442,-26.175507947792877,0.0,-0.0098174633108925,-1.883475494059144,0.0,-0.2612362047266244
US,-1.4019378147671235,-0.0001932197298919,-3.034438934958946,-0.0007924484643925,-0.87287685661445,-3.463285560886098,-8.392742259116313,-0.0742404881125499,-0.0036418637933394,-8.822280038203177,0.0,-1.3856464042684569e-05,-0.2976788395108792,-0.0001755565931333,-0.3916570616655352
CN,-3.1778496313554565,-0.0003495227829458,-5.9059765532018496,-0.004717764645203,-2.7898144451953115,-3.716675728282071,-4.950521937597821,-2.5476236024623824,-0.0010512790855089,-0.001145983729688,-0.0013801254532599,-0.0050937272636753,-0.8197018684404117,-0.0046471425773577,-0.2317960808883002
BE,-4.0528051458288346,0.0,-3.755568309723259,0.0,-3.676885953404194,-0.198979463082603,-2.9289961373045523,-0.1062315212704679,0.0,-2.044488666156591,0.0,-0.0078727787877028,-0.3713804503676824,0.0,-1.2753132277299244
GB,-3.984048227627029,0.0,-2.890148773097785,0.0,-1.7164799970257132,-0.2550978345222379,-4.106143504632748,-0.4729353345680828,-0.0017482481992594,-0.0529856336268667,0.0,-0.0278908836343197,-1.2772766233978523,-8.587767618976325e-06,-0.2087849008317935
WA,-1.227727622385354,-0.0029254396322984,-2.576412636503469,-0.0013784019511115,-2.473359056784504,-0.4215626779965674,-2.028159631850759,-0.1653607625741132,-0.0019284545473712,0.0,-0.0020792874976079,-0.0027410817074661,-0.1453168972803874,-0.0006626552659343,-0.2124305276513908
IN,-0.2885269128627712,-4.108168250954681e-05,-3.1920624306563474,-5.803989724385762e-06,-0.3824622974319423,-0.5745472499521943,-0.759822574441677,-0.0236437589710645,-2.014422161468119e-05,0.0,0.0,-0.0001720021917056,-0.0068314336669768,-2.4406897537513888e-05,-0.0116631309369254
CA,-1.6644928588001746,0.0,-1.0932644846374633,-9.894326338598613e-08,-0.5698517044930863,-0.1845616129623718,-0.7739496791300011,-0.2361524351866644,-3.3496620209626705e-06,0.0,-3.44320184395995e-08,-5.01170303100017e-05,-0.090551027941562,-0.0008016496687939,-0.0115743190662534
JP,-0.1319074996926409,0.0,-0.3324016499540672,0.0,-2.745567492616573,-0.5675978589058862,-0.6689888106094686,-0.038035973889324,0.0,-5.609928489590896e-07,0.0,-0.0012858113454087,-0.0692821175247249,-0.0002412207085014,-0.0467446133626018
