Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-3.495,-0.041,-2.846,-0.064,-15.489,-24.017,-4.883,-1.609,-0.005,-24.77,-0.006,-0.85,-0.706,-0.017,-1.295
NL,-14.116,0.0,-4.155,0.0,-8.416,-8.175,-27.858,-2.332,0.0,-10.031,0.0,-0.0,-2.733,0.0,-0.572
DE,-3.576,-0.0,-2.366,-0.0,-1.496,-1.823,-2.691,-0.412,-0.001,-8.474,-0.0,-0.0,-0.825,-0.0,-0.128
US,-0.56,-0.0,-0.726,-0.016,-0.565,-0.9,-4.418,-0.029,-0.001,-4.149,0.0,-0.0,-0.038,-0.009,-0.062
GB,-0.992,0.0,-1.642,-0.0,-0.626,-1.847,-1.613,-0.108,-0.001,-0.644,-0.005,-0.0,-0.222,-0.002,-0.062
WA,-0.134,-0.042,-0.577,-0.019,-0.3,-0.89,-0.866,-0.167,-0.005,-0.42,-0.007,-0.069,-0.148,-0.006,-0.065
BE,-0.516,-0.0,-0.607,-0.0,-0.448,-0.374,-0.81,-0.263,-0.0,-0.425,-0.0,-0.011,-0.141,-0.0,-0.065
IT,-0.406,-0.0,-0.506,-0.0,-0.406,-0.247,-0.112,-0.078,-0.0,-1.244,-0.0,-0.0,-0.04,-0.0,-0.044
IN,-0.04,-0.0,-0.904,-0.0,-0.064,-0.143,-0.537,-0.026,-0.0,-0.677,0.0,-0.001,-0.002,-0.0,-0.034
JP,-0.141,0.0,-0.111,0.0,-0.191,-0.266,-0.404,-0.098,0.0,-1.11,0.0,-0.0,-0.033,-0.0,-0.01
FR,-0.186,-0.0,-0.424,0.0,-0.22,-0.743,-0.363,-0.042,0.0,-0.323,0.0,-0.0,-0.021,0.0,-0.004
WM,-0.086,-0.002,-0.334,-0.012,-0.072,-0.389,-0.545,-0.015,-0.003,-0.278,-0.0,-0.016,-0.036,-0.011,-0.012
MX,-0.013,-0.0,-0.075,-0.005,-0.051,-0.893,-0.389,-0.022,-0.0,-0.102,-0.0,-0.001,-0.007,-0.001,-0.029
WF,-0.157,-0.019,-0.151,-0.006,-0.111,-0.237,-0.517,-0.014,-0.006,-0.144,-0.001,-0.072,-0.07,-0.002,-0.009
AT,-0.171,0.0,-0.249,-0.0,-0.048,-0.255,-0.423,-0.008,-0.0,-0.247,0.0,-0.0,-0.012,-0.0,-0.002
WL,-0.036,-0.009,-0.084,-0.02,-0.806,-0.163,-0.144,-0.016,-0.002,-0.078,-0.001,-0.008,-0.012,-0.003,-0.014
CA,-0.232,-0.0,-0.173,-0.002,-0.057,-0.248,-0.378,-0.038,-0.0,-0.209,-0.0,-0.0,-0.038,-0.0,-0.008
PL,-0.096,-0.0,-0.102,-0.001,-0.082,-0.367,-0.374,-0.035,-0.0,-0.252,-0.0,-0.0,-0.0,-0.0,-0.007
CH,-0.007,0.0,-0.011,0.0,-0.003,-0.275,-0.477,-0.001,0.0,-0.354,-0.0,0.0,-0.002,0.0,-0.137
LU,-0.018,0.0,-0.44,0.0,-0.085,-0.022,-0.34,-0.19,0.0,-0.125,0.0,0.0,-0.012,0.0,-0.023
KR,-0.098,0.0,-0.117,-0.0,-0.157,-0.383,-0.207,-0.086,-0.0,-0.113,-0.0,-0.0,-0.015,-0.0,-0.009
SE,-0.111,0.0,-0.209,-0.0,-0.095,-0.185,-0.148,-0.004,-0.0,-0.201,-0.0,-0.0,-0.06,-0.0,-0.0
IE,-0.019,0.0,-0.009,0.0,-0.001,-0.326,-0.316,-0.002,-0.0,-0.241,-0.0,0.0,-0.024,-0.0,-0.005
HU,-0.049,-0.0,-0.103,-0.0,-0.001,-0.388,-0.226,-0.001,-0.0,-0.168,-0.0,-0.0,-0.0,-0.0,-0.0
CZ,-0.019,-0.0,-0.068,-0.0,-0.022,-0.333,-0.161,-0.026,-0.0,-0.245,-0.0,-0.0,-0.006,-0.0,-0.001
ES,-0.074,-0.0,-0.166,-0.005,-0.107,-0.219,-0.026,-0.083,-0.0,-0.064,-0.0,-0.001,-0.013,-0.0,-0.006
TW,-0.006,-0.0,-0.011,-0.0,-0.029,-0.374,-0.125,-0.01,-0.0,-0.05,0.0,-0.0,-0.016,-0.0,-0.003
TR,-0.025,-0.0,-0.269,-0.0,-0.026,-0.046,-0.173,-0.001,-0.0,-0.015,-0.0,-0.006,-0.011,-0.001,-0.023
DK,-0.031,-0.0,-0.026,-0.0,-0.011,-0.18,-0.161,-0.0,-0.0,-0.156,-0.0,-0.0,-0.001,-0.0,-0.0
NO,-0.08,-0.0,-0.051,-0.0,-0.03,-0.056,-0.066,-0.005,-0.0,-0.081,-0.0,-0.001,-0.057,-0.0,-0.005
FI,-0.004,-0.0,-0.042,-0.0,-0.028,-0.097,-0.022,-0.02,-0.0,-0.096,-0.0,-0.0,-0.065,-0.0,-0.002
ID,-0.008,-0.004,-0.127,-0.001,-0.021,-0.035,-0.08,-0.004,-0.0,-0.013,-0.001,-0.0,-0.02,-0.0,-0.002
BR,-0.017,-0.007,-0.07,-0.008,-0.028,-0.07,-0.026,-0.01,-0.002,-0.044,-0.001,-0.022,-0.006,-0.0,-0.006
SK,-0.009,-0.0,-0.058,-0.0,-0.006,-0.061,-0.083,-0.005,-0.0,-0.08,-0.0,-0.0,-0.0,-0.0,-0.001
AU,-0.051,-0.024,-0.029,-0.005,-0.011,-0.029,-0.029,-0.019,-0.002,-0.017,-0.001,-0.027,-0.028,-0.003,-0.02
RO,-0.005,0.0,-0.021,-0.004,-0.008,-0.051,-0.111,-0.003,-0.0,-0.074,-0.0,-0.0,-0.0,-0.0,-0.0
WE,-0.021,-0.006,-0.071,-0.0,-0.024,-0.068,-0.026,-0.003,-0.001,-0.03,-0.0,-0.006,-0.009,-0.0,-0.0
GR,-0.044,-0.001,-0.047,0.0,-0.011,-0.02,-0.093,-0.0,-0.0,-0.015,-0.0,-0.0,-0.0,-0.0,-0.0
PT,-0.007,-0.0,-0.021,-0.0,-0.011,-0.067,-0.051,-0.009,-0.0,-0.047,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.015,0.0,-0.017,-0.0,-0.002,-0.047,-0.053,-0.001,-0.0,-0.043,-0.0,0.0,-0.0,-0.0,-0.0
BG,-0.002,-0.0,-0.003,-0.0,-0.069,-0.012,-0.012,-0.006,-0.0,-0.019,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.004,-0.0,-0.043,-0.0,-0.01,-0.009,-0.011,-0.001,-0.001,-0.003,-0.0,-0.001,-0.006,-0.001,-0.003
ZA,-0.003,0.0,-0.009,-0.0,-0.005,-0.009,-0.012,-0.001,-0.0,-0.009,-0.0,-0.02,-0.004,-0.0,-0.006
EE,-0.0,-0.0,-0.001,-0.0,-0.002,-0.042,-0.008,-0.0,-0.0,-0.008,-0.0,0.0,-0.002,-0.0,-0.0
HR,-0.003,-0.0,-0.008,-0.0,-0.001,-0.005,-0.014,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.001,-0.0,-0.004,-0.006,-0.013,-0.0,-0.0,-0.004,-0.0,0.0,-0.0,0.0,-0.0
LV,-0.002,-0.0,-0.004,-0.0,-0.003,-0.003,-0.002,-0.0,-0.0,-0.005,-0.0,0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.007,-0.005,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
