Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.007,0.014,0.002,0.001,0.002,0.001,0.006,0.008,0.004
BE,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.034,0.015,0.045,0.026,0.024,0.008,0.016,0.008
BG,0.0,0.002,0.002,0.0,0.0,0.003,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.001,0.0,0.0,0.0,0.051,0.006,0.009,0.006
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.004,0.001,0.001,0.007,0.003,0.004
DE,0.0,0.0,0.023,0.02,0.0,0.0,0.139,0.131,0.049,0.071,0.152,0.048,0.04,0.053,0.152
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.004,0.003,0.003
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
ES,0.0,0.032,0.0,0.005,0.001,0.0,0.003,0.009,0.004,0.014,0.002,0.002,0.005,0.001,0.001
FI,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.002,0.001,0.003,0.012,0.001,0.002,0.0,0.002
FR,0.0,,,,0.0,,0.007,0.023,0.007,0.007,0.004,0.001,0.016,0.007,0.006
GB,,0.0,0.043,0.2,0.0,0.043,0.039,0.091,0.021,0.019,0.041,0.023,0.041,0.032,0.012
GR,0.005,,0.001,0.0,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.0,0.0,0.0,0.0,0.009,0.004,0.003
IE,,,0.002,0.0,,0.001,0.001,0.0,0.0,0.0,0.004,0.002,0.007,0.006,0.004
IT,0.0,0.0,0.001,0.0,0.0,0.0,0.016,0.028,0.013,0.013,0.007,0.017,0.005,0.002,0.022
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.024,0.003,0.033,0.002,0.009,0.0,0.007,0.002
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.55,0.23,0.278,0.402,0.502,0.214,0.18,0.553,0.179
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.001,0.001,0.01,0.002,0.001,0.001,0.001
PL,0.0,0.006,0.005,0.0,0.0,0.001,0.004,0.006,0.003,0.006,0.0,0.003,0.008,0.007,0.005
PT,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.001,0.001,0.001
RO,,0.023,0.002,0.0,0.0,0.005,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.002,0.001
RU,0.0,0.002,0.024,0.007,0.001,0.016,0.0,0.002,0.0,0.0,0.001,0.001,0.0,0.0,0.0
SE,,0.002,0.002,0.001,0.0,0.0,0.004,0.012,0.003,0.001,0.011,0.0,0.004,0.003,0.004
SI,,0.0,0.0,0.0,,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.001,0.0,0.0,0.001,0.002,0.001
WE,0.037,0.002,0.029,0.003,0.006,0.002,0.001,0.004,0.001,0.001,0.002,0.0,0.001,0.001,0.001
BR,0.044,0.046,0.064,0.036,0.02,0.008,0.001,0.004,0.001,0.002,0.001,0.002,0.002,0.001,0.001
CA,0.001,0.011,0.005,0.008,0.0,0.004,0.009,0.01,0.002,0.006,0.007,0.003,0.005,0.007,0.004
MX,0.0,0.029,0.007,0.0,0.0,0.01,0.0,0.004,0.002,0.004,0.001,0.011,0.02,0.008,0.002
US,0.001,0.094,0.021,,0.0,0.162,0.022,0.04,0.019,0.005,0.007,0.023,0.02,0.088,0.074
WL,0.059,0.116,0.067,0.038,0.007,0.047,0.001,0.005,0.027,0.003,0.002,0.005,0.004,0.003,0.001
CN,0.261,0.374,0.169,0.255,0.763,0.291,0.136,0.157,0.512,0.277,0.13,0.484,0.529,0.097,0.443
ID,0.028,0.007,0.002,0.04,0.0,0.005,0.0,0.007,0.001,0.001,0.004,0.001,0.001,0.002,0.0
IN,0.001,0.003,0.001,,0.001,0.005,0.002,0.05,0.002,0.004,0.0,0.013,0.003,0.011,0.012
JP,,,,,0.0,0.0,0.005,0.006,0.006,0.017,0.006,0.004,0.006,0.008,0.02
KR,,0.0,0.0,0.002,0.0,0.0,0.004,0.006,0.005,0.015,0.003,0.003,0.008,0.004,0.002
TR,0.002,0.002,0.004,0.0,0.005,0.012,0.001,0.015,0.001,0.0,0.002,0.009,0.001,0.003,0.0
TW,0.0,0.0,0.001,,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.001,0.008,0.002,0.001
WA,0.272,0.111,0.159,0.311,0.062,0.099,0.005,0.032,0.01,0.029,0.027,0.024,0.02,0.017,0.008
WM,0.011,0.072,0.092,0.004,0.015,0.193,0.003,0.018,0.002,0.003,0.007,0.004,0.009,0.011,0.005
WF,0.124,0.035,0.202,0.04,0.065,0.032,0.006,0.008,0.004,0.002,0.013,0.003,0.005,0.01,0.003
ZA,,0.001,0.002,0.001,0.018,0.004,0.0,0.001,0.0,0.0,0.001,0.002,0.0,0.0,0.0
AU,0.153,0.028,0.066,0.026,0.024,0.058,0.002,0.002,0.0,0.003,0.005,0.007,0.001,0.001,0.0
