Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-2.700266725505005,0.0,-7.55336220574859,0.0,-2.3826183981444298,-0.2046058607666069,-5.1202572790963385,-0.382241792886871,-0.0015249149847319,-11.06863629302182,0.0,-0.0044418941893291,-0.4263933334429703,0.0,-0.1474550760856292
SE,-1.5002047723643843,0.0,-9.21923712133972,-0.0871895702682318,-2.1892775980153107,-0.026848697482443,-2.8180344333961416,-0.2024343541752763,-0.0291383303226385,-4.919682720124819,-0.0055277243895953,-0.0021107035773212,-0.2946658151801152,-0.0033523249260068,-0.0236401026384768
NL,-2.833931719305999,0.0,-0.630098797213948,0.0,-1.4445986733902565,0.0,-2.3218784921733064,-0.2907176985949957,0.0,-3.2282929940175404,0.0,-0.0020025561673543,-0.3202085446300221,0.0,-0.065252744885627
CN,-1.0903254696320477,-0.0001078975960904,-2.474191940245905,-0.001458535999764,-0.7380929359863135,-1.2554231499877146,-1.8835062995623584,-0.8449659334341052,-0.0003233505917816,-0.0003958206167645,-0.0004247036214915,-0.0015716684687344,-0.2755972231815338,-0.0014392528811462,-0.0799359498951672
US,-0.2947274972806124,-7.23834567875117e-05,-1.0779928073428666,-0.0002789650933939,-0.2678058363247348,-1.0085229439090742,-2.4257440507280648,-0.0248857876268526,-0.001275042273691,-2.956962014986212,0.0,-5.085096918660692e-06,-0.0897309736975192,-7.411126852523029e-05,-0.0809467321695421
GB,-1.3965722346145604,0.0,-1.0219653013797747,0.0,-0.4572276048652842,-0.0916508027625154,-1.3123880362368898,-0.1877105395981902,-0.0006331986308621,-0.0211272155055369,0.0,-0.010102980995362,-0.4383451765260565,-2.889123934231943e-06,-0.0684241931593
WA,-0.2598662619833541,-0.0006181762869994,-0.9580868339996804,-0.0004147691195656,-0.6863919914205904,-0.1175756794468769,-0.5915059000610777,-0.0448095944492773,-0.0006061562024276,0.0,-0.0005787167349232,-0.0007920236546244,-0.0380189871848418,-0.0001631968672535,-0.0591627463803334
DK,-0.270528631129438,0.0,-0.2005149558430919,0.0,-0.0323397422149633,0.0,-1.8027589999470608,-0.0027393751601234,0.0,-0.0050922911057383,-6.391833819404877e-06,0.0,-0.0075015222485635,0.0,-0.0057517125294127
PL,-0.0774339659156628,0.0,-0.1604539699702041,-0.0005067164734486,-0.9145905955065842,-0.0030912063173962,-0.2906920197103113,-0.034066171869752,-6.031590456615919e-05,-0.3254860429943796,-5.480325602154795e-05,-1.6418424402636967e-05,-6.753520831603814e-05,-1.7019362974881716e-05,-0.0289050337810596
FI,-0.0271456391445956,0.0,-0.443269517199213,-0.0007706937410411,-0.1549921800825667,0.0,-0.0695748401130509,-0.0294989048964414,-0.0008806953496703,-0.3537219819192918,-0.0824699437977626,-0.0002984071604857,-0.1800386198188288,-0.0108283615232256,-0.0029165843481536
WL,-0.0618681004604992,-0.0001830920530093,-0.1087137694995331,-3.3556317419674165e-05,-1.0235601927297546,-0.0287770022677002,-0.0746651088814323,-0.0135101032820633,-8.640474275876202e-05,0.0,-0.0002219424552056,-0.0001324179347011,-0.0073923232768259,0.0,-0.0135317415966784
IT,-0.1145386567002552,-0.000316930122552,-0.3004794543554518,0.0,-0.378856470084079,-0.0112000835800831,-0.0873922791716843,-0.0147301430234354,-7.885847183222058e-07,-0.3235450759501894,0.0,-0.0001972687643715,-0.0029865418118957,-3.57695905770491e-08,-0.0192847206606046
CA,-0.293807990184565,0.0,-0.4230520298961571,-3.5053662863313174e-08,-0.1156605837644397,-0.04559193012656,-0.239141164246749,-0.0640035499033108,-1.5811737693884197e-06,0.0,-1.0905604471790729e-08,-1.5647611462575978e-05,-0.028290596004527,-0.0001466700200543,-0.0021428890464448
JP,-0.0299649804520577,0.0,-0.1276220961575881,0.0,-0.6579117345435466,-0.14697172526893,-0.1969147767417656,-0.0122389363206176,0.0,-1.427602821910742e-07,0.0,-0.0004880646116166,-0.0231242375793998,-6.966984023936767e-05,-0.0134648041486762
