Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
PL,-17.654538865006817,0.0,-38.373899792607936,-0.1606099905739154,-20.604314866631423,-3.0851997936678863,-34.05535732287143,-2.060527245451841,-0.0037682242073379,-39.82563056557802,-0.000800204909874,-0.0045684669461253,-2.592967188397928,-0.0098074610485989,-6.097920469676488
DE,-1.5331972076703675,0.0,-6.108035063664943,0.0,-1.5339608992917697,-0.1329443539752126,-6.947529853949781,-0.3821969589663088,-0.001319225582958,-19.384157659719275,0.0,-0.0040668176099313,-0.1350241856772394,0.0,-0.1037990220896678
US,-0.3442692382343412,-0.0001340443175327,-2.589618986508388,-0.0006096240122085,-0.358368569956747,-2.365611599161032,-4.801275733367058,-0.056041513776477,-0.0028854028165818,-7.56456220661615,0.0,-9.868604964824273e-06,-0.0978233532576567,-0.0001150716252932,-0.9996467578034798
CN,-1.884332115040088,-0.0002260823820356,-4.969048680242094,-0.002984354060502,-2.231771684929879,-2.590813516846232,-3.703115814939233,-2.3022710828080744,-0.0011535647069298,-0.0005464088547441,-0.0013873102346998,-0.0035787661304067,-0.6218163942163059,-0.0044768429733237,-0.3704807104900691
SK,-0.523389378259836,0.0,-0.9449884470903772,-0.0191385831963726,-0.3839097023222611,0.0,-5.604419925577589,-0.3589148334180078,-0.0100918208979923,-6.579552646635441,0.0,0.0,-0.0197491836007284,-0.5863996675301764,-0.0479594102390306
CZ,-0.6132529961486047,-0.000183519517162,-2.169561846764159,0.0,-0.1340989068999541,-0.0013997017631953,-2.481504135723551,-0.2657743860547055,-2.662446215894907e-05,-3.91964284696872,-7.425562982541594e-05,-0.0001146798137981,-0.0074976339688934,0.0,-0.0280509491582424
WA,-0.4415303833300731,-0.0010493478924631,-3.8571240524292336,-0.0014684143931143,-1.8161311076210327,-0.3135219197316315,-1.7226030599944229,-0.3879763530698846,-0.0015534533044277,0.0,-0.0029114054312322,-0.0033033954616854,-0.2395648915093661,-0.000306001126916,-0.2964315588181921
KR,-0.0737626897556656,0.0,-0.480414052821742,-5.589553907415931e-06,-1.797543453024636,-0.3611746116075029,-0.1999707922168494,-2.656912571915262,-1.9663129327458547e-05,-5.19330600137259e-07,-0.0360488475473795,-0.0004059847750253,-0.067596189135879,-0.000821540917331,-0.0558589367523096
AT,-0.3914329384462215,0.0,-1.736297109557541,0.0,-0.2713233683388705,0.0,-1.4957726709611054,-0.0377698659635056,0.0,-1.4820880355873778,0.0,-0.0026244821037105,-0.0490195227038455,0.0,-0.0051623149450834
WE,-0.258918066977396,-0.0005791368975858,-1.9846888911035083,-0.0253874250239273,-0.6482285025905675,-0.1201865507068791,-0.2966411434613877,-0.0226587021049916,-0.001115467723546,0.0,-0.0003886932263871,-0.0014543102956629,-0.0303027381295616,-0.0010651097401703,-0.0190225638257511
SE,-0.1316997942343508,0.0,-0.9889303465971429,-0.0057921895432322,-0.1988498120908044,-0.0033546352581568,-0.5805892553157099,-0.0181151610280237,-0.0018866866722387,-1.4092806415243753,-0.0003215138174931,-0.0004914684533852,-0.0239375726686675,-0.0006622494284034,-0.0033889983891946
IT,-0.369958963261971,-0.0009662403737748,-0.9348571554663678,0.0,-0.2703377735960482,-0.0320042240157353,-0.2746704201224907,-0.0238939677054367,-2.761770253978969e-07,-1.358597102945181,0.0,-0.0006206904571704,-0.0059989526187229,-1.2747368334288072e-07,-0.091061556419426
IN,-0.0744336800830289,-2.1848343171819664e-05,-2.511382709333512,-3.6725967145504185e-06,-0.1238647461564167,-0.2238588305971371,-0.2838342971474637,-0.0688738023191748,-1.0256207636589052e-05,0.0,0.0,-4.610014237931188e-05,-0.002070516128479,-1.218600686842134e-05,-0.0063026484316232
