Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
PL,-9.279,-0.001,-21.213,-0.54,-14.881,-24.216,-29.236,-0.643,-0.09,-15.936,-0.001,-0.0,-3.25,-0.01,-0.622
CN,-2.841,-0.032,-2.593,-0.053,-27.138,-28.908,-5.058,-2.369,-0.004,-25.388,-0.005,-0.781,-0.581,-0.015,-1.064
DE,-2.384,-0.0,-6.052,-0.0,-1.109,-3.987,-3.469,-0.213,-0.001,-18.011,-0.001,-0.0,-0.096,-0.0,-0.069
US,-0.338,-0.0,-0.709,-0.008,-0.247,-0.835,-3.156,-0.023,-0.0,-3.963,0.0,-0.0,-0.024,-0.006,-0.06
CZ,-0.13,-0.0,-1.03,-0.0,-0.082,-2.341,-1.368,-0.055,-0.0,-1.228,-0.0,-0.0,-0.003,-0.0,-0.011
IT,-0.255,-0.0,-1.088,-0.0,-0.31,-0.339,-0.16,-0.048,-0.0,-1.816,-0.0,-0.0,-0.005,-0.0,-0.038
GB,-0.255,0.0,-0.405,-0.0,-0.184,-1.034,-1.016,-0.039,-0.0,-0.408,-0.0,-0.0,-0.056,-0.0,-0.172
WA,-0.073,-0.009,-0.537,-0.01,-0.158,-0.711,-0.658,-0.065,-0.002,-0.334,-0.002,-0.038,-0.087,-0.003,-0.045
FR,-0.128,-0.0,-0.408,0.0,-0.242,-0.879,-0.379,-0.01,0.0,-0.371,0.0,-0.0,-0.007,0.0,-0.002
HU,-0.063,-0.0,-0.282,-0.0,-0.002,-0.946,-0.599,-0.002,-0.0,-0.397,-0.0,-0.0,-0.0,-0.0,-0.001
AT,-0.166,0.0,-0.569,-0.0,-0.049,-0.47,-0.559,-0.006,-0.0,-0.419,0.0,-0.0,-0.021,-0.0,-0.003
WM,-0.052,-0.001,-0.355,-0.009,-0.06,-0.415,-0.516,-0.006,-0.002,-0.271,-0.0,-0.013,-0.034,-0.008,-0.009
SE,-0.059,0.0,-0.456,-0.001,-0.033,-0.413,-0.303,-0.004,-0.0,-0.385,-0.0,-0.0,-0.004,-0.0,-0.001
SK,-0.066,-0.0,-0.051,-0.0,-0.016,-0.31,-0.496,-0.014,-0.0,-0.644,-0.0,-0.0,-0.001,-0.0,-0.011
MX,-0.01,-0.0,-0.074,-0.003,-0.034,-0.95,-0.38,-0.011,-0.0,-0.103,-0.0,-0.0,-0.004,-0.0,-0.026
WE,-0.101,-0.043,-0.572,-0.001,-0.081,-0.378,-0.15,-0.011,-0.002,-0.167,-0.001,-0.024,-0.016,-0.0,-0.002
ES,-0.046,-0.0,-0.197,-0.004,-0.873,-0.254,-0.028,-0.02,-0.0,-0.065,-0.0,-0.001,-0.003,-0.0,-0.003
BE,-0.097,-0.0,-0.421,-0.0,-0.135,-0.18,-0.334,-0.034,-0.0,-0.208,-0.0,-0.004,-0.005,-0.0,-0.028
JP,-0.045,0.0,-0.08,0.0,-0.09,-0.139,-0.229,-0.071,0.0,-0.685,0.0,-0.0,-0.013,-0.0,-0.004
NL,-0.042,0.0,-0.032,0.0,-0.045,-0.15,-0.721,-0.009,0.0,-0.24,0.0,-0.0,-0.004,0.0,-0.002
KR,-0.033,0.0,-0.093,-0.0,-0.197,-0.323,-0.146,-0.337,-0.0,-0.074,-0.0,-0.0,-0.006,-0.0,-0.005
CH,-0.007,0.0,-0.014,0.0,-0.003,-0.366,-0.316,-0.001,0.0,-0.343,-0.0,0.0,-0.001,0.0,-0.161
IN,-0.019,-0.0,-0.288,-0.0,-0.035,-0.093,-0.273,-0.013,-0.0,-0.406,0.0,-0.0,-0.001,-0.0,-0.014
CA,-0.071,-0.0,-0.189,-0.001,-0.023,-0.168,-0.321,-0.021,-0.0,-0.189,-0.0,-0.0,-0.018,-0.0,-0.005
DK,-0.033,-0.0,-0.073,-0.0,-0.006,-0.337,-0.271,-0.001,-0.0,-0.226,-0.0,-0.0,-0.001,-0.0,-0.001
RO,-0.016,0.0,-0.181,-0.005,-0.009,-0.158,-0.297,-0.004,-0.0,-0.222,-0.0,-0.0,-0.001,-0.0,-0.0
TR,-0.027,-0.0,-0.35,-0.001,-0.095,-0.095,-0.237,-0.0,-0.0,-0.02,-0.0,-0.008,-0.004,-0.001,-0.012
TW,-0.004,-0.0,-0.007,-0.0,-0.045,-0.494,-0.106,-0.004,-0.0,-0.045,0.0,-0.0,-0.007,-0.0,-0.003
WL,-0.019,-0.005,-0.06,-0.011,-0.265,-0.132,-0.096,-0.009,-0.001,-0.054,-0.0,-0.004,-0.006,-0.001,-0.008
FI,-0.007,-0.0,-0.124,-0.0,-0.019,-0.185,-0.051,-0.005,-0.0,-0.176,-0.0,-0.0,-0.044,-0.0,-0.001
NO,-0.048,-0.0,-0.073,-0.0,-0.014,-0.077,-0.093,-0.001,-0.0,-0.125,-0.0,-0.0,-0.057,-0.0,-0.005
WF,-0.007,-0.008,-0.064,-0.002,-0.131,-0.073,-0.095,-0.003,-0.002,-0.037,-0.0,-0.033,-0.023,-0.001,-0.003
IE,-0.006,0.0,-0.003,0.0,-0.001,-0.136,-0.219,-0.001,-0.0,-0.094,-0.0,0.0,-0.007,-0.0,-0.001
LU,-0.008,0.0,-0.17,0.0,-0.029,-0.01,-0.142,-0.035,0.0,-0.061,0.0,0.0,-0.003,0.0,-0.007
SI,-0.029,0.0,-0.049,-0.0,-0.002,-0.099,-0.095,-0.001,-0.0,-0.079,-0.0,0.0,-0.0,-0.0,-0.0
RU,-0.011,-0.0,-0.157,-0.001,-0.02,-0.022,-0.038,-0.001,-0.002,-0.01,-0.0,-0.002,-0.014,-0.002,-0.007
PT,-0.002,-0.0,-0.028,-0.0,-0.02,-0.074,-0.054,-0.001,-0.0,-0.049,-0.0,-0.0,-0.0,-0.0,-0.0
