Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.01,0.014,0.001,0.001,0.005,0.001,0.007,0.011,0.006
BE,0.0,0.0,0.0,0.0,0.004,0.0,0.006,0.011,0.003,0.008,0.001,0.012,0.003,0.006,0.003
BG,0.0,0.001,0.001,0.0,0.0,0.005,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.001,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.066,0.005,0.006,0.005
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.001,0.0,0.0,0.008,0.026,0.002,0.013,0.001,0.004,0.033,0.026,0.017
DE,0.0,0.0,0.011,0.059,0.0,0.0,0.142,0.154,0.024,0.052,0.022,0.029,0.056,0.067,0.245
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.005,0.005,0.003
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
ES,0.0,0.007,0.0,0.007,0.001,0.0,0.003,0.005,0.019,0.005,0.001,0.001,0.004,0.001,0.001
FI,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.0,0.001,0.01,0.0,0.003,0.001,0.002
FR,0.0,,,,0.0,,0.008,0.01,0.005,0.003,0.001,0.001,0.012,0.007,0.005
GB,,0.0,0.0,0.002,0.0,0.0,0.015,0.01,0.004,0.01,0.013,0.071,0.015,0.02,0.006
GR,0.004,,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HU,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.007,0.0,0.0,0.0,0.0,0.013,0.012,0.005
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.028,0.007,0.012,0.001,0.016,0.005,0.003,0.025
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0
LU,,,,,,,0.001,0.004,0.001,0.009,0.001,0.003,0.0,0.003,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.014,0.003
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.013,0.002,0.001,0.002,0.002
PL,0.009,0.826,0.826,0.059,0.0,0.195,0.551,0.54,0.318,0.157,0.732,0.257,0.341,0.563,0.217
PT,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001
RO,,0.008,0.001,0.0,0.0,0.009,0.001,0.005,0.0,0.001,0.0,0.0,0.002,0.006,0.003
RU,0.001,0.001,0.015,0.026,0.002,0.041,0.001,0.004,0.0,0.0,0.003,0.003,0.0,0.001,0.0
SE,,0.001,0.001,0.004,0.0,0.001,0.004,0.012,0.001,0.001,0.001,0.0,0.006,0.006,0.005
SI,,0.0,0.0,0.0,,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.001,0.002,0.001
SK,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.0,0.003,0.0,0.004,0.004,0.01,0.009
WE,0.384,0.001,0.016,0.079,0.025,0.008,0.006,0.015,0.002,0.003,0.004,0.001,0.005,0.003,0.002
BR,0.009,0.003,0.004,0.017,0.008,0.003,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0
