Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
PT,-7.229326029540321,0.0,-40.62248830293326,-0.0538969786222967,-25.00777563216132,-5.512622129932477,-35.84238206005998,-1.483880555438389,-0.0070168472883682,-25.018550596957603,0.0,-0.0119655678826301,-0.1925091360784443,-0.008490102499966,-0.1243130737793882
ES,-5.172639108184693,0.0,-11.103826207091975,-1.420266586673127,-2.943710704725809,-4.024194146265292,-3.3762747273815648,-0.204897505434384,-0.0403298650503514,-2.623304081917392,-0.0024863895098401,-0.0106110310571495,-0.1083595536468522,-0.045109992362973,-0.051756214235352
CN,-2.135054929533076,-0.0002826253132079,-3.7735961301242686,-0.0039149871400815,-4.688896483330019,-3.374685375215446,-3.5380881798086965,-2.624157038329722,-0.0006919506863896,-0.0004657494692124,-0.0009472670597507,-0.0040213447050849,-0.3804253003608873,-0.0035499833252368,-0.2403949288733268
US,-0.5229570312480865,-0.0001742101505859,-3.2368851434153667,-0.0008063107602845,-0.386052618392935,-2.32725804801436,-5.886262828325774,-0.0460752794031498,-0.0038064503465864,-7.672073173498623,0.0,-1.290682506103797e-05,-0.1242943218650718,-0.0001390378680777,-0.1606313757141659
DE,-0.2947896846381403,0.0,-1.3522415787807165,0.0,-0.8476506671236206,-0.0549715586969697,-1.7747972843022348,-0.0991016170440931,-0.0003451488837262,-6.347050381207894,0.0,-0.0009859559198856,-0.0771026611277194,0.0,-0.0293982670015588
WA,-0.4251537718929044,-0.0010106529742592,-1.9528034970749093,-0.000881114264907,-1.1266398063002538,-0.2462009156661663,-1.132766203016051,-0.0673463426005428,-0.0015381337452812,0.0,-0.0013158613320728,-0.001664678090702,-0.0480683387675669,-0.0003730716600708,-0.134367492972833
WL,-0.2658010484214199,-0.0007853748231675,-0.7452488168948709,-0.0001375831478232,-3.195167852228572,-0.1800874345752059,-0.5142592546069138,-0.0637251963113017,-0.0004245286330819,0.0,-0.0007436343179079,-0.0005680089084937,-0.0317100295834575,0.0,-0.0549472770524621
FR,-0.3522143592908615,-0.0003711290834094,-1.770015843544547,0.0,-0.2200893260647366,-0.0942756179465385,-0.954387703855498,-0.0083270154776446,0.0,-1.6049813062637002,-0.0002316845305911,-9.808119494441156e-05,-0.0185858095133512,0.0,-0.0116717475819381
GB,-0.1280930410584917,0.0,-1.5474765248199505,0.0,-0.2497599789347284,-0.0232784124205458,-2.0675157357214,-0.0677110802545335,-0.0002895916768509,-0.0087256670930501,0.0,-0.0045145198247975,-0.1773626051492433,-1.0507700991979516e-06,-0.03121591420036
CA,-0.6336172260149097,0.0,-1.8006391172603264,-8.786406823250663e-08,-0.1353193211197948,-0.1349341278368614,-1.0550756183210512,-0.0632446008361473,-3.839829825068269e-06,0.0,-2.8672750553014362e-08,-1.2194787895631315e-05,-0.0221779482065149,-0.0003390750141911,-0.0049432949982806
WM,-0.3486252341240124,0.0,-0.3599013291286093,-0.0005235164418796,-0.8917334612666111,-0.1049957635494185,-0.6452263516527456,-0.1107325940531983,0.0,0.0,0.0,0.0,-0.1953373626168854,0.0,-0.0401474239119727
WF,-0.2064220968145595,-0.00346669966039,-0.2789888938683742,-0.012618357927251,-1.2212481633673915,-0.0727296466746705,-0.0477548596177722,-0.0774408272122219,-0.0135336964705987,0.0,-0.0094826500300918,-0.0059154428998183,-0.3686000728499599,0.0,-0.0367461507442812
IN,-0.1377151549244729,-3.171131371285156e-05,-1.3643865208864896,-6.035903271340406e-06,-0.1922998637727467,-0.2604218571434182,-0.3245326126255913,-0.0120091737900995,-1.3448708031608846e-05,0.0,0.0,-8.39026753237286e-05,-0.0025288725911014,-1.555046120038444e-05,-0.0079141588400362
IT,-0.162615619675559,-0.000648193982303,-0.6507864770747198,0.0,-0.2724172177282652,-0.0327499843407912,-0.1810970067909947,-0.0434715187896798,-1.1611352677529257e-07,-0.8296494768302979,0.0,-0.0008881401991879,-0.0085884401042879,-1.072150505767151e-07,-0.092372230296373
MX,-0.055967219294635,0.0,-0.2754708492935664,0.0,-0.1369189710094778,-0.2343948826075355,-1.3770354615751303,-0.0259069976956795,0.0,0.0,0.0,0.0,-0.0055279680515298,0.0,-0.1210761947029874
NL,-0.1515360780737249,0.0,-0.1950146867218456,0.0,-0.1106894629664535,0.0,-0.7724946459694693,-0.0251302639415773,0.0,-0.6453892087881522,0.0,-0.0005130718670317,-0.0167768549345792,0.0,-0.0084349484762778
KR,-0.0593653062705633,0.0,-0.2698936921680986,-8.157657724845355e-06,-0.8549749309911933,-0.283387781889545,-0.1615232975590606,-0.1193670723104085,-1.4203823252394775e-05,-6.657218397040906e-08,-0.0206842127451028,-0.0003378187372891,-0.0300481574168979,-0.0005236024185236,-0.0227565982246392
BE,-0.2250066916647047,0.0,-0.3457035315030843,0.0,-0.3113031834499412,-0.0282210909503276,-0.3367129951774672,-0.0146054145348951,0.0,-0.2897302062242264,0.0,-0.0005781324365714,-0.0134223620589169,0.0,-0.1139198770090832
JP,-0.081124185089269,0.0,-0.1754112989643909,0.0,-0.4877191763924039,-0.1723893966990799,-0.3210225415876541,-0.0137288358765462,0.0,-4.1964733943259394e-08,0.0,-0.0007328783619961,-0.0300592227308113,-9.942499696465044e-05,-0.0193813367030968
PL,-0.0456259214129486,0.0,-0.1685324814958398,-0.0006949517589505,-0.3048932111473075,-0.0048566710420819,-0.2854293911855989,-0.0104837460032737,-3.113763804324029e-05,-0.3805391001424063,-0.0002728637131006,-4.966070651237263e-05,-0.0001485208797671,-2.227255115776821e-05,-0.0302756071977521
BR,-0.0278074816622937,-2.916190712127333e-05,-0.6585782899972963,-1.991375036018424e-05,-0.0475292188429339,-0.1893723819810285,-0.0688710329737585,-0.0099996701115351,-5.120280159889546e-05,0.0,-0.0001526953964349,-2.153052722078576e-05,-0.0086724353399387,-0.00014727647101,-0.0028948002026177
