Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
PT,-3.874,-0.0,-20.762,-0.002,-1.479,-21.238,-35.962,-0.314,-0.015,-11.076,-0.0,-0.016,-0.143,-0.0,-0.029
CN,-3.32,-0.033,-2.697,-0.059,-7.847,-17.286,-5.086,-1.328,-0.005,-24.112,-0.006,-0.784,-0.734,-0.015,-1.052
US,-0.271,-0.0,-1.407,-0.014,-0.235,-1.079,-4.899,-0.013,-0.0,-5.285,0.0,-0.0,-0.051,-0.017,-0.059
DE,-0.592,-0.0,-1.194,-0.0,-0.242,-1.72,-1.066,-0.07,-0.0,-6.874,-0.0,-0.0,-0.065,-0.0,-0.019
ES,-0.396,-0.0,-2.241,-0.053,-0.53,-1.875,-0.306,-0.466,-0.0,-0.551,-0.001,-0.005,-0.07,-0.0,-0.071
WF,-0.053,-0.076,-1.074,-0.019,-0.17,-0.641,-1.18,-0.022,-0.022,-0.318,-0.004,-0.241,-0.207,-0.007,-0.032
GB,-0.164,0.0,-1.101,-0.0,-0.101,-1.043,-1.065,-0.026,-0.0,-0.431,-0.0,-0.0,-0.051,-0.0,-0.021
FR,-0.174,-0.0,-0.682,0.0,-0.128,-1.249,-0.639,-0.01,0.0,-0.592,0.0,-0.0,-0.013,0.0,-0.004
WL,-0.033,-0.011,-0.158,-0.024,-0.945,-0.372,-0.259,-0.02,-0.002,-0.122,-0.001,-0.008,-0.016,-0.003,-0.018
MX,-0.01,-0.0,-0.083,-0.004,-0.036,-1.2,-0.452,-0.017,-0.0,-0.118,-0.0,-0.0,-0.006,-0.0,-0.032
CA,-0.079,-0.0,-0.549,-0.002,-0.017,-0.216,-0.754,-0.021,-0.0,-0.221,-0.0,-0.0,-0.025,-0.0,-0.006
WA,-0.039,-0.013,-0.362,-0.009,-0.078,-0.498,-0.434,-0.049,-0.002,-0.236,-0.002,-0.035,-0.047,-0.003,-0.029
WM,-0.048,-0.002,-0.294,-0.011,-0.039,-0.417,-0.527,-0.011,-0.003,-0.285,-0.0,-0.017,-0.029,-0.012,-0.009
IT,-0.056,-0.0,-0.331,-0.0,-0.11,-0.206,-0.071,-0.022,-0.0,-0.86,-0.0,-0.0,-0.003,-0.0,-0.028
BE,-0.067,-0.0,-0.252,-0.0,-0.082,-0.145,-0.244,-0.038,-0.0,-0.135,-0.0,-0.003,-0.004,-0.0,-0.022
JP,-0.034,0.0,-0.051,0.0,-0.049,-0.098,-0.171,-0.067,0.0,-0.449,0.0,-0.0,-0.023,-0.0,-0.004
IN,-0.02,-0.0,-0.263,-0.0,-0.027,-0.078,-0.197,-0.014,-0.0,-0.274,0.0,-0.0,-0.001,-0.0,-0.012
IE,-0.012,0.0,-0.005,0.0,-0.0,-0.318,-0.105,-0.001,-0.0,-0.397,-0.0,0.0,-0.032,-0.0,-0.001
KR,-0.03,0.0,-0.087,-0.0,-0.077,-0.274,-0.135,-0.056,-0.0,-0.061,-0.0,-0.0,-0.011,-0.0,-0.005
CH,-0.004,0.0,-0.008,0.0,-0.001,-0.194,-0.22,-0.0,0.0,-0.234,-0.0,0.0,-0.001,0.0,-0.066
PL,-0.014,-0.0,-0.061,-0.001,-0.03,-0.254,-0.186,-0.006,-0.0,-0.158,-0.0,-0.0,-0.0,-0.0,-0.003
NL,-0.023,0.0,-0.022,0.0,-0.025,-0.091,-0.374,-0.006,0.0,-0.122,0.0,-0.0,-0.002,0.0,-0.001
AT,-0.019,0.0,-0.107,-0.0,-0.018,-0.164,-0.163,-0.001,-0.0,-0.141,0.0,-0.0,-0.006,-0.0,-0.001
CZ,-0.006,-0.0,-0.041,-0.0,-0.008,-0.274,-0.116,-0.003,-0.0,-0.147,-0.0,-0.0,-0.0,-0.0,-0.001
TR,-0.019,-0.0,-0.188,-0.001,-0.016,-0.102,-0.175,-0.001,-0.0,-0.017,-0.0,-0.007,-0.003,-0.001,-0.008
SE,-0.019,0.0,-0.133,-0.0,-0.012,-0.135,-0.086,-0.001,-0.0,-0.117,-0.0,-0.0,-0.002,-0.0,-0.0
TW,-0.004,-0.0,-0.007,-0.0,-0.012,-0.247,-0.077,-0.005,-0.0,-0.032,0.0,-0.0,-0.006,-0.0,-0.002
HU,-0.005,-0.0,-0.038,-0.0,-0.0,-0.18,-0.077,-0.0,-0.0,-0.074,-0.0,-0.0,-0.0,-0.0,-0.0
LU,-0.009,0.0,-0.141,0.0,-0.024,-0.012,-0.091,-0.029,0.0,-0.046,0.0,0.0,-0.002,0.0,-0.006
BR,-0.014,-0.002,-0.079,-0.005,-0.02,-0.055,-0.027,-0.004,-0.001,-0.05,-0.0,-0.019,-0.005,-0.0,-0.004
DK,-0.005,-0.0,-0.013,-0.0,-0.002,-0.113,-0.063,-0.0,-0.0,-0.067,-0.0,-0.0,-0.0,-0.0,-0.0
SK,-0.002,-0.0,-0.018,-0.0,-0.019,-0.07,-0.083,-0.001,-0.0,-0.064,-0.0,-0.0,-0.0,-0.0,-0.001
RO,-0.002,0.0,-0.02,-0.002,-0.005,-0.078,-0.076,-0.001,-0.0,-0.063,-0.0,-0.0,-0.0,-0.0,-0.0
WE,-0.011,-0.01,-0.069,-0.0,-0.013,-0.063,-0.021,-0.002,-0.002,-0.025,-0.0,-0.009,-0.004,-0.0,-0.0
NO,-0.013,-0.0,-0.055,-0.0,-0.004,-0.029,-0.036,-0.001,-0.0,-0.042,-0.0,-0.0,-0.028,-0.0,-0.003
GR,-0.015,-0.0,-0.069,0.0,-0.012,-0.015,-0.065,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
AU,-0.009,-0.014,-0.028,-0.003,-0.006,-0.026,-0.018,-0.011,-0.001,-0.016,-0.0,-0.019,-0.012,-0.002,-0.013
FI,-0.001,-0.0,-0.025,-0.0,-0.008,-0.047,-0.011,-0.003,-0.0,-0.047,-0.0,-0.0,-0.023,-0.0,-0.001
ID,-0.002,-0.002,-0.054,-0.0,-0.007,-0.016,-0.019,-0.001,-0.0,-0.006,-0.0,-0.0,-0.015,-0.0,-0.001
