Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.002,0.003,0.001,0.0,0.004,0.001,0.003,0.003,0.003
BE,0.0,0.0,0.0,0.0,0.002,0.0,0.007,0.007,0.007,0.014,0.003,0.014,0.003,0.004,0.003
BG,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.004,0.001,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.001,0.042,0.004,0.004,0.004
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.005,0.002,0.003
DE,0.0,0.0,0.009,0.009,0.0,0.0,0.062,0.034,0.019,0.026,0.039,0.012,0.033,0.019,0.127
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.251,0.0,0.065,0.005,0.0,0.042,0.064,0.042,0.176,0.042,0.045,0.036,0.005,0.01
FI,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.014,0.001,0.001,0.0,0.001
FR,0.0,,,,0.0,,0.018,0.02,0.01,0.004,0.008,0.003,0.024,0.011,0.011
GB,,0.0,0.0,0.002,0.0,0.0,0.017,0.032,0.008,0.01,0.031,0.014,0.02,0.019,0.008
GR,0.003,,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.001,0.0
