Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
RO,-0.9849979904214916,0.0,-13.87594614653094,-0.0001910623671137,-0.3864016806250169,0.0,-62.49936476864277,-0.0202111170793112,-2.064566316112886e-06,-97.6266531004341,0.0,-1.0946880681367969e-06,-0.0568545458390842,-9.635953176791542e-05,-0.0018087004243045
CN,-1.7430415221807198,-0.0002228664084176,-5.312031681231091,-0.003067179495646,-4.100347249374098,-2.901017076504886,-4.505896572392922,-1.4033275891949613,-0.0009410378830842,-0.0004287960246063,-0.0011581002903458,-0.0034069703365444,-0.4200552242565388,-0.0041654034441905,-0.1982401201915688
DE,-0.2252146992009839,0.0,-1.094530531122048,0.0,-0.9535048302605312,-0.0581227290211858,-2.380737644012749,-0.0579648808794602,-0.0002533421464617,-13.349141086645252,0.0,-0.0010739020919645,-0.0863172950659045,0.0,-0.615954467788513
BG,-0.8063287997572365,0.0,-0.1156384200398628,-0.2746092865835102,-11.371439297212277,0.0,-0.2589151944650593,-0.0840244297814544,-0.0020129603917525,0.0,0.0,-0.0001115304851195,-0.0052315131096592,-0.1258846687874715,-0.0012245712086405
US,-0.2495969294800643,-0.0001151943735036,-1.449696603090355,-0.0005251102800128,-0.4211917351363724,-1.5007853067915358,-3.382244044367875,-0.0117180839154962,-0.0024783156545422,-4.895278297906714,0.0,-8.57050797067386e-06,-0.1130156897049451,-8.793232522163628e-05,-0.1656794459255272
WE,-0.243824044070726,-0.0009179035900046,-2.393879020170654,-1.259562022348602,-1.2944616800008537,-0.2659371254344017,-2.106331653844585,-0.0489738162808073,-0.0033296181873699,0.0,-0.0015230089053026,-0.0071268778826386,-0.110649631695389,-0.0018394079804995,-0.0583733933395356
WL,-0.0553946090996165,-0.0001623366264352,-0.2374970670165771,-5.665169412586168e-05,-5.802478380640642,-0.0589533259284409,-0.1577657911892584,-0.0204709364197149,-0.0001430090588594,0.0,-0.0007686500893855,-0.0001174088559892,-0.0120282626072646,0.0,-0.0192573182542231
IT,-0.1511055291755252,-0.0010251583530744,-0.6809967313021305,0.0,-0.3910332377884243,-0.0503796533431063,-0.2792581242225818,-0.0098680192474422,-1.6269395193853317e-07,-2.4130918163519466,0.0,-0.0013069983261625,-0.0107811684481666,-1.92988339509868e-07,-0.1236004393943229
WA,-0.1527923192496825,-0.000359592312783,-1.2323207093642636,-0.0008861166581139,-1.043172796673821,-0.1906221421743567,-0.7876515847475537,-0.043450549543152,-0.0010595729507623,0.0,-0.0014165798333204,-0.0015323568426409,-0.0418890463147226,-0.0002409336461198,-0.144524311196836
PL,-0.0649498784492088,0.0,-0.2268046375843995,-0.0012803208669603,-0.8342100345045967,-0.0078051524104445,-0.4571179009611874,-0.0176936270084578,-6.068375930314136e-05,-0.9305460290301004,-0.0024635974686135,-9.492454294078212e-05,-0.0001749178745631,-4.2163648513218166e-05,-0.0782266204274218
KR,-0.0315217670553527,0.0,-0.2453680379110994,-3.1528281426494108e-06,-1.4666747688656516,-0.2422038146150729,-0.1202758780945707,-0.0869022812931959,-1.7615813416646698e-05,-1.454894643893764e-07,-0.0287091244760855,-0.0003367072121517,-0.0236111630363745,-0.0006709846862324,-0.0291237486710255
AT,-0.1157363721408277,0.0,-0.3882115671838271,0.0,-0.0413970162468449,0.0,-0.4879519774521196,-0.0050863249368434,0.0,-1.1092393290288771,0.0,-0.0029299101695886,-0.0470916697046882,0.0,-0.0068001200010506
CA,-0.263985876634545,0.0,-1.0935876979224473,-7.198595112800008e-07,-0.2313361190339214,-0.0686035431990936,-0.3529934496325037,-0.0693379116845697,-3.690818328177503e-06,0.0,-1.5582761705369262e-07,-1.593352618709702e-05,-0.0264752344431815,-0.0020606191337513,-0.028587232635591
FR,-0.0811690104480265,-0.0001846752889419,-0.7308245222538731,0.0,-0.1548929348111663,-0.0395415136152763,-0.3066825268671719,-0.0031880882746346,0.0,-0.7576814729732865,-0.0001016045005956,-4.8426704044122976e-05,-0.0104309152337653,0.0,-0.006149716254814
WM,-0.1843366375806425,0.0,-0.3372363927060653,-0.0001205225300271,-0.6928590675313255,-0.0718305208745253,-0.4912547105599944,-0.0610299196033849,0.0,0.0,0.0,0.0,-0.1603984151671067,0.0,-0.0340601818871433
ES,-0.074324903065389,0.0,-0.5893478652061992,-0.0933489108790475,-0.2957116434800133,-0.1757743257022152,-0.1571352948687922,-0.0297913286161424,-0.0016754578075068,-0.1388993800769264,-0.0001256353845748,-0.0007473390875245,-0.0510000346387406,-0.0022400458806575,-0.0471515311093701
CZ,-0.0492669760425646,-7.789972022507284e-05,-0.1768601830605378,0.0,-0.0383640632521648,-0.0003250816560776,-0.7243244462545356,-0.0329225004922529,-8.129055812389876e-06,-0.6082994648877739,-3.152824571564417e-05,-3.2746282575797825e-05,-0.0027516152314592,0.0,-0.0044449749801209
TR,-0.1291602660085594,-0.0013298702971635,-0.4704332023599501,-0.0026312700727451,-0.4924712046583136,-0.0087819344022866,-0.3307913069709782,-0.0082726554786051,-0.0022247543699555,-0.0005671918070019,-0.0069375100476463,-0.0021888049057911,-0.0072517701520694,-0.0145992157585923,-0.1154399965071279
NL,-0.048910210202809,0.0,-0.0511441913873131,0.0,-0.0886082705521776,0.0,-0.4620769206798071,-0.0139758836224097,0.0,-0.9006853680936816,0.0,-0.0002161484227699,-0.0123248333324684,0.0,-0.0049108678660818
