Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
RO,-0.429,0.0,-5.899,-11.027,-3.717,-23.709,-35.415,-1.075,-0.199,-31.487,-0.002,-0.616,-0.407,-0.754,-0.002
CN,-2.972,-0.037,-2.415,-0.065,-12.237,-17.945,-5.255,-1.292,-0.006,-21.053,-0.006,-1.037,-0.751,-0.019,-1.222
DE,-0.325,-0.0,-1.151,-0.0,-0.307,-2.648,-1.326,-0.044,-0.001,-11.601,-0.0,-0.0,-0.172,-0.0,-0.021
US,-0.144,-0.0,-0.778,-0.007,-0.102,-0.628,-2.714,-0.008,-0.0,-3.328,0.0,-0.0,-0.019,-0.006,-0.029
IT,-0.09,-0.0,-0.546,-0.0,-0.155,-0.356,-0.157,-0.028,-0.0,-2.277,-0.0,-0.0,-0.006,-0.0,-0.023
HU,-0.026,-0.0,-0.135,-0.0,-0.001,-0.841,-0.443,-0.001,-0.0,-0.405,-0.0,-0.0,-0.0,-0.0,-0.002
WM,-0.058,-0.003,-0.315,-0.016,-0.035,-0.384,-0.555,-0.01,-0.004,-0.322,-0.0,-0.025,-0.054,-0.014,-0.007
WA,-0.035,-0.009,-0.281,-0.009,-0.115,-0.435,-0.382,-0.041,-0.002,-0.239,-0.002,-0.041,-0.047,-0.002,-0.024
FR,-0.047,-0.0,-0.262,0.0,-0.077,-0.597,-0.228,-0.008,0.0,-0.28,0.0,-0.0,-0.007,0.0,-0.002
GB,-0.082,0.0,-0.11,-0.0,-0.089,-0.494,-0.47,-0.011,-0.0,-0.189,-0.0,-0.0,-0.033,-0.0,-0.009
PL,-0.021,-0.0,-0.101,-0.001,-0.102,-0.477,-0.327,-0.037,-0.0,-0.285,-0.0,-0.0,-0.0,-0.0,-0.006
BG,-0.022,-0.0,-0.006,-0.002,-0.911,-0.081,-0.107,-0.065,-0.0,-0.133,-0.0,-0.001,-0.001,-0.001,-0.0
AT,-0.036,0.0,-0.301,-0.0,-0.052,-0.28,-0.324,-0.002,-0.0,-0.23,0.0,-0.0,-0.012,-0.0,-0.003
CZ,-0.014,-0.0,-0.111,-0.0,-0.019,-0.524,-0.199,-0.007,-0.0,-0.318,-0.0,-0.0,-0.013,-0.0,-0.002
MX,-0.006,-0.0,-0.051,-0.002,-0.021,-0.688,-0.213,-0.007,-0.0,-0.072,-0.0,-0.0,-0.004,-0.0,-0.019
TR,-0.051,-0.0,-0.498,-0.001,-0.037,-0.144,-0.279,-0.004,-0.0,-0.022,-0.0,-0.012,-0.007,-0.001,-0.009
WE,-0.039,-0.032,-0.33,-0.001,-0.047,-0.291,-0.107,-0.011,-0.008,-0.114,-0.0,-0.031,-0.032,-0.0,-0.001
IN,-0.02,-0.0,-0.22,-0.0,-0.025,-0.073,-0.192,-0.011,-0.0,-0.364,0.0,-0.0,-0.001,-0.0,-0.011
CA,-0.035,-0.0,-0.237,-0.001,-0.011,-0.101,-0.334,-0.009,-0.0,-0.134,-0.0,-0.0,-0.01,-0.0,-0.003
JP,-0.022,0.0,-0.042,0.0,-0.033,-0.099,-0.162,-0.024,0.0,-0.478,0.0,-0.0,-0.008,-0.0,-0.003
GR,-0.073,-0.001,-0.359,0.0,-0.052,-0.052,-0.214,-0.001,-0.0,-0.03,-0.0,-0.0,-0.0,-0.0,-0.0
SK,-0.005,-0.0,-0.012,-0.0,-0.007,-0.18,-0.322,-0.003,-0.0,-0.214,-0.0,-0.0,-0.002,-0.0,-0.001
KR,-0.017,0.0,-0.065,-0.0,-0.063,-0.2,-0.101,-0.191,-0.0,-0.075,-0.0,-0.0,-0.005,-0.0,-0.003
BE,-0.023,-0.0,-0.104,-0.0,-0.11,-0.099,-0.149,-0.027,-0.0,-0.116,-0.0,-0.002,-0.012,-0.0,-0.015
WL,-0.008,-0.003,-0.048,-0.009,-0.254,-0.101,-0.076,-0.006,-0.001,-0.043,-0.0,-0.003,-0.005,-0.001,-0.006
CH,-0.002,0.0,-0.005,0.0,-0.001,-0.158,-0.141,-0.0,0.0,-0.174,-0.0,0.0,-0.001,0.0,-0.053
WF,-0.006,-0.014,-0.065,-0.003,-0.04,-0.09,-0.142,-0.004,-0.004,-0.054,-0.001,-0.054,-0.039,-0.001,-0.006
NL,-0.01,0.0,-0.015,0.0,-0.028,-0.046,-0.293,-0.005,0.0,-0.095,0.0,-0.0,-0.002,0.0,-0.001
TW,-0.003,-0.0,-0.006,-0.0,-0.014,-0.311,-0.062,-0.001,-0.0,-0.048,0.0,-0.0,-0.004,-0.0,-0.001
ES,-0.025,-0.0,-0.11,-0.003,-0.037,-0.175,-0.02,-0.018,-0.0,-0.047,-0.0,-0.0,-0.005,-0.0,-0.006
SE,-0.009,0.0,-0.097,-0.0,-0.016,-0.091,-0.09,-0.001,-0.0,-0.123,-0.0,-0.0,-0.004,-0.0,-0.0
FI,-0.001,-0.0,-0.026,-0.0,-0.006,-0.07,-0.015,-0.007,-0.0,-0.073,-0.0,-0.0,-0.018,-0.0,-0.001
NO,-0.008,-0.0,-0.017,-0.0,-0.004,-0.05,-0.04,-0.0,-0.0,-0.064,-0.0,-0.0,-0.024,-0.0,-0.002
LU,-0.004,0.0,-0.05,0.0,-0.018,-0.006,-0.076,-0.014,0.0,-0.029,0.0,0.0,-0.001,0.0,-0.002
