Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.008,0.02,0.003,0.001,0.007,0.002,0.005,0.006,0.003
BE,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.007,0.006,0.009,0.007,0.01,0.002,0.003,0.002
BG,0.0,0.0,0.002,0.0,0.0,0.002,0.005,0.0,0.048,0.022,0.0,0.0,0.002,0.002,0.002
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.035,0.003,0.003,0.002
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.007,0.001,0.002,0.007,0.001,0.01,0.004,0.004
DE,0.0,0.0,0.003,0.012,0.0,0.0,0.069,0.077,0.016,0.015,0.099,0.014,0.05,0.026,0.155
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
ES,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.007,0.002,0.006,0.003,0.004,0.003,0.0,0.001
FI,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.002,0.01,0.0,0.001,0.0,0.001
FR,0.0,,,,0.0,,0.01,0.018,0.004,0.003,0.004,0.001,0.011,0.004,0.004
GB,,0.0,0.0,0.001,0.0,0.0,0.017,0.007,0.005,0.004,0.019,0.006,0.009,0.009,0.003
GR,0.009,,0.0,0.0,0.0,0.0,0.015,0.024,0.003,0.0,0.0,0.0,0.001,0.004,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.009,0.0,0.0,0.0,0.001,0.016,0.009,0.005
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.001,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.037,0.008,0.009,0.004,0.016,0.007,0.003,0.03
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.003,0.001,0.005,0.001,0.002,0.0,0.001,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.006,0.001
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.014,0.001,0.001,0.001,0.001
PL,0.0,0.0,0.001,0.001,0.0,0.0,0.004,0.007,0.005,0.013,0.0,0.004,0.009,0.006,0.004
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
RO,,0.989,0.876,0.17,0.331,0.937,0.091,0.394,0.198,0.36,0.233,0.001,0.45,0.692,0.421
RU,0.0,0.0,0.004,0.013,0.001,0.002,0.001,0.003,0.001,0.0,0.004,0.003,0.0,0.0,0.0
SE,,0.0,0.0,0.001,0.0,0.0,0.002,0.006,0.001,0.0,0.002,0.0,0.002,0.002,0.002
SI,,0.0,0.0,0.0,,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.003,0.006,0.003
WE,0.295,0.0,0.037,0.036,0.017,0.001,0.008,0.022,0.003,0.004,0.018,0.001,0.006,0.002,0.002
BR,0.007,0.0,0.002,0.012,0.003,0.0,0.001,0.002,0.0,0.0,0.001,0.001,0.0,0.0,0.0
CA,0.0,0.0,0.0,0.008,0.0,0.0,0.007,0.016,0.001,0.003,0.006,0.002,0.002,0.007,0.002
MX,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.003,0.001,0.002,0.002,0.013,0.013,0.004,0.001
US,0.0,0.001,0.001,,0.0,0.007,0.031,0.052,0.005,0.003,0.011,0.019,0.012,0.053,0.045
WL,0.023,0.001,0.003,0.02,0.002,0.001,0.002,0.003,0.014,0.002,0.003,0.004,0.002,0.001,0.001
CN,0.337,0.006,0.024,0.475,0.558,0.024,0.631,0.161,0.651,0.432,0.43,0.807,0.341,0.103,0.282
ID,0.017,0.0,0.0,0.027,0.0,0.0,0.0,0.003,0.0,0.0,0.011,0.0,0.0,0.0,0.0
IN,0.001,0.0,0.0,,0.0,0.0,0.004,0.015,0.001,0.004,0.0,0.007,0.001,0.004,0.005
JP,,,,,0.0,0.0,0.005,0.003,0.002,0.008,0.005,0.002,0.002,0.003,0.006
KR,,0.0,0.0,0.002,0.0,0.0,0.004,0.004,0.003,0.064,0.003,0.002,0.004,0.002,0.001
TR,0.004,0.0,0.001,0.0,0.007,0.002,0.011,0.033,0.002,0.001,0.004,0.006,0.003,0.005,0.0
TW,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,0.001,0.0,0.002,0.001,0.006,0.001,0.001
WA,0.08,0.001,0.008,0.14,0.022,0.003,0.007,0.019,0.006,0.014,0.027,0.016,0.008,0.007,0.003
WM,0.024,0.001,0.016,0.009,0.013,0.018,0.012,0.021,0.002,0.003,0.031,0.005,0.007,0.011,0.004
