Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-1.3901277563642678,-0.0002031461932686,-1.4699512199245028,-0.0030246328233993,-0.6000949609760214,-1.3506882183280644,-0.9918934204139508,-1.4880265487781217,-0.0003131097019718,-0.0002592866691163,-0.0004791005279903,-0.0027663467957074,-0.577117338657178,-0.0022832219449629,-0.0459274876573401
FI,-0.063845009904156,0.0,-1.0296903598701748,-0.0017575345424535,-0.1972856992099869,0.0,-0.0714902326037469,-0.0082791506723986,-0.0021324344813854,-0.4022931930923953,-0.2185441065047436,-0.0007468008689201,-0.4396743949279074,-0.029240935161337,-0.0075776759694863
US,-0.015749357826371,-4.697805961391084e-06,-0.0859138721213088,-2.2183719190411774e-05,-0.0202871040032424,-0.0784167562494233,-0.1705847642386102,-0.0019599959564602,-0.0001086055100889,-0.2583147696274718,0.0,-3.58520552613237e-07,-0.0080364143326555,-4.076380947167684e-06,-0.0050011362043406
WA,-0.031142419531781,-7.267184682313501e-05,-0.1863944273500885,-0.0001230920531318,-0.112828822194641,-0.0334278692181865,-0.1067797489300129,-0.011125088916212,-0.0002340549451865,0.0,-0.0002011325327509,-0.0002255046575587,-0.0095687586278583,-9.722548427105988e-05,-0.0207516832042135
JP,-0.0066019516837912,0.0,-0.0352843382936382,0.0,-0.183194870348728,-0.0341672633414629,-0.0389875899410852,-0.0058426528022384,0.0,-1.4109931086246104e-08,0.0,-0.00015550333456,-0.0110957274365574,-1.0815149322941457e-05,-0.0023863378208631
DE,-0.004500696829398,0.0,-0.0575124382567649,0.0,-0.0669751808742275,-0.0010128364855677,-0.0564387955108221,-0.0050908671659115,-1.6081842138580036e-05,-0.1069150491751308,0.0,-2.537054507073657e-05,-0.0063547275434397,0.0,-0.0015330442517211
KR,-0.005049620607812,0.0,-0.0352299758574824,-8.340825144994043e-08,-0.1230373179868055,-0.0305115462269518,-0.0137654389042589,-0.0313263550008006,-6.037069788774193e-07,-1.8115516877083926e-09,-0.0013734141699148,-1.7634026086588897e-05,-0.010505770169671,-2.960109264035826e-05,-0.0014508688603133
SE,-0.0033771459728012,0.0,-0.056377668799782,-0.0001456212582178,-0.0096769759340236,-7.024478397596294e-05,-0.0372084398497423,-0.003595121066718,-4.75216892610233e-05,-0.0575339389139238,-3.8288433902154646e-06,-1.26416528213652e-05,-0.0008512697708838,-5.322565803994716e-05,-0.0004049524535517
CA,-0.0272799859803148,0.0,-0.0268904556313908,-2.154261262594558e-09,-0.0108260531085139,-0.0041247145633695,-0.0174094074718902,-0.0317465745681469,-1.0480263218540646e-07,0.0,-1.0599096488543863e-09,-1.3045820528520117e-05,-0.0235110592212817,-1.1325748289552022e-05,-0.0001660701346783
NL,-0.0028046633857185,0.0,-0.0258623347003945,0.0,-0.0069964180912305,0.0,-0.0649555098198555,-0.0039293070125692,0.0,-0.0304257723210016,0.0,-8.768532350432047e-06,-0.001980029636937,0.0,-0.0004001597324586
IN,-0.0073340700259337,-3.350171087297923e-06,-0.0847743133872604,-5.52445604262577e-07,-0.0144729481907275,-0.0128822726651383,-0.0136168296459006,-0.0012619370926014,-1.1293845254971925e-06,0.0,0.0,-4.604048816680363e-06,-0.0001765945349759,-1.2935817223263584e-06,-0.0005412186482866
WL,-0.0051881153296356,-1.526209852039112e-05,-0.0127159895691827,-4.282502958779475e-06,-0.0782024246686101,-0.0036127851287057,-0.0086292750808183,-0.0013334701214637,-7.911906592120097e-06,0.0,-1.6159011977645417e-05,-1.1038132707830666e-05,-0.0007013547670845,0.0,-0.001216395881992
CH,-0.0001289695591188,0.0,-0.0003279261804326,0.0,-5.501763084047806e-05,-2.8787597913036205e-05,-0.0109698022647156,-3.065594296194933e-05,0.0,0.0,0.0,0.0,-2.788827301449502e-05,0.0,-0.0950361809558806
ID,-0.0019531154026794,-1.5829977566854813e-08,-0.0655546626977627,-2.4337638862440614e-07,-0.0122707220679513,-0.0043422698180936,-0.0057928821954676,-0.0020279379163719,-7.578652247468764e-07,0.0,-8.312240813394329e-07,-6.651148047395506e-09,-0.0022658901092472,-1.9082156739431383e-08,-0.0001514222230883
IT,-0.00242618085704,-2.416403418320221e-05,-0.0252775207036605,0.0,-0.0134733602862587,-0.0074361873042107,-0.0060120277153587,-0.0004854737736407,-2.7010938291635758e-09,-0.016748478831392,0.0,-1.8982997500141943e-05,-0.0002012692785135,-6.132070737748747e-09,-0.000923796293675
MX,-0.0013479839375235,0.0,-0.0079842296395455,0.0,-0.0050479985206068,-0.0067891186506311,-0.0473890457247305,-0.0010129616390007,0.0,0.0,0.0,0.0,-0.0001675988619902,0.0,-0.0024191909009324
