Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-0.179,-0.003,-0.146,-0.005,-1.03,-1.219,-0.179,-0.127,-0.0,-1.136,-0.0,-0.047,-0.054,-0.001,-0.091
US,-0.012,-0.0,-0.039,-0.007,-0.027,-0.071,-0.372,-0.001,-0.0,-0.306,0.0,-0.0,-0.003,-0.001,-0.004
WL,-0.001,-0.0,-0.007,-0.002,-0.471,-0.01,-0.008,-0.001,-0.0,-0.005,-0.0,-0.0,-0.001,-0.0,-0.001
WA,-0.012,-0.023,-0.033,-0.005,-0.028,-0.048,-0.051,-0.028,-0.002,-0.02,-0.004,-0.014,-0.037,-0.001,-0.012
DE,-0.008,-0.0,-0.028,-0.0,-0.005,-0.039,-0.023,-0.001,-0.0,-0.143,-0.0,-0.0,-0.002,-0.0,-0.001
JP,-0.003,0.0,-0.007,0.0,-0.004,-0.015,-0.027,-0.001,0.0,-0.12,0.0,-0.0,-0.003,-0.0,-0.0
CH,-0.0,0.0,-0.001,0.0,-0.0,-0.015,-0.059,-0.0,0.0,-0.021,-0.0,0.0,-0.0,0.0,-0.005
IN,-0.002,-0.0,-0.015,-0.0,-0.002,-0.007,-0.013,-0.001,-0.0,-0.033,0.0,-0.0,-0.0,-0.0,-0.001
GB,-0.003,0.0,-0.005,-0.0,-0.003,-0.026,-0.022,-0.001,-0.0,-0.009,-0.0,-0.0,-0.002,-0.0,-0.001
KR,-0.002,0.0,-0.007,-0.0,-0.012,-0.02,-0.011,-0.003,-0.0,-0.004,-0.0,-0.0,-0.001,-0.0,-0.001
MX,-0.001,-0.0,-0.003,-0.0,-0.002,-0.034,-0.014,-0.001,-0.0,-0.003,-0.0,-0.0,-0.0,-0.0,-0.001
IT,-0.001,-0.0,-0.006,-0.0,-0.003,-0.005,-0.001,-0.0,-0.0,-0.021,-0.0,-0.0,-0.0,-0.0,-0.0
TW,-0.001,-0.0,-0.001,-0.0,-0.002,-0.021,-0.008,-0.0,-0.0,-0.002,0.0,-0.0,-0.001,-0.0,-0.0
CA,-0.002,-0.0,-0.005,-0.0,-0.002,-0.008,-0.008,-0.0,-0.0,-0.005,-0.0,-0.0,-0.0,-0.0,-0.0
FR,-0.002,-0.0,-0.007,0.0,-0.003,-0.009,-0.004,-0.0,0.0,-0.004,0.0,-0.0,-0.0,0.0,-0.0
WM,-0.001,-0.0,-0.005,-0.0,-0.001,-0.006,-0.007,-0.0,-0.0,-0.004,-0.0,-0.0,-0.001,-0.0,-0.0
AT,-0.001,0.0,-0.003,-0.0,-0.0,-0.007,-0.007,-0.0,-0.0,-0.007,0.0,-0.0,-0.0,-0.0,-0.0
HU,-0.0,-0.0,-0.002,-0.0,-0.0,-0.011,-0.004,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
