Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-0.923294658484701,0.0,-3.417986505489873,0.0,-1.617315406513524,-0.1065434534027807,-3.3167735603260327,-0.2323847030288827,-0.0009897015472498,-6.473673004763976,0.0,-0.0080081930946465,-0.4657116832842694,0.0,-30.006012166349866
SE,-0.632447760125346,0.0,-8.283949464608227,-0.0402755173432006,-1.412521567847434,-0.0324863723661623,-4.028850149944267,-0.1998926051324885,-0.0139746625401641,-9.852653236113913,-0.0997817295841577,-0.0057328885462396,-9.53554062939867,-3.824868995290396,-1.0271131305753392
CN,-2.9336420883819687,-0.0001826850392509,-4.500226890451008,-0.0027294908344617,-1.3556383441966569,-2.7020051679623256,-3.4775177860362074,-4.624055136237558,-0.0007015045059527,-0.0004253661949064,-0.0008665682811745,-0.002744147874308,-1.6504614298914475,-0.0039692267517334,-13.435980141909171
US,-0.3821609707754494,-9.724476934764603e-05,-3.70570683178997,-0.0004494981011698,-0.507343636514309,-2.9573842764023834,-6.340684841899792,-0.0449565612817075,-0.0021993266625597,-8.823720209162827,0.0,-7.382351670976098e-06,-0.2997931962350984,-9.144433125830583e-05,-2.7852848427439008
FI,-0.600734214122801,0.0,-9.733833997720165,-0.0168533397399773,-1.92782582909482,0.0,-0.7170944244280957,-0.0924320546748724,-0.0199426848746796,-4.104609078153832,-2.061354079362565,-0.0070565930446957,-4.152031233032983,-0.274381164529256,-0.0717498279713392
WA,-0.2308070811952345,-0.0005452332073673,-1.8299834239651065,-0.0101205706332603,-1.0157968301186926,-0.5761730256894191,-1.5309321210232427,-0.1017398460443308,-0.001295236896914,0.0,-0.0449685694790564,-0.0300815297255316,-0.0963340032822547,-0.0003307701734692,-4.561581545033886
GB,-0.1074252590240336,0.0,-0.3319954077008056,0.0,-0.250973722855406,-0.0075200198320859,-0.5356116180043596,-0.1554309902335371,-7.868756315339386e-05,-0.0226826043476656,0.0,-0.0012267792252641,-0.0920372386002637,-9.75107661075022e-07,-3.994954012578364
WL,-0.0776095211818961,-0.0002255961663904,-0.2028408261371281,-9.290069275315675e-05,-2.372260304697446,-0.0807407907715134,-0.1473774765724645,-0.0304400652155324,-0.0003796049487862,0.0,-0.0006773350832743,-0.0001631628353404,-0.0176253457857207,0.0,-2.025966818804777
PL,-0.2863214973282259,0.0,-0.8806088261172851,-0.0048284578421479,-0.9820252152933606,-0.0247776897413989,-0.9071800229070645,-0.0612628906609873,-0.0001637271043829,-1.1073999402466053,-0.0001592558109979,-5.259498192011482e-05,-0.0005088597335686,-0.0001805929584471,-0.2398825465205137
JP,-0.0649161444292585,0.0,-0.2302449827192238,0.0,-1.9753760453163745,-0.6690278802141572,-0.385940038806064,-0.0573790134555079,0.0,-7.996454232759725e-08,0.0,-0.0006045579560987,-0.091874807606969,-8.647236187802061e-05,-0.0301154452811703
NO,-0.5605551175442279,0.0,-0.6127863018451861,0.0,-0.2251709046914115,-0.0048331927328393,-0.5588142209132649,-0.0191319026450735,0.0,-0.8160870317969493,-1.0419416215304508e-08,-7.832883375411027e-05,-0.5294079630877585,0.0,-0.0537414568802606
KR,-0.0455861641478547,0.0,-0.2802452212689231,-1.5737855867907858e-06,-1.3742434299035138,-0.3698304076412698,-0.1256261183573714,-0.3890085662881831,-8.630610562005404e-06,-2.3090795003973159e-07,-0.0114963229736761,-0.0001682081631611,-0.1098314556098106,-0.0002934446143339,-0.6431099585213218
NL,-0.0586389605881137,0.0,-0.2846571756273606,0.0,-0.1263795324028513,0.0,-0.8329614252755608,-0.0730212925826202,0.0,-0.5334030148338748,0.0,-0.0001545302505859,-0.0219608680416087,0.0,-0.6706205263969377
CA,-0.3874077138949309,0.0,-0.7534877490843308,-5.973721659094203e-08,-0.1897890346294935,-0.074681981862716,-0.4054497745223486,-0.3746349377755606,-4.012505652071885e-06,0.0,-1.9588029444146053e-08,-0.0001390944056458,-0.250825818947364,-0.0068183246063565,-0.0974966021366509
IN,-0.0930489240145639,-1.5128652578160934e-05,-0.8272185992179328,-2.8350464377474174e-06,-0.2010929165590196,-0.4244076137003463,-0.5752783196755411,-0.0127134270796905,-7.357681547634313e-06,0.0,0.0,-5.5977439089041456e-05,-0.0049067578529155,-8.82161265976008e-06,-0.047314458260715
CH,-0.0060666934713394,0.0,-0.0115911244140795,0.0,-0.0017900775109264,-0.0012045992260614,-0.3224174718701507,-0.0013991382053321,0.0,0.0,0.0,0.0,-0.0010052402491001,0.0,-1.7469743037030805
WM,-0.1085015543987795,0.0,-0.1592067125719989,-8.276464863450594e-05,-0.3580081410226122,-0.0674739996639578,-0.3419848454312744,-0.0323535295184583,0.0,0.0,0.0,0.0,-0.092202254567133,0.0,-0.37698812048004
MX,-0.0246161360184947,0.0,-0.1492473237948696,0.0,-0.1199117346643778,-0.1091417696405024,-0.8253359697327021,-0.0423252640077568,0.0,0.0,0.0,0.0,-0.0052901860492259,0.0,-0.0544624334044286
IT,-0.0648238322303526,-0.0003519185261792,-0.3917217116192504,0.0,-0.3177759604303176,-0.0136098790586137,-0.0997496387163564,-0.010930037831765,-2.7878357735408975e-07,-0.3332702448012245,0.0,-0.0001729737607294,-0.0023850992048177,-4.2105397558424446e-08,-0.0381011892394199
DK,-0.1344351307889502,0.0,-0.1172196724069774,0.0,-0.0171243254262175,0.0,-0.9878756669888517,-0.0014814683668519,0.0,-0.0059898926205053,-3.124922441378383e-06,0.0,-0.0037847161890141,0.0,-0.0031885781140891
BE,-0.0618980323210348,0.0,-0.1487306177593118,0.0,-0.2441635218746241,-0.0125612945544021,-0.1412279977882068,-0.085083917849873,0.0,-0.139867534064722,0.0,-0.0001658779345036,-0.0075907452690676,0.0,-0.2520667334209152
