Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
SE,-7.411,0.0,-49.273,-0.168,-3.341,-5.842,-17.914,-0.527,-0.038,-12.069,-0.006,-0.001,-0.419,-0.006,-0.056
CN,-2.645,-0.035,-3.717,-0.057,-6.983,-18.732,-5.939,-1.481,-0.005,-26.685,-0.006,-0.769,-0.651,-0.015,-1.041
US,-0.64,-0.0,-1.841,-0.01,-0.274,-1.017,-5.053,-0.024,-0.0,-4.534,0.0,-0.0,-0.041,-0.008,-0.057
DE,-0.844,-0.0,-2.988,-0.0,-1.182,-1.401,-1.157,-0.297,-0.0,-5.34,-0.0,-0.0,-0.043,-0.0,-0.033
GB,-0.146,0.0,-2.287,-0.0,-0.205,-0.642,-0.623,-0.129,-0.0,-0.251,-0.0,-0.0,-0.04,-0.0,-0.029
WA,-0.059,-0.019,-0.823,-0.013,-0.297,-0.693,-0.797,-0.068,-0.003,-0.324,-0.003,-0.038,-0.058,-0.004,-0.034
NO,-0.509,-0.0,-0.509,-0.0,-0.225,-0.345,-0.453,-0.028,-0.0,-0.424,-0.0,-0.003,-0.231,-0.0,-0.032
IT,-0.171,-0.0,-0.733,-0.0,-0.36,-0.188,-0.098,-0.088,-0.0,-0.868,-0.0,-0.0,-0.003,-0.0,-0.026
AT,-0.048,0.0,-1.414,-0.0,-0.049,-0.16,-0.211,-0.003,-0.0,-0.129,0.0,-0.0,-0.007,-0.0,-0.001
PL,-0.141,-0.0,-0.215,-0.002,-0.145,-0.489,-0.599,-0.047,-0.0,-0.327,-0.0,-0.0,-0.0,-0.0,-0.009
JP,-0.04,0.0,-0.191,0.0,-0.09,-0.154,-0.473,-0.063,0.0,-0.76,0.0,-0.0,-0.015,-0.0,-0.006
MX,-0.009,-0.0,-0.058,-0.002,-0.03,-0.898,-0.471,-0.011,-0.0,-0.109,-0.0,-0.0,-0.004,-0.0,-0.02
FI,-0.03,-0.0,-0.304,-0.0,-0.149,-0.37,-0.137,-0.077,-0.0,-0.391,-0.0,-0.0,-0.115,-0.0,-0.001
DK,-0.082,-0.0,-0.141,-0.0,-0.042,-0.459,-0.495,-0.001,-0.0,-0.352,-0.0,-0.0,-0.002,-0.0,-0.001
WM,-0.028,-0.001,-0.505,-0.008,-0.028,-0.274,-0.448,-0.007,-0.002,-0.212,-0.0,-0.011,-0.016,-0.008,-0.006
CA,-0.106,-0.0,-0.392,-0.001,-0.02,-0.172,-0.57,-0.032,-0.0,-0.204,-0.0,-0.0,-0.019,-0.0,-0.004
FR,-0.075,-0.0,-0.283,0.0,-0.09,-0.407,-0.237,-0.01,0.0,-0.179,0.0,-0.0,-0.005,0.0,-0.001
NL,-0.038,0.0,-0.088,0.0,-0.145,-0.101,-0.594,-0.064,0.0,-0.159,0.0,-0.0,-0.003,0.0,-0.002
IN,-0.017,-0.0,-0.281,-0.0,-0.035,-0.1,-0.295,-0.013,-0.0,-0.393,0.0,-0.0,-0.001,-0.0,-0.012
BE,-0.066,-0.0,-0.335,-0.0,-0.121,-0.089,-0.216,-0.145,-0.0,-0.15,-0.0,-0.003,-0.004,-0.0,-0.018
KR,-0.032,0.0,-0.289,-0.0,-0.078,-0.246,-0.225,-0.083,-0.0,-0.086,-0.0,-0.0,-0.007,-0.0,-0.006
CZ,-0.024,-0.0,-0.112,-0.0,-0.021,-0.336,-0.195,-0.024,-0.0,-0.209,-0.0,-0.0,-0.001,-0.0,-0.002
TR,-0.01,-0.0,-0.471,-0.0,-0.014,-0.036,-0.234,-0.0,-0.0,-0.017,-0.0,-0.004,-0.002,-0.001,-0.008
WL,-0.015,-0.004,-0.089,-0.013,-0.333,-0.132,-0.123,-0.008,-0.001,-0.06,-0.0,-0.004,-0.007,-0.001,-0.008
CH,-0.003,0.0,-0.009,0.0,-0.002,-0.17,-0.175,-0.001,0.0,-0.179,-0.0,0.0,-0.001,0.0,-0.092
TW,-0.006,-0.0,-0.007,-0.0,-0.012,-0.281,-0.169,-0.005,-0.0,-0.048,0.0,-0.0,-0.006,-0.0,-0.002
ES,-0.038,-0.0,-0.2,-0.003,-0.063,-0.128,-0.02,-0.022,-0.0,-0.04,-0.0,-0.0,-0.004,-0.0,-0.003
LU,-0.008,0.0,-0.172,0.0,-0.034,-0.005,-0.088,-0.058,0.0,-0.035,0.0,0.0,-0.003,0.0,-0.006
HU,-0.011,-0.0,-0.067,-0.0,-0.0,-0.149,-0.094,-0.0,-0.0,-0.068,-0.0,-0.0,-0.0,-0.0,-0.0
WF,-0.005,-0.008,-0.07,-0.002,-0.053,-0.058,-0.089,-0.004,-0.003,-0.031,-0.0,-0.027,-0.022,-0.001,-0.003
SK,-0.008,-0.0,-0.027,-0.0,-0.047,-0.042,-0.095,-0.002,-0.0,-0.098,-0.0,-0.0,-0.0,-0.0,-0.001
IE,-0.007,0.0,-0.002,0.0,-0.0,-0.091,-0.078,-0.0,-0.0,-0.09,-0.0,0.0,-0.004,-0.0,-0.001
WE,-0.012,-0.006,-0.103,-0.0,-0.018,-0.059,-0.024,-0.002,-0.001,-0.028,-0.0,-0.007,-0.004,-0.0,-0.0
AU,-0.009,-0.013,-0.04,-0.003,-0.006,-0.024,-0.029,-0.01,-0.001,-0.021,-0.0,-0.02,-0.012,-0.002,-0.013
PT,-0.006,-0.0,-0.038,-0.0,-0.006,-0.077,-0.035,-0.002,-0.0,-0.039,-0.0,-0.0,-0.0,-0.0,-0.0
BR,-0.008,-0.001,-0.051,-0.002,-0.011,-0.033,-0.019,-0.002,-0.001,-0.036,-0.0,-0.008,-0.003,-0.0,-0.002
ID,-0.002,-0.002,-0.082,-0.001,-0.008,-0.025,-0.024,-0.001,-0.0,-0.009,-0.0,-0.0,-0.011,-0.0,-0.001
RO,-0.002,0.0,-0.014,-0.001,-0.004,-0.029,-0.054,-0.001,-0.0,-0.043,-0.0,-0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.003,-0.0,-0.01,-0.104,-0.008,-0.0,-0.0,-0.011,-0.0,0.0,-0.001,-0.0,-0.0
GR,-0.009,-0.0,-0.052,0.0,-0.012,-0.011,-0.041,-0.0,-0.0,-0.006,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.006,0.0,-0.017,-0.0,-0.001,-0.023,-0.026,-0.0,-0.0,-0.015,-0.0,0.0,-0.0,-0.0,-0.0
ZA,-0.003,0.0,-0.015,-0.0,-0.004,-0.008,-0.016,-0.001,-0.0,-0.012,-0.0,-0.018,-0.003,-0.0,-0.006
RU,-0.003,-0.0,-0.049,-0.0,-0.006,-0.008,-0.009,-0.0,-0.001,-0.002,-0.0,-0.001,-0.004,-0.001,-0.002
BG,-0.001,-0.0,-0.001,-0.0,-0.037,-0.008,-0.01,-0.002,-0.0,-0.012,-0.0,-0.0,-0.0,-0.0,-0.0
