Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.004,0.021,0.003,0.001,0.004,0.001,0.005,0.005,0.002
BE,0.0,0.0,0.0,0.0,0.003,0.0,0.005,0.005,0.008,0.043,0.002,0.012,0.003,0.006,0.003
BG,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.059,0.005,0.005,0.003
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.007,0.0,0.001,0.01,0.005,0.004
DE,0.0,0.0,0.007,0.016,0.0,0.0,0.063,0.044,0.081,0.089,0.024,0.021,0.04,0.03,0.097
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.003,0.0,0.001,0.001,0.013,0.013,0.006
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.003,0.0,0.0
ES,0.0,0.009,0.0,0.003,0.0,0.0,0.003,0.003,0.004,0.006,0.002,0.002,0.004,0.001,0.001
FI,0.0,0.002,0.001,0.003,0.0,0.0,0.002,0.004,0.01,0.023,0.065,0.001,0.011,0.004,0.007
FR,0.0,,,,0.0,,0.006,0.004,0.006,0.003,0.003,0.001,0.012,0.006,0.003
GB,,0.0,0.0,0.001,0.0,0.0,0.011,0.033,0.014,0.039,0.023,0.019,0.019,0.016,0.005
GR,0.003,,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.004,0.002,0.001
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.003,0.002,0.002
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.011,0.025,0.026,0.002,0.017,0.005,0.003,0.016
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
LU,,,,,,,0.001,0.003,0.002,0.017,0.002,0.004,0.0,0.002,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.003,0.001,0.01,0.019,0.002,0.001,0.003,0.015,0.003
NO,0.0,0.0,0.0,0.002,0.004,0.0,0.038,0.007,0.015,0.008,0.13,0.021,0.01,0.012,0.008
PL,0.001,0.005,0.004,0.002,0.0,0.001,0.011,0.003,0.01,0.014,0.0,0.006,0.014,0.015,0.006
PT,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.001,0.001
RO,,0.005,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
RU,0.0,0.001,0.009,0.005,0.001,0.014,0.0,0.001,0.0,0.0,0.002,0.001,0.0,0.0,0.0
SE,,0.583,0.688,0.35,0.001,0.122,0.556,0.721,0.229,0.157,0.237,0.036,0.169,0.463,0.219
SI,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.001,0.0,0.0,0.001,0.002,0.002
WE,0.064,0.001,0.011,0.004,0.008,0.002,0.001,0.002,0.001,0.001,0.002,0.0,0.002,0.001,0.001
BR,0.013,0.008,0.01,0.012,0.009,0.004,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.001
CA,0.001,0.005,0.002,0.009,0.0,0.004,0.008,0.006,0.001,0.01,0.011,0.002,0.005,0.015,0.004
MX,0.0,0.009,0.002,0.0,0.0,0.007,0.001,0.001,0.002,0.003,0.002,0.013,0.026,0.012,0.002
US,0.001,0.036,0.006,,0.0,0.165,0.048,0.027,0.019,0.007,0.023,0.037,0.029,0.131,0.082
WL,0.042,0.045,0.019,0.02,0.004,0.031,0.001,0.001,0.023,0.003,0.004,0.005,0.004,0.003,0.001
CN,0.389,0.198,0.082,0.307,0.84,0.321,0.198,0.054,0.478,0.443,0.367,0.673,0.541,0.153,0.485
ID,0.018,0.002,0.0,0.021,0.0,0.003,0.0,0.001,0.001,0.0,0.006,0.0,0.001,0.001,0.0
IN,0.001,0.001,0.0,,0.0,0.002,0.001,0.004,0.002,0.004,0.0,0.008,0.003,0.008,0.007
JP,,,,,0.0,0.0,0.003,0.003,0.006,0.019,0.009,0.004,0.004,0.012,0.014
KR,,0.0,0.0,0.002,0.0,0.0,0.002,0.004,0.005,0.025,0.004,0.004,0.007,0.006,0.002
TR,0.002,0.001,0.002,0.0,0.005,0.012,0.001,0.007,0.001,0.0,0.001,0.005,0.001,0.006,0.0
TW,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.001,0.008,0.004,0.001
WA,0.217,0.045,0.05,0.19,0.041,0.074,0.004,0.012,0.02,0.02,0.033,0.022,0.02,0.021,0.006
WM,0.01,0.029,0.034,0.005,0.012,0.166,0.002,0.007,0.002,0.002,0.009,0.004,0.008,0.012,0.004
WF,0.088,0.007,0.045,0.024,0.03,0.015,0.0,0.001,0.004,0.001,0.013,0.002,0.002,0.002,0.001
ZA,,0.001,0.001,0.002,0.02,0.003,0.0,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.0
AU,0.149,0.009,0.023,0.022,0.022,0.048,0.001,0.001,0.0,0.003,0.007,0.009,0.001,0.001,0.0
