Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IT,-4.7967657559828,-0.0153578213858068,-19.384141400990544,0.0,-3.270092478843912,-0.8890276665099075,-2.699551894843411,-0.1462442884329536,-1.5947114076885642e-06,-21.919126689989568,0.0,-0.0097190785111766,-0.123556894954315,-8.124182704830505e-06,-1.5881800747935306
AT,-10.609489474484716,0.0,-14.55407106768084,0.0,-0.5590428590749764,0.0,-4.545661588899084,-0.0673071125399021,0.0,-6.953282696697608,0.0,-0.0922804842678443,-1.1567548167084436,0.0,-0.033825095191563
CN,-1.8253469748818556,-0.0001759044294781,-4.634666515488156,-0.0024346427115728,-3.0336838846509533,-2.3629722368219506,-3.351902360990946,-1.2010297498022993,-0.000727510099835,-0.0009288880903451,-0.0008975683201626,-0.002679683592007,-0.3556287519110302,-0.003291141306539,-0.2727560690913114
DE,-0.9163775190169208,0.0,-2.874162513413505,0.0,-1.000958891031862,-0.0634737568136424,-3.1701528604066134,-0.0802102797382017,-0.0003131367285698,-7.50921190814404,0.0,-0.0022358220259774,-0.4713731585391679,0.0,-0.0877322371630941
US,-0.6636435600779056,-0.0001138392135226,-2.0517088987804586,-0.0005152735081654,-0.3491862664706635,-1.6812230118466327,-4.941620020582236,-0.0143717711017233,-0.0024185112027073,-5.570852271466305,0.0,-8.422437966432215e-06,-0.119892803995219,-8.749543842654075e-05,-0.1962183693340201
GR,-4.6411506737594825,-0.0006895858934319,-4.549054970773486,0.0,-0.8560059532419401,-0.7685596129691505,-1.2265140277930418,-0.0065226599247637,-0.0004195284101384,0.0,-0.2657130073930401,-2.932340295029424e-06,-0.0007942760599346,-0.0011475165625498,-0.0060563432159761
WE,-0.3005314818665107,-0.0008994170958863,-2.3335467653287885,-1.2952788803782564,-1.3358103481671182,-0.2175384836827675,-2.056232971176495,-0.0403699919683868,-0.0028767979727136,0.0,-0.0014004933917333,-0.0061512553233502,-0.0997499062801172,-0.0013279625222309,-0.0498519941965015
WA,-0.4455569853341015,-0.0010588575687488,-1.858740677553221,-0.0010533770068622,-0.9010872024592056,-0.2219652911326727,-1.058314519364975,-0.0689138294102042,-0.0016144641250101,0.0,-0.0019118834919958,-0.0020716234279019,-0.0679956155935857,-0.0002823511368453,-0.1947739781884319
CA,-0.6125785785359764,0.0,-1.067757382561165,-5.401725258970224e-08,-0.1565682534381206,-0.0961419075314667,-0.6546049888565662,-0.0551415427809024,-2.1991813882301536e-06,0.0,-1.8218139626610072e-08,-1.2251376188602123e-05,-0.0222162524190908,-0.0007731779546591,-0.0111036389464601
CH,-0.0446757439630995,0.0,-0.0978166758388801,0.0,-0.0044334799141893,-0.0030095000797896,-1.5101783441410028,-0.002010402505001,0.0,0.0,0.0,0.0,-0.0043278256952011,0.0,-0.7615777525870184
