Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
SI,-101.191,0.0,-117.439,-0.0,-1.936,-8.415,-77.39,-0.011,-0.0,-13.694,-0.0,0.0,-0.51,-0.0,-0.002
CN,-2.873,-0.037,-4.342,-0.063,-8.008,-40.711,-7.684,-0.998,-0.005,-35.476,-0.006,-0.987,-0.715,-0.018,-1.203
DE,-16.78,-0.0,-15.567,-0.0,-0.741,-4.509,-11.743,-0.096,-0.002,-25.775,-0.001,-0.0,-0.563,-0.0,-0.074
US,-5.895,-0.0,-5.313,-0.013,-0.299,-3.4,-18.968,-0.024,-0.0,-12.063,0.0,-0.0,-0.113,-0.013,-0.152
IT,-4.742,-0.0,-8.86,-0.0,-1.593,-1.439,-1.234,-0.076,-0.0,-8.752,-0.0,-0.0,-0.038,-0.0,-0.152
AT,-1.365,0.0,-1.929,-0.0,-0.201,-1.963,-4.811,-0.005,-0.0,-2.597,0.0,-0.0,-0.091,-0.0,-0.014
CZ,-0.285,-0.0,-0.785,-0.0,-0.083,-2.244,-1.371,-0.025,-0.0,-2.053,-0.0,-0.0,-0.006,-0.0,-0.011
HU,-0.483,-0.0,-0.6,-0.0,-0.002,-2.226,-1.902,-0.001,-0.0,-0.953,-0.0,-0.0,-0.0,-0.0,-0.0
PL,-0.473,-0.0,-0.779,-0.003,-0.246,-1.294,-1.937,-0.056,-0.0,-0.992,-0.0,-0.0,-0.001,-0.0,-0.029
WE,-0.613,-0.024,-2.225,-0.001,-0.253,-0.861,-0.603,-0.009,-0.002,-0.394,-0.0,-0.027,-0.057,-0.0,-0.002
SK,-0.522,-0.0,-0.05,-0.0,-0.045,-0.32,-1.292,-0.007,-0.0,-2.541,-0.0,-0.0,-0.001,-0.0,-0.005
WA,-0.186,-0.006,-1.252,-0.014,-0.12,-1.035,-1.394,-0.037,-0.002,-0.564,-0.001,-0.041,-0.077,-0.003,-0.044
FR,-0.494,-0.0,-0.823,0.0,-0.147,-1.466,-1.042,-0.006,0.0,-0.694,0.0,-0.0,-0.007,0.0,-0.002
CA,-1.046,-0.0,-0.788,-0.002,-0.026,-0.552,-1.526,-0.01,-0.0,-0.48,-0.0,-0.0,-0.05,-0.0,-0.006
WM,-0.15,-0.001,-1.265,-0.016,-0.044,-0.69,-1.471,-0.006,-0.003,-0.601,-0.0,-0.019,-0.027,-0.014,-0.009
GB,-0.806,0.0,-0.436,-0.0,-0.196,-1.197,-1.034,-0.016,-0.0,-0.411,-0.0,-0.0,-0.044,-0.0,-0.022
CH,-0.019,0.0,-0.058,0.0,-0.003,-0.74,-1.321,-0.0,0.0,-0.998,-0.0,0.0,-0.002,0.0,-0.172
MX,-0.015,-0.0,-0.128,-0.005,-0.07,-1.809,-0.85,-0.015,-0.0,-0.21,-0.0,-0.001,-0.008,-0.001,-0.044
IN,-0.031,-0.0,-0.518,-0.0,-0.047,-0.201,-0.855,-0.021,-0.0,-1.098,0.0,-0.0,-0.001,-0.0,-0.022
NL,-0.241,0.0,-0.039,0.0,-0.1,-0.308,-1.691,-0.008,0.0,-0.391,0.0,-0.0,-0.005,0.0,-0.002
BE,-0.362,-0.0,-0.659,-0.0,-0.157,-0.143,-0.491,-0.021,-0.0,-0.274,-0.0,-0.004,-0.012,-0.0,-0.032
TR,-0.081,-0.0,-0.95,-0.001,-0.041,-0.061,-0.596,-0.0,-0.0,-0.044,-0.0,-0.009,-0.003,-0.001,-0.011
JP,-0.246,0.0,-0.088,0.0,-0.058,-0.148,-0.315,-0.014,0.0,-0.894,0.0,-0.0,-0.02,-0.0,-0.006
KR,-0.116,0.0,-0.526,-0.0,-0.086,-0.394,-0.408,-0.056,-0.0,-0.137,-0.0,-0.0,-0.007,-0.0,-0.005
SE,-0.1,0.0,-0.584,-0.0,-0.022,-0.26,-0.375,-0.002,-0.0,-0.32,-0.0,-0.0,-0.004,-0.0,-0.0
ES,-0.205,-0.0,-0.364,-0.008,-0.087,-0.542,-0.087,-0.021,-0.0,-0.182,-0.0,-0.001,-0.005,-0.0,-0.003
HR,-0.138,-0.0,-0.091,-0.0,-0.014,-0.127,-0.853,-0.005,-0.0,-0.248,-0.0,-0.0,-0.001,-0.0,-0.0
WL,-0.118,-0.003,-0.12,-0.013,-0.328,-0.225,-0.287,-0.007,-0.001,-0.113,-0.0,-0.003,-0.006,-0.002,-0.007
DK,-0.18,-0.0,-0.084,-0.0,-0.007,-0.229,-0.465,-0.001,-0.0,-0.253,-0.0,-0.0,-0.001,-0.0,-0.0
NO,-0.561,-0.0,-0.085,-0.0,-0.01,-0.086,-0.098,-0.001,-0.0,-0.091,-0.0,-0.0,-0.051,-0.0,-0.004
TW,-0.008,-0.0,-0.009,-0.0,-0.012,-0.464,-0.299,-0.001,-0.0,-0.076,0.0,-0.0,-0.005,-0.0,-0.002
RO,-0.012,0.0,-0.072,-0.005,-0.009,-0.168,-0.363,-0.002,-0.0,-0.241,-0.0,-0.0,-0.001,-0.0,-0.0
WF,-0.023,-0.006,-0.175,-0.002,-0.138,-0.117,-0.252,-0.003,-0.003,-0.07,-0.0,-0.037,-0.027,-0.001,-0.004
LU,-0.007,0.0,-0.327,0.0,-0.041,-0.004,-0.184,-0.032,0.0,-0.052,0.0,0.0,-0.004,0.0,-0.009
RU,-0.009,-0.0,-0.444,-0.001,-0.016,-0.013,-0.063,-0.001,-0.001,-0.01,-0.0,-0.001,-0.011,-0.002,-0.005
FI,-0.011,-0.0,-0.127,-0.0,-0.011,-0.151,-0.062,-0.002,-0.0,-0.156,-0.0,-0.0,-0.033,-0.0,-0.0
BG,-0.016,-0.0,-0.001,-0.0,-0.244,-0.038,-0.058,-0.002,-0.0,-0.061,-0.0,-0.0,-0.0,-0.0,-0.0
BR,-0.03,-0.002,-0.09,-0.003,-0.014,-0.098,-0.052,-0.003,-0.001,-0.093,-0.0,-0.014,-0.004,-0.0,-0.003
GR,-0.052,-0.0,-0.115,0.0,-0.018,-0.023,-0.148,-0.0,-0.0,-0.015,-0.0,-0.0,-0.0,-0.0,-0.0
PT,-0.01,-0.0,-0.043,-0.0,-0.008,-0.111,-0.07,-0.001,-0.0,-0.075,-0.0,-0.0,-0.0,-0.0,-0.0
AU,-0.088,-0.012,-0.028,-0.003,-0.005,-0.022,-0.048,-0.007,-0.001,-0.021,-0.0,-0.022,-0.011,-0.002,-0.013
IE,-0.002,0.0,-0.001,0.0,-0.0,-0.078,-0.134,-0.0,-0.0,-0.066,-0.0,0.0,-0.003,-0.0,-0.0
ID,-0.003,-0.001,-0.114,-0.0,-0.005,-0.018,-0.028,-0.001,-0.0,-0.011,-0.0,-0.0,-0.005,-0.0,-0.0
ZA,-0.002,0.0,-0.011,-0.0,-0.002,-0.009,-0.026,-0.0,-0.0,-0.012,-0.0,-0.02,-0.002,-0.0,-0.003
LT,-0.0,0.0,-0.001,-0.0,-0.013,-0.009,-0.014,-0.0,-0.0,-0.007,-0.0,0.0,-0.0,0.0,-0.0
EE,-0.0,-0.0,-0.001,-0.0,-0.002,-0.03,-0.003,-0.0,-0.0,-0.004,-0.0,0.0,-0.002,-0.0,-0.0
LV,-0.001,-0.0,-0.001,-0.0,-0.001,-0.003,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
