Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.01,0.011,0.013,0.003,0.036,0.007,0.025,0.033,0.023
BE,0.0,0.0,0.0,0.0,0.003,0.0,0.003,0.004,0.01,0.013,0.005,0.015,0.002,0.003,0.002
BG,0.0,0.002,0.005,0.0,0.0,0.004,0.0,0.0,0.016,0.001,0.0,0.0,0.0,0.0,0.001
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.001,0.083,0.009,0.009,0.009
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.005,0.016,0.002,0.005,0.028,0.009,0.018
DE,0.0,0.0,0.068,0.111,0.0,0.0,0.119,0.092,0.048,0.06,0.222,0.035,0.057,0.08,0.226
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.003,0.003,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
ES,0.0,0.05,0.0,0.012,0.001,0.0,0.001,0.002,0.006,0.013,0.002,0.001,0.007,0.001,0.002
FI,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.013,0.0,0.002,0.0,0.001
FR,0.0,,,,0.0,,0.004,0.005,0.009,0.004,0.003,0.001,0.019,0.007,0.006
GB,,0.0,0.0,0.001,0.0,0.0,0.006,0.003,0.013,0.01,0.017,0.01,0.015,0.007,0.004
GR,0.004,,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.003,0.0,0.0,0.002,0.006,0.002
HU,0.0,0.0,0.0,0.006,0.0,0.0,0.003,0.004,0.0,0.001,0.0,0.0,0.028,0.013,0.008
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001
IT,0.001,0.0,0.0,0.0,0.0,0.0,0.034,0.053,0.103,0.047,0.015,0.073,0.018,0.008,0.077
LT,,0.0,0.0,0.0,,,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.002,0.003,0.02,0.002,0.005,0.0,0.001,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.002,0.0,0.006,0.005,0.002,0.001,0.004,0.012,0.003
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.001,0.001,0.02,0.002,0.001,0.001,0.001
PL,0.0,0.022,0.019,0.0,0.0,0.002,0.003,0.005,0.016,0.035,0.0,0.014,0.016,0.013,0.009
PT,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001
RO,,0.035,0.005,0.0,0.0,0.007,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.002,0.002
RU,0.0,0.004,0.054,0.021,0.001,0.032,0.0,0.003,0.001,0.0,0.005,0.003,0.0,0.0,0.0
SE,,0.002,0.003,0.001,0.0,0.0,0.001,0.003,0.001,0.001,0.002,0.0,0.003,0.003,0.003
SI,,0.001,0.008,0.024,,0.0,0.72,0.698,0.125,0.007,0.201,0.001,0.107,0.53,0.12
SK,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.0,0.003,0.004,0.0,0.002,0.004,0.009,0.022
WE,0.252,0.006,0.072,0.01,0.022,0.008,0.004,0.013,0.016,0.006,0.023,0.001,0.011,0.004,0.003
BR,0.016,0.02,0.035,0.027,0.011,0.004,0.0,0.001,0.001,0.002,0.002,0.002,0.001,0.0,0.001
CA,0.001,0.013,0.008,0.021,0.0,0.006,0.007,0.005,0.002,0.006,0.02,0.003,0.007,0.01,0.004
MX,0.0,0.031,0.009,0.001,0.0,0.012,0.0,0.001,0.005,0.01,0.003,0.021,0.023,0.006,0.002
US,0.001,0.086,0.017,,0.0,0.224,0.042,0.032,0.019,0.015,0.044,0.073,0.043,0.13,0.106
WL,0.036,0.083,0.034,0.022,0.003,0.026,0.001,0.001,0.021,0.004,0.002,0.003,0.003,0.002,0.001
CN,0.396,0.411,0.239,0.513,0.832,0.311,0.02,0.026,0.516,0.619,0.282,0.579,0.516,0.053,0.31
ID,0.012,0.002,0.001,0.026,0.0,0.002,0.0,0.001,0.0,0.001,0.002,0.0,0.0,0.0,0.0
IN,0.002,0.001,0.0,,0.0,0.001,0.0,0.003,0.003,0.013,0.0,0.01,0.003,0.006,0.01
JP,,,,,0.0,0.0,0.002,0.001,0.004,0.009,0.008,0.003,0.002,0.002,0.008
KR,,0.0,0.0,0.002,0.0,0.0,0.001,0.003,0.006,0.035,0.003,0.002,0.005,0.003,0.001
TR,0.002,0.004,0.008,0.0,0.007,0.019,0.001,0.006,0.003,0.0,0.001,0.005,0.001,0.004,0.0
TW,0.0,0.0,0.002,,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.001,0.006,0.002,0.001
WA,0.067,0.089,0.104,0.126,0.034,0.048,0.001,0.007,0.008,0.023,0.03,0.021,0.013,0.01,0.005
WM,0.01,0.105,0.13,0.01,0.016,0.235,0.001,0.008,0.003,0.004,0.011,0.004,0.009,0.01,0.005
WF,0.067,0.015,0.114,0.026,0.031,0.015,0.0,0.001,0.009,0.002,0.011,0.002,0.001,0.002,0.001
ZA,,0.001,0.002,0.002,0.017,0.002,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0
AU,0.13,0.016,0.059,0.035,0.018,0.041,0.001,0.0,0.0,0.005,0.004,0.006,0.0,0.0,0.0
