Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-1.1233791154711192,-0.0001347720248548,-2.2201424670750707,-0.0019001153333656,-4.232409458667996,-1.8880507171146488,-1.9350476441248488,-0.9059254555931208,-0.0008095076149565,-0.0004576133881037,-0.0009479307251018,-0.0022019978407394,-0.2618878888015328,-0.0035633025974211,-0.1023100634182257
WE,-0.3465142468388669,-0.0012962124143777,-2.912827207978009,-2.296073812474692,-1.8239251855608167,-0.3481129161754171,-3.500678074837515,-0.070846245362618,-0.0053001523385,0.0,-0.0025238135181911,-0.0114030180266965,-0.179258069491169,-0.0031194989337985,-0.092656929764699
US,-0.1452291623808773,-7.613340428862383e-05,-0.8083255943769734,-0.0003525029318906,-0.1861601422188513,-0.96461139253105,-2.026601588168561,-0.007965361851585,-0.0016452026221039,-3.106416514238437,0.0,-5.693693707171671e-06,-0.0553475137937491,-5.963713752797276e-05,-0.0793067811613163
DE,-0.2111478889212068,0.0,-1.1410678415511453,0.0,-0.4251922795008059,-0.062589467608204,-0.9718973310041216,-0.0547401990419513,-0.0002346499624951,-3.1663241179300803,0.0,-0.0008859048868788,-0.0999626328349325,0.0,-0.0600741603289799
CZ,-0.1877331550514707,-0.0001342553570208,-0.4517938791106875,0.0,-0.1400402843662715,-0.0023484075633411,-1.078717661138889,-0.1056991202224013,-4.088521686456014e-05,-2.5374800403196187,-5.404962149808716e-05,-0.0001651045490384,-0.0126159222060577,0.0,-0.0102328682590791
WA,-0.1295374888349838,-0.0002995869260511,-1.0916228860885493,-0.000742510466273,-0.7394785456406084,-0.1713398405259815,-0.6361116690623422,-0.0469411969042088,-0.0011095634516034,0.0,-0.0008545956952494,-0.0010802339472925,-0.0504793683696826,-0.000328497107681,-0.0879427792587603
HU,-0.1160744136207051,-0.0010952772913817,-0.6898733081143693,0.0,-0.0043262470655828,0.0,-0.9106413196859352,-0.008329209262481,0.0,-1.055300721682949,0.0,-9.708984046939062e-05,-0.0001195294216835,0.0,-0.001085760950783
AT,-0.194505531156783,0.0,-0.7626075362899637,0.0,-0.0526267049564986,0.0,-0.6155668567286838,-0.0078573809244562,0.0,-1.001612672770826,0.0,-0.0070336182168424,-0.1174147975590504,0.0,-0.0068833457417443
WL,-0.0464147493442252,-0.0001352297931325,-0.1748371389822283,-6.532142563571184e-05,-1.5756384623758235,-0.0377104183168808,-0.103981775435765,-0.0253716727930032,-9.58505556247337e-05,0.0,-0.0003006550128226,-9.7804449184849e-05,-0.0115484544098507,0.0,-0.0205336835567228
PL,-0.1011209774069832,0.0,-0.297527339068846,-0.0022620929446992,-0.3245307195590998,-0.01317271445015,-0.4061754383352216,-0.019456692062754,-6.312901151564953e-05,-0.4948415183016662,-0.0041476989848892,-0.0002190737086258,-0.0003239415899685,-6.448505345156218e-05,-0.084695625464741
KR,-0.0369441418542121,0.0,-0.2396181167079753,-9.945290921800856e-06,-0.9429972086603028,-0.1674463747739054,-0.1176792783171328,-0.0724332716405363,-1.9016932039885502e-05,-1.9202343311764685e-07,-0.0298535136662914,-0.0004250372570337,-0.0178128974759184,-0.000722071441341,-0.0209900183509232
JP,-0.0313482957328462,0.0,-0.2901784554232701,0.0,-0.6012547718121568,-0.2283128393846131,-0.3378222586753655,-0.019705243018843,0.0,-1.5853020211331665e-07,0.0,-0.0005972184816483,-0.027727339009189,-0.0001840298764037,-0.0345158814167331
IT,-0.0910928997481465,-0.000459297373272,-0.3763224344965903,0.0,-0.1701193916059802,-0.046008013163615,-0.1072977374724088,-0.0071520424427127,-1.979273406687517e-07,-0.6472686283924819,0.0,-0.0011110342178239,-0.0086848574407066,-1.5698737066601673e-07,-0.0520379756328841
RO,-0.0440083102546709,0.0,-0.3404499828058655,-2.4502674140350063e-05,-0.0213962406255265,0.0,-0.2456433556000296,-0.0006603670911352,-7.205366880484286e-07,-0.6095794528582638,0.0,-1.442546749452969e-07,-0.0021744147498043,-3.813698980098937e-05,-0.0002291339971319
CA,-0.131244957764686,0.0,-0.6515846873574767,-4.024865655770297e-08,-0.101686546491007,-0.0513226082146559,-0.1996249267583733,-0.028534614891212,-7.456773553696793e-06,0.0,-1.3556979902601354e-08,-6.289743242923398e-06,-0.0115951545341794,-0.0001773592240167,-0.0026450295656564
BG,-0.0343763342437228,0.0,-0.0110474351692665,-0.0215556052936826,-0.9554384977500474,0.0,-0.0556911177225681,-0.005986812949535,-0.0003136998363763,0.0,0.0,-2.591754480078264e-05,-0.0011752846949693,-0.0070478201532122,-8.662024549590478e-05
RU,-0.0636533089965302,-4.20799430821993e-05,-0.2526502865802691,-0.0001275242784133,-0.1720665895290764,-0.3660554406790173,-0.0246297297580949,-0.0109087150286645,-3.3231813614162724e-05,0.0,-0.0010277621071115,-5.913568294703058e-05,-0.0490034357581611,-0.0003750917557331,-0.0252201878018019
SK,-0.0151650575492001,0.0,-0.0800837060808335,-1.6019963996191537e-05,-0.0103210171346135,0.0,-0.2833061247161567,-0.0065958018325247,-1.08081080995225e-06,-0.4279493183676672,0.0,0.0,-0.0017128736314752,-0.0026612446316504,-0.0012444909974074
NL,-0.0466346800321999,0.0,-0.0435951753653753,0.0,-0.0632746020499207,0.0,-0.2407193788569731,-0.0141566738402895,0.0,-0.3986437474554244,0.0,-0.000183242975373,-0.01306708378339,0.0,-0.0061140079379964
IN,-0.043310232157298,-2.151450570496382e-05,-0.4658784403030699,-5.213082787865224e-06,-0.0851256109324446,-0.089587426992397,-0.0894337254601388,-0.0064701426449456,-1.0896828462536748e-05,0.0,0.0,-2.898829968574429e-05,-0.0013315133972431,-1.2319281152921857e-05,-0.0035551050297434
MX,-0.0179779278584097,0.0,-0.1001009707924661,0.0,-0.0570904851968228,-0.0858625381926167,-0.4159671133226111,-0.0105480082807365,0.0,0.0,0.0,0.0,-0.002349147050109,0.0,-0.0450993472977912
WM,-0.0732181205834242,0.0,-0.1360490820413017,-7.182661897145357e-05,-0.2131908753139849,-0.028480220132863,-0.1937403760483946,-0.0182054833704451,0.0,0.0,0.0,0.0,-0.0498097682912496,0.0,-0.0175249851866029
BE,-0.0437088293227059,0.0,-0.1195981462994828,0.0,-0.1628339600997282,-0.0146452561207499,-0.1096503011614969,-0.0068734207395135,0.0,-0.1307913551715779,0.0,-0.0001582301631707,-0.0083581312646838,0.0,-0.0587326399933979
