Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
SK,-6.647,-0.0,-2.378,-0.0,-1.082,-8.904,-19.742,-0.346,-0.0,-14.591,-0.0,-0.001,-0.132,-0.03,-0.547
CN,-1.656,-0.02,-1.553,-0.033,-4.023,-10.215,-2.752,-0.588,-0.003,-13.4,-0.003,-0.459,-0.387,-0.009,-0.683
DE,-1.434,-0.0,-1.896,-0.0,-0.486,-1.962,-1.857,-0.067,-0.001,-10.366,-0.001,-0.0,-0.115,-0.0,-0.163
CZ,-0.158,-0.0,-0.623,-0.0,-0.112,-1.899,-0.931,-0.076,-0.0,-1.567,-0.0,-0.0,-0.004,-0.0,-0.009
AT,-0.254,0.0,-1.235,-0.0,-0.52,-0.82,-1.267,-0.007,-0.0,-0.682,0.0,-0.0,-0.036,-0.0,-0.005
US,-0.174,-0.0,-0.323,-0.004,-0.206,-0.384,-1.53,-0.018,-0.0,-1.958,0.0,-0.0,-0.014,-0.003,-0.032
IT,-0.391,-0.0,-0.583,-0.0,-0.347,-0.251,-0.121,-0.029,-0.0,-1.42,-0.0,-0.0,-0.01,-0.0,-0.027
HU,-0.239,-0.0,-0.267,-0.0,-0.001,-1.228,-0.884,-0.002,-0.0,-0.548,-0.0,-0.0,-0.0,-0.0,-0.0
PL,-0.205,-0.0,-0.293,-0.002,-0.149,-0.793,-0.894,-0.035,-0.0,-0.547,-0.0,-0.0,-0.0,-0.0,-0.015
GB,-0.136,0.0,-0.117,-0.0,-0.182,-0.458,-0.467,-0.011,-0.0,-0.188,-0.0,-0.0,-0.027,-0.0,-0.053
FR,-0.066,-0.0,-0.201,0.0,-0.126,-0.435,-0.202,-0.006,0.0,-0.201,0.0,-0.0,-0.005,0.0,-0.001
CH,-0.007,0.0,-0.009,0.0,-0.002,-0.253,-0.463,-0.0,0.0,-0.28,-0.0,0.0,-0.001,0.0,-0.133
WA,-0.035,-0.007,-0.172,-0.005,-0.074,-0.305,-0.25,-0.022,-0.001,-0.144,-0.001,-0.017,-0.025,-0.001,-0.035
BE,-0.079,-0.0,-0.128,-0.0,-0.148,-0.084,-0.179,-0.032,-0.0,-0.122,-0.0,-0.003,-0.005,-0.0,-0.126
WM,-0.022,-0.001,-0.142,-0.006,-0.018,-0.213,-0.232,-0.003,-0.001,-0.142,-0.0,-0.007,-0.01,-0.005,-0.026
RO,-0.019,0.0,-0.06,-0.005,-0.009,-0.116,-0.37,-0.003,-0.0,-0.232,-0.0,-0.0,-0.001,-0.0,-0.0
MX,-0.003,-0.0,-0.038,-0.002,-0.019,-0.448,-0.154,-0.007,-0.0,-0.053,-0.0,-0.0,-0.002,-0.0,-0.013
JP,-0.025,0.0,-0.045,0.0,-0.052,-0.073,-0.104,-0.014,0.0,-0.339,0.0,-0.0,-0.006,-0.0,-0.004
WE,-0.073,-0.02,-0.201,-0.0,-0.042,-0.14,-0.068,-0.009,-0.001,-0.064,-0.0,-0.011,-0.009,-0.0,-0.001
IN,-0.009,-0.0,-0.162,-0.0,-0.017,-0.036,-0.11,-0.007,-0.0,-0.178,0.0,-0.0,-0.001,-0.0,-0.008
SE,-0.023,0.0,-0.102,-0.0,-0.018,-0.141,-0.086,-0.001,-0.0,-0.128,-0.0,-0.0,-0.001,-0.0,-0.0
CA,-0.051,-0.0,-0.067,-0.001,-0.015,-0.08,-0.132,-0.006,-0.0,-0.089,-0.0,-0.0,-0.006,-0.0,-0.002
NL,-0.016,0.0,-0.01,0.0,-0.026,-0.058,-0.227,-0.003,0.0,-0.094,0.0,-0.0,-0.002,0.0,-0.001
SI,-0.04,0.0,-0.034,-0.0,-0.004,-0.087,-0.118,-0.003,-0.0,-0.124,-0.0,0.0,-0.0,-0.0,-0.0
KR,-0.018,0.0,-0.041,-0.0,-0.036,-0.123,-0.066,-0.032,-0.0,-0.04,-0.0,-0.0,-0.003,-0.0,-0.004
WL,-0.012,-0.002,-0.032,-0.006,-0.139,-0.065,-0.051,-0.006,-0.001,-0.028,-0.0,-0.002,-0.005,-0.001,-0.005
