Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.021,0.11,0.064,0.005,0.038,0.002,0.027,0.037,0.014
BE,0.0,0.0,0.0,0.0,0.005,0.0,0.007,0.011,0.018,0.023,0.005,0.064,0.003,0.005,0.003
BG,0.0,0.004,0.006,0.0,0.0,0.003,0.001,0.0,0.011,0.001,0.0,0.0,0.001,0.001,0.001
CH,,,,0.0,,,0.001,0.001,0.0,0.0,0.001,0.068,0.008,0.014,0.006
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.001,0.0,0.0,0.001,0.0,0.0,0.013,0.055,0.014,0.055,0.004,0.005,0.063,0.027,0.033
DE,0.0,0.0,0.052,0.079,0.0,0.0,0.12,0.169,0.059,0.048,0.122,0.083,0.065,0.055,0.216
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.003,0.002,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0
ES,0.0,0.039,0.0,0.011,0.001,0.0,0.002,0.007,0.005,0.006,0.001,0.001,0.004,0.0,0.001
FI,0.0,0.003,0.001,0.001,0.0,0.0,0.0,0.002,0.001,0.001,0.016,0.0,0.002,0.0,0.001
FR,0.0,,,,0.0,,0.006,0.018,0.015,0.004,0.005,0.001,0.014,0.006,0.004
GB,,0.0,0.0,0.001,0.0,0.0,0.011,0.01,0.022,0.008,0.029,0.027,0.015,0.014,0.004
GR,0.004,,0.0,0.0,0.0,0.0,0.001,0.003,0.001,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HU,0.0,0.0,0.0,0.005,0.0,0.0,0.02,0.024,0.0,0.002,0.0,0.0,0.041,0.026,0.011
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.001,0.004,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.052,0.042,0.021,0.011,0.014,0.008,0.004,0.03
LT,,0.0,0.0,0.0,,,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.007,0.003,0.02,0.001,0.012,0.0,0.002,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.001,0.003,0.003,0.002,0.001,0.002,0.007,0.002
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.013,0.001,0.001,0.001,0.001
PL,0.0,0.034,0.028,0.002,0.0,0.001,0.017,0.026,0.018,0.026,0.0,0.007,0.026,0.026,0.011
PT,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0
RO,,0.064,0.007,0.0,0.001,0.007,0.002,0.005,0.001,0.002,0.001,0.0,0.004,0.011,0.005
RU,0.002,0.014,0.163,0.074,0.005,0.046,0.001,0.007,0.003,0.001,0.012,0.004,0.0,0.0,0.0
SE,,0.002,0.003,0.001,0.0,0.0,0.002,0.009,0.002,0.001,0.002,0.0,0.005,0.003,0.003
SI,,0.0,0.0,0.0,,0.0,0.003,0.003,0.001,0.002,0.0,0.0,0.003,0.003,0.003
SK,0.007,0.003,0.008,0.021,0.002,0.558,0.558,0.211,0.132,0.25,0.139,0.279,0.294,0.582,0.304
WE,0.328,0.006,0.084,0.055,0.02,0.003,0.006,0.018,0.005,0.007,0.009,0.0,0.005,0.002,0.001
BR,0.009,0.015,0.022,0.015,0.007,0.002,0.0,0.002,0.001,0.001,0.001,0.002,0.001,0.0,0.0
CA,0.001,0.008,0.004,0.009,0.0,0.001,0.004,0.006,0.002,0.004,0.006,0.001,0.003,0.004,0.002
MX,0.0,0.023,0.007,0.001,0.001,0.004,0.0,0.003,0.002,0.005,0.003,0.007,0.015,0.005,0.001
US,0.0,0.052,0.011,,0.0,0.052,0.015,0.029,0.025,0.013,0.014,0.016,0.013,0.045,0.041
WL,0.031,0.081,0.041,0.032,0.004,0.014,0.001,0.003,0.017,0.005,0.006,0.003,0.002,0.002,0.001
CN,0.332,0.456,0.219,0.44,0.841,0.161,0.139,0.138,0.492,0.425,0.411,0.349,0.337,0.081,0.279
ID,0.017,0.004,0.001,0.033,0.0,0.001,0.0,0.003,0.001,0.001,0.075,0.0,0.0,0.001,0.0
IN,0.001,0.003,0.001,,0.001,0.002,0.001,0.014,0.002,0.005,0.001,0.004,0.001,0.003,0.004
JP,,,,,0.0,0.0,0.002,0.004,0.006,0.01,0.006,0.002,0.002,0.003,0.007
KR,,0.0,0.0,0.002,0.0,0.0,0.001,0.004,0.004,0.023,0.003,0.002,0.004,0.002,0.001
TR,0.004,0.004,0.009,0.0,0.009,0.01,0.001,0.01,0.002,0.0,0.002,0.009,0.002,0.003,0.0
