Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
TR,-33.24710580015881,-0.5753211391743398,-55.94831365882879,-0.6314445062528707,-6.7622521730794585,-0.7075668337975909,-21.58168491750209,-0.1503785545189419,-0.8096389116092004,-0.0305500888008588,-1.3793115741679949,-0.6889545870066969,-2.793201283330675,-3.3534660247486854,-24.059011426694607
CN,-5.630228253982424,-0.0006056838018231,-6.992913355100508,-0.0083071940430457,-3.587334868068447,-4.837421088791653,-5.551227372657917,-21.08930672391176,-0.0019863508570332,-0.0012232505256214,-0.0025563909874519,-0.0089205994970254,-2.703446503825948,-0.0091429095862214,-5.875594950010074
US,-1.66979821117925,-0.0001986300251707,-6.844544129228112,-0.0009043109942983,-0.6544374590927154,-3.593169954062001,-12.666068236184396,-0.0315829441910163,-0.0042542982943115,-11.562189782569252,0.0,-1.4643735183333316e-05,-0.2128002512033415,-0.0001556498470173,-1.5107581704758857
WA,-1.4370019516574446,-0.0034142782119064,-10.983197468333042,-0.0134128605546236,-1.5991472607486878,-1.0747964845764568,-5.131338070024812,-0.175092833379821,-0.0115902100317992,0.0,-0.0481822494759247,-0.0385844040587193,-0.1193783105148173,-0.0010058454102919,-4.889603260609661
WM,-3.0069130448004278,0.0,-1.7788353524678646,-0.0007853977937358,-2.104201574093272,-0.7758115624739922,-5.694196189705123,-0.5349500003379897,0.0,0.0,0.0,0.0,-0.7956032395512163,0.0,-3.329352495384719
WL,-0.3162877222569102,-0.0009338905826066,-4.064466390782489,-0.0001592315082891,-5.15080237070972,-0.3775591140150577,-2.375592398859485,-0.092131404200426,-0.001459210320435,0.0,-0.0008533471141098,-0.0006754324106506,-0.1044265707059457,0.0,-0.1734337039616775
CA,-2.7975008845454927,0.0,-4.13799755156929,-1.0741762102554396e-07,-0.2259870389957294,-0.3574342785429293,-2.705319783851364,-0.1048636341058804,-1.706275497070721e-06,0.0,-3.488657738160723e-08,-2.2482321622787928e-05,-0.0407587001448971,-0.0017362801850998,-0.0248826306498865
DE,-0.7075703471099376,0.0,-1.1411972025613717,0.0,-1.0188476715822434,-0.035739619710882,-1.860519681966993,-0.0647902840850016,-0.0002446768125469,-4.093303350216847,0.0,-0.0020793069188323,-0.0939912680309684,0.0,-0.336832074577736
BG,-0.4486391656504376,0.0,-0.062333718092607,-0.1428909444603009,-6.618735693135513,0.0,-0.1410161791124756,-0.0418154672132421,-0.0010157912055365,0.0,0.0,-2.9922282793406502e-05,-0.0026651975526188,-0.0659323795901814,-0.0006410592015853
GB,-0.0964720780510553,0.0,-1.099818651181684,0.0,-0.4256488723029372,-0.0114150311715128,-2.1168823630642586,-0.0610724077966943,-0.0001906769218994,-0.0090539228650454,0.0,-0.0029726270967743,-0.1334217046654182,-1.999848759136092e-06,-0.4397689343405627
IN,-0.2177728183928122,-6.668887563332084e-05,-1.3339657516673329,-2.4319699323529927e-05,-0.3611304641589282,-1.3549017677340491,-0.9669574980748918,-0.0216198069547265,-0.0001094744052909,0.0,0.0,-0.0001430013806398,-0.0067954542702339,-0.0001311366760844,-0.0757186505971497
IT,-0.435503193545786,-0.0011885250669808,-1.3669832280868903,0.0,-0.482882939666129,-0.0687186725797975,-0.343523692571024,-0.0208619863492622,-9.894016663869969e-08,-1.3956223121851865,0.0,-0.0007805880879976,-0.0080094575290371,-1.686144984785848e-07,-0.1262557102622277
KR,-0.1491290791117094,0.0,-0.5031547242025999,-7.497645432049603e-06,-1.5985843706062275,-0.4622243333846276,-0.2631991513578388,-0.4524248712695523,-1.6921999204839433e-05,-1.0812916464155678e-07,-0.0270725681663481,-0.000393012609697,-0.0816266443215251,-0.0006368315669159,-0.193544564008589
ES,-0.4868426634859853,0.0,-1.027397206953099,-0.1517251702927118,-0.3356762144272517,-0.4010421696773193,-0.4397385219369767,-0.055156520291278,-0.0063473026976834,-0.3366734094333922,-0.0002225713738881,-0.0012574070143572,-0.0179666337437633,-0.0079032373939932,-0.0046026234155063
WE,-0.244451949645539,-0.000530888152843,-1.4716861259716465,-0.0131981319787104,-0.497754125799546,-0.0772563382575668,-0.2220973161053255,-0.0082487146767258,-0.0005657451842686,0.0,-0.0001683748200897,-0.0009241619593473,-0.0120484213242881,-0.0003172293621887,-0.0110118890577065
MX,-0.0570227722939594,0.0,-0.2360707107600482,0.0,-0.1485911357554266,-0.1872918752297682,-1.6351045224683902,-0.0182411698486252,0.0,0.0,0.0,0.0,-0.0032794208179815,0.0,-0.0489275474911828
CH,-0.0138943261268655,0.0,-0.011525689895869,0.0,-0.0017221834382265,-0.0010203026801424,-0.6335348747988965,-0.0004033837602436,0.0,0.0,0.0,0.0,-0.0009242512415385,0.0,-1.6176887490882943
JP,-0.1288998336011017,0.0,-0.4013043785043853,0.0,-0.658916857432465,-0.296029787501943,-0.573551259856396,-0.0431034369471352,0.0,-9.913775580659666e-08,0.0,-0.0007272063795278,-0.0371288207178733,-0.0001294693789612,-0.0275971056641121
BE,-0.1296768911583055,0.0,-0.4747827735199246,0.0,-0.5317958773302521,-0.0199540021529952,-0.31600627615184,-0.057665820161772,0.0,-0.2276211907907795,0.0,-0.0007437335431896,-0.0120474280325217,0.0,-0.1098195200110368
PL,-0.1345139523937037,0.0,-0.233393499003564,-0.0006820903463561,-0.5237762544244092,-0.0034657642040929,-0.4418810750991803,-0.0135500506763823,-3.535510885841085e-05,-0.4656765301847557,-0.0003249524427507,-7.349527584309007e-06,-5.683785826053719e-05,-3.988340986184304e-05,-0.0564880029585723
WF,-0.2065196420280855,-0.0035374062517979,-0.2474000483170499,-0.0124754128642413,-0.8571161500581996,-0.0585187356289841,-0.0401242708042834,-0.0606980861083858,-0.0171973446265013,0.0,-0.0120496566965836,-0.0036027918282457,-0.2564462323939724,0.0,-0.0556863935895432
NL,-0.1613459176347306,0.0,-0.1231929661499726,0.0,-0.0897169225337663,0.0,-0.5341428290466402,-0.0177694139824269,0.0,-0.4415195149705128,0.0,-0.0001817400320746,-0.0123810901200982,0.0,-0.0413361643574544
AT,-0.1957391288179838,0.0,-0.2010213580456032,0.0,-0.0366603298775135,0.0,-0.4906162981451299,-0.0030376107788652,0.0,-0.4611600728711493,0.0,-0.0017895096678588,-0.0207866470749974,0.0,-0.0010355136634451
CZ,-0.1236477297760917,-3.192151864043395e-05,-0.1519417722429266,0.0,-0.0454353059929677,-0.0003766649170175,-0.3517347861210559,-0.025951196798149,-6.639123194637917e-06,-0.6374116507245289,-1.2863734406955544e-05,-2.719266691892376e-05,-0.0014188063518544,0.0,-0.0027838347168895
FR,-0.1196467962667721,-6.742725185617572e-05,-0.3559216446029011,0.0,-0.1112856812708802,-0.0215027721082591,-0.2136362878597864,-0.0022838844966988,0.0,-0.3536775794324784,-7.00843457891733e-05,-1.6209816233324806e-05,-0.005008839600599,0.0,-0.0030712052199687
BR,-0.033142736554366,-3.485102570711791e-05,-0.8003944301364232,-2.4010230780595428e-05,-0.0581158695109159,-0.1102757716236502,-0.110074277644603,-0.0062568757905398,-0.0001237840544039,0.0,-0.0003690580264985,-4.6601288323671534e-05,-0.0110475221591082,-0.0003354994461172,-0.0050477255757914
RO,-0.0209876261307754,0.0,-0.2389784618400208,-4.380313887576008e-06,-0.0158726422071658,0.0,-0.2673824580796357,-0.0002819623066749,-1.938998468591009e-07,-0.4870253799164977,0.0,-1.621615886407682e-07,-0.0006086766647109,-0.0001049415297974,-9.18958185145063e-05
GR,-0.2708292704545174,-9.222937736764608e-05,-0.284928543265291,0.0,-0.0511736588599001,-0.0899878790958469,-0.1627980189520294,-0.0008235804881635,-5.8597620680658144e-05,0.0,-0.034797985865989,-1.0256349535787e-05,-0.0002398490550628,-0.0001732855738829,-0.0004588820221723
ID,-0.0225858643629703,-1.055852227547926e-07,-0.3815081263039406,-1.72622629510632e-06,-0.0852493852283135,-0.0328010583526382,-0.0675436151001705,-0.0250189292940326,-5.163386666373474e-06,0.0,-4.340675919626761e-06,-2.785366388056315e-08,-0.0234345193238246,-8.827620827644228e-08,-0.0038516634332599
SE,-0.0246048804771683,0.0,-0.115988840037806,-0.0009507254158849,-0.1104414594989858,-0.0003859410627022,-0.1110858866445388,-0.0030318503836888,-0.0002954490792937,-0.2615125287176805,-2.8170168085726076e-05,-5.848352465984887e-05,-0.0038429059384714,-0.0003408250400049,-0.0005570704481584
PT,-0.007153396299006,0.0,-0.1793756238155443,-0.0006031839314868,-0.0470889372986854,-0.0261855799957533,-0.080510354553368,-0.0022016165048897,-4.2088205937695954e-05,-0.102880241732728,0.0,-9.912817083028612e-05,-0.0001538112558065,-4.9447532867587474e-05,-0.0003403223633034
RU,-0.0325918304595513,-1.860191793857517e-05,-0.1754455436829892,-5.701501627177742e-05,-0.0930372439375842,-0.0237662591820306,-0.0162310248665432,-0.0031042233638304,-3.450146850913638e-05,0.0,-0.0001955660951978,-2.6439059020344952e-05,-0.0288829931752995,-0.0001434754191297,-0.0198419753405412
AU,-0.0131099655211728,-0.0011724314387052,-0.1007367368046382,-0.0003380941896687,-0.0766916199128684,-0.0163873603062396,-0.0198141779197285,-0.03586324587084,-0.0002020508629296,0.0,-0.0062320693125056,-3.036625451578013e-05,-0.037233279274219,-0.0033405903507485,-0.0686774556730599
SK,-0.0150164664705824,0.0,-0.0161358991271317,-1.3135995975387142e-05,-0.0072272851978243,0.0,-0.0490506464484562,-0.0028972876529172,-4.571134576914156e-07,-0.2683190840130698,0.0,0.0,-0.0002971577802593,-0.0006674097599209,-0.0024266718009495
FI,-0.0023810624965162,0.0,-0.0542930888747794,-8.990844464071146e-05,-0.0394715101699051,0.0,-0.0217959538781978,-0.002640017627348,-6.597852258001138e-05,-0.091599706266603,-0.005574307232025,-2.812234183794141e-05,-0.0163045867103659,-0.0007071360834986,-0.0002118444890324
ZA,-0.01019136217384,0.0,-0.0497676813112443,-1.3049869987148807e-05,-0.0132221171483494,-0.0171381823794422,-0.0523837528358748,-0.0005694837213491,-6.1934328312199804e-06,0.0,-0.0004070161788859,-6.223457442144437e-05,-0.0077211479987401,-4.446583962898573e-05,-0.0356321151240251
IE,-0.0030469809691134,0.0,-0.0039352890214325,0.0,-0.0003197305837306,0.0,-0.078659951295879,-0.0009656059871994,-0.0007296657833172,-0.0868430967618472,0.0,0.0,-0.0011326798146254,-3.781107295171864e-05,-0.0012237106869713
DK,-0.0197744420118914,0.0,-0.0096202330279484,0.0,-0.0017574077009074,0.0,-0.0903948388019887,-0.000107706165963,0.0,-0.0005590434207849,-8.12826528278742e-08,0.0,-0.0002311257857145,0.0,-0.0005386959689482
SI,-0.019845084501646,0.0,-0.0302145827452814,0.0,-0.0015504582098369,0.0,-0.0342021866062537,-0.0002776034019036,0.0,-0.0330363102093805,0.0,0.0,-0.0004218519778865,0.0,-2.098523796128492e-05
LU,-0.0092419293886689,0.0,-0.0049948763007613,0.0,-0.0344274325396629,-9.473583506190116e-05,-0.0401547796740556,-0.0019577720039998,0.0,-0.0232411050748789,0.0,0.0,-0.001375798917251,0.0,-0.0025024536696485
NO,-0.004542528766838,0.0,-0.0057094868397471,0.0,-0.0102712133497248,-0.0001839957693334,-0.0089030893220917,-0.0006291848096087,0.0,-0.0285826539484962,-2.795405616108498e-10,-1.1234318347164135e-05,-0.0144738568779234,0.0,-0.0012946355421074
TW,-0.0056519334783805,-0.000427650651237,-0.0077465925089219,-0.0003813181667945,-0.0005263456741556,-0.0023818924190764,-0.0142368828005181,-0.0011504019021661,-0.0004829745739111,0.0,0.0,-3.827612766521067e-05,-1.7606388903257333e-05,-0.0009092730961554,-1.0804497978417818e-05
HR,-0.0029356263559287,-4.628115886822478e-07,-0.001340508449516,0.0,-0.0008924402993528,0.0,-0.0029525357830541,-7.456889429768209e-06,-2.90022206253046e-10,-0.0176862546368013,-2.6933006164260218e-08,0.0,-0.0001031329668944,0.0,-3.639002222857396e-06
HU,-0.0005615620077394,-5.667988873792618e-06,-0.0029056855660376,0.0,-3.427270037508329e-05,0.0,-0.0026615165725311,-6.190282181720935e-05,0.0,-0.0029615304490556,0.0,-8.774750497538857e-07,-1.3307055577453654e-06,0.0,-1.2333961718434476e-05
EE,-0.0001465767847025,0.0,-0.0004936622357244,0.0,-0.0001094163818022,0.0,-0.0023725352810575,-1.4000029658567192e-05,0.0,-0.0026676276598883,0.0,0.0,-0.0003543723358173,0.0,-9.948598626207492e-06
LV,-0.0001344409725432,0.0,-0.0004865210576658,0.0,-0.0007653252001387,-0.0007555291841554,-0.0011089749473994,-5.98864910901456e-06,0.0,-0.0011925590428955,0.0,0.0,-7.739087983451735e-06,0.0,-4.997907554700505e-07
LT,-0.000153687795817,0.0,-1.749082949806257e-05,-1.5384766303145943e-10,-0.0008625590788071,-0.0001083480941753,-0.0017823810342109,-3.5173952018207035e-05,0.0,-0.0010050096018247,0.0,0.0,-1.9146940837625947e-06,-2.3308586779691343e-11,-4.238685501340219e-07
CY,-2.0903643655290653e-05,0.0,-7.120861461496724e-05,-3.85086760882868e-06,-7.891367586942243e-05,-8.596517052630103e-05,-0.0001870600805193,-1.8800566153981108e-06,0.0,-0.0003793528811722,0.0,0.0,-2.7875263267062544e-06,0.0,-4.972237650645502e-07
MT,-4.388359041379916e-09,0.0,-2.368369556085843e-07,0.0,-9.833771730741869e-08,0.0,-2.742196766016204e-05,-1.097727493654995e-09,0.0,0.0,0.0,0.0,-1.4949033466078315e-09,-1.5064994649580668e-11,-2.7342119384114313e-08
